"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,1.00,0.87,4.54,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.54,0.00,0.60,19.50,18.09
2.00,1.00,0.86,4.32,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.32,0.00,0.48,19.50,18.16
3.00,1.00,0.84,4.16,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.16,0.00,0.36,19.50,18.21
4.00,1.00,0.83,4.04,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.04,0.00,0.19,19.50,18.26
5.00,1.00,0.83,3.95,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.95,0.00,0.13,19.50,18.29
6.00,1.00,0.82,3.89,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.89,0.00,0.14,19.50,18.31
7.00,1.00,0.82,3.83,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.83,0.00,0.17,19.50,18.32
8.00,1.00,0.81,3.77,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.77,0.00,0.37,19.50,18.34
9.00,1.00,0.80,3.62,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.62,0.00,1.07,19.50,18.35
10.00,1.00,0.79,3.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.47,0.00,1.62,19.50,18.37
11.00,1.00,0.78,3.34,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.34,0.00,1.97,19.50,18.39
12.00,1.00,0.77,3.26,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.26,0.00,2.18,19.50,18.41
13.00,1.00,0.77,3.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.21,0.00,2.19,19.50,18.43
14.00,1.00,0.77,3.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.24,0.00,1.84,19.50,18.45
15.00,1.00,0.78,3.33,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.33,0.00,1.16,19.50,18.46
16.00,1.00,0.78,3.44,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.44,0.00,0.23,19.50,18.45
17.00,1.00,0.79,3.51,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.51,0.00,-0.36,19.50,18.44
18.00,1.00,0.80,3.58,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.58,0.00,-0.84,19.50,18.42
19.00,1.00,0.80,3.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.66,0.00,-1.27,19.50,18.40
20.00,1.00,0.81,3.74,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.74,0.00,-1.59,19.50,18.38
21.00,1.00,0.82,3.81,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.81,0.00,-1.89,19.50,18.36
22.00,1.00,0.82,3.89,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.89,0.00,-2.23,19.50,18.34
23.00,1.00,0.83,3.96,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.96,0.00,-2.58,19.50,18.32
24.00,1.00,0.83,4.03,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.03,0.00,-2.92,19.50,18.29
25.00,1.00,0.84,4.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.10,0.00,-3.13,19.50,18.27
26.00,1.00,0.84,4.16,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.16,0.00,-3.19,19.50,18.26
27.00,1.00,0.85,4.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.21,0.00,-3.29,19.50,18.24
28.00,1.00,0.85,4.25,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.25,0.00,-3.31,19.50,18.23
29.00,1.00,0.85,4.28,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.28,0.00,-3.42,19.50,18.22
30.00,1.00,0.86,4.32,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.32,0.00,-3.68,19.50,18.21
31.00,1.00,0.86,4.36,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.36,0.00,-4.03,19.50,18.20
32.00,1.00,0.86,4.39,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.39,0.00,-4.35,19.50,18.19
33.00,1.00,0.85,4.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.24,0.00,-3.96,19.50,18.17
34.00,1.00,0.83,3.98,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.98,0.00,-3.42,19.50,18.17
35.00,1.00,0.81,3.77,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.77,0.00,-2.90,19.50,18.17
36.00,1.00,0.80,3.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.66,0.00,-2.45,19.50,18.18
37.00,1.00,0.80,3.65,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.65,0.00,-2.17,19.50,18.19
38.00,1.00,0.81,3.75,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.75,0.00,-2.19,19.50,18.20
39.00,1.00,0.83,4.02,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.02,0.00,-3.02,19.50,18.21
40.00,1.00,0.86,4.34,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.34,0.00,-5.03,19.50,18.21
41.00,1.00,0.87,4.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.47,0.00,-5.57,19.50,18.18
42.00,1.00,0.87,4.55,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.55,0.00,-5.52,19.50,18.15
43.00,1.00,0.88,4.61,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.61,0.00,-5.33,19.50,18.13
44.00,1.00,0.88,4.65,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.65,0.00,-4.99,19.50,18.12
45.00,1.00,0.88,4.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.66,0.00,-4.68,19.50,18.11
46.00,1.00,0.88,4.65,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.65,0.00,-4.55,19.50,18.11
47.00,1.00,0.88,4.65,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.65,0.00,-4.47,19.50,18.11
48.00,1.00,0.88,4.64,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.64,0.00,-4.34,19.50,18.11
49.00,1.00,0.88,4.62,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.62,0.00,-4.11,19.50,18.11
50.00,1.00,0.88,4.60,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.60,0.00,-3.81,19.50,18.12
51.00,1.00,0.87,4.56,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.56,0.00,-3.50,19.50,18.13
52.00,1.00,0.87,4.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.52,0.00,-3.33,19.50,18.14
53.00,1.00,0.87,4.49,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.49,0.00,-3.31,19.50,18.15
54.00,1.00,0.87,4.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.47,0.00,-3.30,19.50,18.16
55.00,1.00,0.87,4.45,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.45,0.00,-3.46,19.50,18.16
56.00,1.00,0.86,4.41,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.41,0.00,-3.60,19.50,18.17
57.00,1.00,0.85,4.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.21,0.00,-2.85,19.50,18.17
58.00,1.00,0.82,3.93,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.93,0.00,-1.92,19.50,18.18
59.00,1.00,0.80,3.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.66,0.00,-1.05,19.50,18.20
60.00,1.00,0.79,3.54,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.54,0.00,-0.37,19.50,18.22
61.00,1.00,0.79,3.55,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.55,0.00,-0.07,19.50,18.25
62.00,1.00,0.80,3.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.66,0.00,-0.16,19.50,18.28
63.00,1.00,0.82,3.82,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.82,0.00,-0.75,19.50,18.30
64.00,1.00,0.83,3.95,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.95,0.00,-1.69,19.50,18.31
65.00,1.00,0.83,3.99,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.99,0.00,-2.15,19.50,18.30
66.00,1.00,0.83,4.04,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.04,0.00,-2.54,19.50,18.29
67.00,1.00,0.84,4.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.10,0.00,-3.00,19.50,18.28
68.00,1.00,0.84,4.16,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.16,0.00,-3.50,19.50,18.26
69.00,1.00,0.85,4.23,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.23,0.00,-3.86,19.50,18.24
