# Renewables.ninja Weather (Point API) - -53.786, -67.702 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Argentina/Ushuaia, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Argentina/Ushuaia", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-53.7856766", "lon": "-67.7016369", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 21:00,16.106
2019-01-01 01:00,2018-12-31 22:00,0
2019-01-01 02:00,2018-12-31 23:00,0
2019-01-01 03:00,2019-01-01 00:00,0
2019-01-01 04:00,2019-01-01 01:00,0
2019-01-01 05:00,2019-01-01 02:00,0
2019-01-01 06:00,2019-01-01 03:00,0
2019-01-01 07:00,2019-01-01 04:00,0
2019-01-01 08:00,2019-01-01 05:00,24.765
2019-01-01 09:00,2019-01-01 06:00,121.478
2019-01-01 10:00,2019-01-01 07:00,224.495
2019-01-01 11:00,2019-01-01 08:00,342.201
2019-01-01 12:00,2019-01-01 09:00,408.560
2019-01-01 13:00,2019-01-01 10:00,411.930
2019-01-01 14:00,2019-01-01 11:00,447.052
2019-01-01 15:00,2019-01-01 12:00,495.600
2019-01-01 16:00,2019-01-01 13:00,502.756
2019-01-01 17:00,2019-01-01 14:00,495.748
2019-01-01 18:00,2019-01-01 15:00,510.435
2019-01-01 19:00,2019-01-01 16:00,505.335
2019-01-01 20:00,2019-01-01 17:00,462.784
2019-01-01 21:00,2019-01-01 18:00,350.326
2019-01-01 22:00,2019-01-01 19:00,232.430
2019-01-01 23:00,2019-01-01 20:00,116.508
2019-01-02 00:00,2019-01-01 21:00,24.513
2019-01-02 01:00,2019-01-01 22:00,0
2019-01-02 02:00,2019-01-01 23:00,0
2019-01-02 03:00,2019-01-02 00:00,0
2019-01-02 04:00,2019-01-02 01:00,0
2019-01-02 05:00,2019-01-02 02:00,0
2019-01-02 06:00,2019-01-02 03:00,0
2019-01-02 07:00,2019-01-02 04:00,0
2019-01-02 08:00,2019-01-02 05:00,16.314
2019-01-02 09:00,2019-01-02 06:00,80.464
2019-01-02 10:00,2019-01-02 07:00,159.732
2019-01-02 11:00,2019-01-02 08:00,240.367
2019-01-02 12:00,2019-01-02 09:00,404.137
2019-01-02 13:00,2019-01-02 10:00,524.826
2019-01-02 14:00,2019-01-02 11:00,532.100
2019-01-02 15:00,2019-01-02 12:00,521.016
2019-01-02 16:00,2019-01-02 13:00,456.415
2019-01-02 17:00,2019-01-02 14:00,467.335
2019-01-02 18:00,2019-01-02 15:00,463.947
2019-01-02 19:00,2019-01-02 16:00,447.760
2019-01-02 20:00,2019-01-02 17:00,409.105
2019-01-02 21:00,2019-01-02 18:00,321.771
2019-01-02 22:00,2019-01-02 19:00,177.964
2019-01-02 23:00,2019-01-02 20:00,68.778
2019-01-03 00:00,2019-01-02 21:00,12.377
2019-01-03 01:00,2019-01-02 22:00,0
2019-01-03 02:00,2019-01-02 23:00,0
2019-01-03 03:00,2019-01-03 00:00,0
2019-01-03 04:00,2019-01-03 01:00,0
2019-01-03 05:00,2019-01-03 02:00,0
2019-01-03 06:00,2019-01-03 03:00,0
2019-01-03 07:00,2019-01-03 04:00,0
2019-01-03 08:00,2019-01-03 05:00,14.262
2019-01-03 09:00,2019-01-03 06:00,88.862
2019-01-03 10:00,2019-01-03 07:00,207.490
2019-01-03 11:00,2019-01-03 08:00,375.507
2019-01-03 12:00,2019-01-03 09:00,561.423
2019-01-03 13:00,2019-01-03 10:00,693.370
2019-01-03 14:00,2019-01-03 11:00,741.148
2019-01-03 15:00,2019-01-03 12:00,708.620
2019-01-03 16:00,2019-01-03 13:00,742.192
2019-01-03 17:00,2019-01-03 14:00,678.409
2019-01-03 18:00,2019-01-03 15:00,516.318
2019-01-03 19:00,2019-01-03 16:00,408.347
2019-01-03 20:00,2019-01-03 17:00,353.321
2019-01-03 21:00,2019-01-03 18:00,289.598
2019-01-03 22:00,2019-01-03 19:00,205.596
2019-01-03 23:00,2019-01-03 20:00,99.770
2019-01-04 00:00,2019-01-03 21:00,18.488
2019-01-04 01:00,2019-01-03 22:00,0
2019-01-04 02:00,2019-01-03 23:00,0
2019-01-04 03:00,2019-01-04 00:00,0
2019-01-04 04:00,2019-01-04 01:00,0
2019-01-04 05:00,2019-01-04 02:00,0
2019-01-04 06:00,2019-01-04 03:00,0
2019-01-04 07:00,2019-01-04 04:00,0
2019-01-04 08:00,2019-01-04 05:00,4.559
2019-01-04 09:00,2019-01-04 06:00,72.360
2019-01-04 10:00,2019-01-04 07:00,231.243
2019-01-04 11:00,2019-01-04 08:00,378.674
2019-01-04 12:00,2019-01-04 09:00,545.947
2019-01-04 13:00,2019-01-04 10:00,663.895
2019-01-04 14:00,2019-01-04 11:00,827.367
2019-01-04 15:00,2019-01-04 12:00,927.234
2019-01-04 16:00,2019-01-04 13:00,930.759
2019-01-04 17:00,2019-01-04 14:00,855.948
2019-01-04 18:00,2019-01-04 15:00,648.483
2019-01-04 19:00,2019-01-04 16:00,468.857
2019-01-04 20:00,2019-01-04 17:00,349.069
2019-01-04 21:00,2019-01-04 18:00,197.760
2019-01-04 22:00,2019-01-04 19:00,87.429
2019-01-04 23:00,2019-01-04 20:00,32.248
2019-01-05 00:00,2019-01-04 21:00,6.999
2019-01-05 01:00,2019-01-04 22:00,0
2019-01-05 02:00,2019-01-04 23:00,0
2019-01-05 03:00,2019-01-05 00:00,0
2019-01-05 04:00,2019-01-05 01:00,0
2019-01-05 05:00,2019-01-05 02:00,0
2019-01-05 06:00,2019-01-05 03:00,0
2019-01-05 07:00,2019-01-05 04:00,0
2019-01-05 08:00,2019-01-05 05:00,19.374
2019-01-05 09:00,2019-01-05 06:00,114.026
2019-01-05 10:00,2019-01-05 07:00,254.980
2019-01-05 11:00,2019-01-05 08:00,331.054
2019-01-05 12:00,2019-01-05 09:00,441.073
2019-01-05 13:00,2019-01-05 10:00,520.899
2019-01-05 14:00,2019-01-05 11:00,337.767
2019-01-05 15:00,2019-01-05 12:00,277.697
2019-01-05 16:00,2019-01-05 13:00,296.359
2019-01-05 17:00,2019-01-05 14:00,238.275
2019-01-05 18:00,2019-01-05 15:00,217.090
2019-01-05 19:00,2019-01-05 16:00,170.998
2019-01-05 20:00,2019-01-05 17:00,147.289
2019-01-05 21:00,2019-01-05 18:00,125.411
2019-01-05 22:00,2019-01-05 19:00,83.587
2019-01-05 23:00,2019-01-05 20:00,54.673
2019-01-06 00:00,2019-01-05 21:00,10.618
2019-01-06 01:00,2019-01-05 22:00,0
2019-01-06 02:00,2019-01-05 23:00,0
2019-01-06 03:00,2019-01-06 00:00,0
2019-01-06 04:00,2019-01-06 01:00,0
2019-01-06 05:00,2019-01-06 02:00,0
2019-01-06 06:00,2019-01-06 03:00,0
2019-01-06 07:00,2019-01-06 04:00,0
2019-01-06 08:00,2019-01-06 05:00,13.738
2019-01-06 09:00,2019-01-06 06:00,75.556
2019-01-06 10:00,2019-01-06 07:00,145.650
2019-01-06 11:00,2019-01-06 08:00,218.513
2019-01-06 12:00,2019-01-06 09:00,272.887
2019-01-06 13:00,2019-01-06 10:00,317.945
2019-01-06 14:00,2019-01-06 11:00,392.649
2019-01-06 15:00,2019-01-06 12:00,465.105
2019-01-06 16:00,2019-01-06 13:00,529.218
2019-01-06 17:00,2019-01-06 14:00,556.396
2019-01-06 18:00,2019-01-06 15:00,503.382
2019-01-06 19:00,2019-01-06 16:00,483.444
2019-01-06 20:00,2019-01-06 17:00,437.695
2019-01-06 21:00,2019-01-06 18:00,334.272
2019-01-06 22:00,2019-01-06 19:00,203.251
2019-01-06 23:00,2019-01-06 20:00,96.267
2019-01-07 00:00,2019-01-06 21:00,16.648
2019-01-07 01:00,2019-01-06 22:00,0
2019-01-07 02:00,2019-01-06 23:00,0
2019-01-07 03:00,2019-01-07 00:00,0
2019-01-07 04:00,2019-01-07 01:00,0
2019-01-07 05:00,2019-01-07 02:00,0
2019-01-07 06:00,2019-01-07 03:00,0
2019-01-07 07:00,2019-01-07 04:00,0
2019-01-07 08:00,2019-01-07 05:00,11.801
2019-01-07 09:00,2019-01-07 06:00,77.364
2019-01-07 10:00,2019-01-07 07:00,180.892
2019-01-07 11:00,2019-01-07 08:00,298.279
2019-01-07 12:00,2019-01-07 09:00,402.079
2019-01-07 13:00,2019-01-07 10:00,526.649
2019-01-07 14:00,2019-01-07 11:00,640.001
2019-01-07 15:00,2019-01-07 12:00,642.847
2019-01-07 16:00,2019-01-07 13:00,576.042
2019-01-07 17:00,2019-01-07 14:00,417.618
2019-01-07 18:00,2019-01-07 15:00,300.077
2019-01-07 19:00,2019-01-07 16:00,221.114
2019-01-07 20:00,2019-01-07 17:00,187.607
2019-01-07 21:00,2019-01-07 18:00,149.266
2019-01-07 22:00,2019-01-07 19:00,93.645
2019-01-07 23:00,2019-01-07 20:00,44.352
2019-01-08 00:00,2019-01-07 21:00,7.323
2019-01-08 01:00,2019-01-07 22:00,0
2019-01-08 02:00,2019-01-07 23:00,0
2019-01-08 03:00,2019-01-08 00:00,0
2019-01-08 04:00,2019-01-08 01:00,0
2019-01-08 05:00,2019-01-08 02:00,0
2019-01-08 06:00,2019-01-08 03:00,0
2019-01-08 07:00,2019-01-08 04:00,0
2019-01-08 08:00,2019-01-08 05:00,7.082
2019-01-08 09:00,2019-01-08 06:00,46.100
2019-01-08 10:00,2019-01-08 07:00,89.943
2019-01-08 11:00,2019-01-08 08:00,120.864
2019-01-08 12:00,2019-01-08 09:00,151.945
2019-01-08 13:00,2019-01-08 10:00,221.633
2019-01-08 14:00,2019-01-08 11:00,299.516
2019-01-08 15:00,2019-01-08 12:00,353.071
2019-01-08 16:00,2019-01-08 13:00,354.628
2019-01-08 17:00,2019-01-08 14:00,325.147
2019-01-08 18:00,2019-01-08 15:00,319.029
2019-01-08 19:00,2019-01-08 16:00,294.560
2019-01-08 20:00,2019-01-08 17:00,272.657
2019-01-08 21:00,2019-01-08 18:00,239.259
2019-01-08 22:00,2019-01-08 19:00,173.544
2019-01-08 23:00,2019-01-08 20:00,93.215
2019-01-09 00:00,2019-01-08 21:00,18.559
2019-01-09 01:00,2019-01-08 22:00,0
2019-01-09 02:00,2019-01-08 23:00,0
2019-01-09 03:00,2019-01-09 00:00,0
