# Renewables.ninja Weather (Point API) - -53.786, -67.702 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Argentina/Ushuaia, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Argentina/Ushuaia", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-53.7856766", "lon": "-67.7016369", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 21:00,9.165
2019-01-01 01:00,2018-12-31 22:00,7.324
2019-01-01 02:00,2018-12-31 23:00,6.264
2019-01-01 03:00,2019-01-01 00:00,5.982
2019-01-01 04:00,2019-01-01 01:00,5.955
2019-01-01 05:00,2019-01-01 02:00,5.831
2019-01-01 06:00,2019-01-01 03:00,5.518
2019-01-01 07:00,2019-01-01 04:00,5.123
2019-01-01 08:00,2019-01-01 05:00,4.946
2019-01-01 09:00,2019-01-01 06:00,5.302
2019-01-01 10:00,2019-01-01 07:00,5.926
2019-01-01 11:00,2019-01-01 08:00,6.751
2019-01-01 12:00,2019-01-01 09:00,7.378
2019-01-01 13:00,2019-01-01 10:00,7.768
2019-01-01 14:00,2019-01-01 11:00,8.210
2019-01-01 15:00,2019-01-01 12:00,8.597
2019-01-01 16:00,2019-01-01 13:00,8.810
2019-01-01 17:00,2019-01-01 14:00,8.926
2019-01-01 18:00,2019-01-01 15:00,9.181
2019-01-01 19:00,2019-01-01 16:00,9.350
2019-01-01 20:00,2019-01-01 17:00,9.379
2019-01-01 21:00,2019-01-01 18:00,9.191
2019-01-01 22:00,2019-01-01 19:00,8.827
2019-01-01 23:00,2019-01-01 20:00,8.221
2019-01-02 00:00,2019-01-01 21:00,7.136
2019-01-02 01:00,2019-01-01 22:00,5.955
2019-01-02 02:00,2019-01-01 23:00,5.419
2019-01-02 03:00,2019-01-02 00:00,5.001
2019-01-02 04:00,2019-01-02 01:00,4.645
2019-01-02 05:00,2019-01-02 02:00,4.443
2019-01-02 06:00,2019-01-02 03:00,4.443
2019-01-02 07:00,2019-01-02 04:00,4.462
2019-01-02 08:00,2019-01-02 05:00,4.492
2019-01-02 09:00,2019-01-02 06:00,4.868
2019-01-02 10:00,2019-01-02 07:00,5.531
2019-01-02 11:00,2019-01-02 08:00,6.342
2019-01-02 12:00,2019-01-02 09:00,7.349
