"heat_source","hour","heat_supply","heat_drain"
"electricity",1.00,0.00,0.00
"electricity",2.00,0.00,0.00
"electricity",3.00,0.00,0.00
"electricity",4.00,0.00,0.00
"electricity",5.00,0.00,0.00
"electricity",6.00,0.00,0.00
"electricity",7.00,0.00,0.00
"electricity",8.00,0.00,0.00
"electricity",9.00,0.00,0.00
"electricity",10.00,0.00,0.00
"electricity",11.00,0.00,0.00
"electricity",12.00,0.00,0.00
"electricity",13.00,0.00,0.00
"electricity",14.00,0.00,0.00
"electricity",15.00,0.00,0.00
"electricity",16.00,0.00,0.00
"electricity",17.00,0.00,0.00
"electricity",18.00,0.00,0.00
"electricity",19.00,0.00,0.00
"electricity",20.00,0.00,0.00
"electricity",21.00,0.00,0.00
"electricity",22.00,0.00,0.00
"electricity",23.00,0.00,0.00
"electricity",24.00,0.00,0.00
"electricity",25.00,0.00,0.00
"electricity",26.00,0.00,0.00
"electricity",27.00,0.00,0.00
"electricity",28.00,0.00,0.00
"electricity",29.00,0.00,0.00
"electricity",30.00,0.00,0.00
"electricity",31.00,0.00,0.00
"electricity",32.00,0.00,0.00
"electricity",33.00,0.00,0.00
"electricity",34.00,0.00,0.00
"electricity",35.00,0.00,0.00
"electricity",36.00,0.00,0.00
"electricity",37.00,0.00,0.00
"electricity",38.00,0.00,0.00
"electricity",39.00,0.00,0.00
"electricity",40.00,0.00,0.00
"electricity",41.00,0.00,0.00
"electricity",42.00,0.00,0.00
"electricity",43.00,0.00,0.00
"electricity",44.00,0.00,0.00
"electricity",45.00,0.00,0.00
"electricity",46.00,0.00,0.00
"electricity",47.00,0.00,0.00
"electricity",48.00,0.00,0.00
"electricity",49.00,0.00,0.00
"electricity",50.00,0.00,0.00
"electricity",51.00,0.00,0.00
"electricity",52.00,0.00,0.00
"electricity",53.00,0.00,0.00
"electricity",54.00,0.00,0.00
"electricity",55.00,0.00,0.00
"electricity",56.00,0.00,0.00
"electricity",57.00,0.00,0.00
"electricity",58.00,0.00,0.00
"electricity",59.00,0.00,0.00
"electricity",60.00,0.00,0.00
"electricity",61.00,0.00,0.00
"electricity",62.00,0.00,0.00
"electricity",63.00,0.00,0.00
"electricity",64.00,0.00,0.00
"electricity",65.00,0.00,0.00
"electricity",66.00,0.00,0.00
"electricity",67.00,0.00,0.00
"electricity",68.00,0.00,0.00
"electricity",69.00,0.00,0.00
"electricity",70.00,0.00,0.00
"electricity",71.00,0.00,0.00
"electricity",72.00,0.00,0.00
"electricity",73.00,0.00,0.00
"electricity",74.00,0.00,0.00
"electricity",75.00,0.00,0.00
"electricity",76.00,0.00,0.00
"electricity",77.00,0.00,0.00
"electricity",78.00,0.00,0.00
"electricity",79.00,0.00,0.00
"electricity",80.00,0.00,0.00
"electricity",81.00,0.00,0.00
"electricity",82.00,0.00,0.00
"electricity",83.00,0.00,0.00
"electricity",84.00,0.00,0.00
"electricity",85.00,0.00,0.00
"electricity",86.00,0.00,0.00
"electricity",87.00,0.00,0.00
"electricity",88.00,0.00,0.00
"electricity",89.00,0.00,0.00
"electricity",90.00,0.00,0.00
"electricity",91.00,0.00,0.00
"electricity",92.00,0.00,0.00
"electricity",93.00,0.00,0.00
"electricity",94.00,0.00,0.00
"electricity",95.00,0.00,0.00
"electricity",96.00,0.00,0.00
"electricity",97.00,0.00,0.00
"electricity",98.00,0.00,0.00
"electricity",99.00,0.00,0.00
"electricity",100.00,0.00,0.00
"electricity",101.00,0.00,0.00
"electricity",102.00,0.00,0.00
"electricity",103.00,0.00,0.00
"electricity",104.00,0.00,0.00
