"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,1.00,0.88,3.00,1.61,0.00,0.00,0.00,0.00,0.75,3.00,0.13,0.00,1.61,9.16,20.50,20.02
2.00,1.00,0.86,3.00,1.38,0.00,0.00,0.00,0.00,0.75,3.00,0.11,0.00,1.38,7.32,20.50,19.98
3.00,1.00,0.84,3.00,1.17,0.00,0.00,0.00,0.00,0.75,3.00,0.09,0.00,1.17,6.26,20.50,19.93
4.00,1.00,0.83,3.00,0.99,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.00,0.99,5.98,20.50,19.87
5.00,1.00,0.82,3.00,0.85,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.00,0.85,5.96,20.50,19.82
6.00,1.00,0.81,3.00,0.73,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.00,0.73,5.83,20.50,19.79
7.00,1.00,0.80,3.00,0.63,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.63,5.52,20.50,19.76
8.00,1.00,0.79,3.00,0.53,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.00,0.53,5.12,20.50,19.73
9.00,1.00,0.79,3.00,0.52,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.00,0.52,4.95,20.50,19.70
10.00,1.00,0.81,3.00,0.74,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.00,0.74,5.30,20.50,19.68
11.00,1.00,0.83,3.00,1.02,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.00,1.02,5.93,20.50,19.67
12.00,1.00,0.86,3.00,1.38,0.00,0.00,0.00,0.00,0.75,3.00,0.11,0.00,1.38,6.75,20.50,19.67
13.00,1.00,0.88,3.00,1.62,0.00,0.00,0.00,0.00,0.75,3.00,0.13,0.00,1.62,7.38,20.50,19.67
14.00,1.00,0.89,3.00,1.69,0.00,0.00,0.00,0.00,0.75,3.00,0.14,0.00,1.69,7.77,20.50,19.69
15.00,1.00,0.90,3.00,1.86,0.00,0.00,0.00,0.00,0.75,3.00,0.15,0.00,1.86,8.21,20.50,19.71
16.00,1.00,0.92,3.00,2.07,0.00,0.00,0.00,0.00,0.75,3.00,0.17,0.00,2.07,8.60,20.50,19.73
17.00,1.00,0.92,3.00,2.16,0.00,0.00,0.00,0.00,0.75,3.00,0.17,0.00,2.16,8.81,20.50,19.75
18.00,1.00,0.93,3.00,2.20,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.20,8.93,20.50,19.76
19.00,1.00,0.93,3.00,2.30,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.30,9.18,20.50,19.78
20.00,1.00,0.94,3.00,2.33,0.00,0.00,0.00,0.00,0.75,3.00,0.19,0.00,2.33,9.35,20.50,19.79
21.00,1.00,0.93,3.00,2.26,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.26,9.38,20.50,19.81
22.00,1.00,0.91,3.00,1.96,0.00,0.00,0.00,0.00,0.75,3.00,0.16,0.00,1.96,9.19,20.50,19.82
23.00,1.00,0.88,3.00,1.63,0.00,0.00,0.00,0.00,0.75,3.00,0.13,0.00,1.63,8.83,20.50,19.83
24.00,1.00,0.85,3.00,1.27,0.00,0.00,0.00,0.00,0.75,3.00,0.10,0.00,1.27,8.22,20.50,19.83
25.00,1.00,0.83,3.00,0.94,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.00,0.94,7.14,20.50,19.82
26.00,1.00,0.81,3.00,0.77,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.00,0.77,5.96,20.50,19.80
27.00,1.00,0.80,3.00,0.66,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.66,5.42,20.50,19.77
28.00,1.00,0.79,3.00,0.55,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.00,0.55,5.00,20.50,19.74
29.00,1.00,0.79,3.00,0.45,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.00,0.45,4.64,20.50,19.71
30.00,1.00,0.78,3.00,0.36,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.00,0.36,4.44,20.50,19.68
31.00,1.00,0.77,3.00,0.28,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.00,0.28,4.44,20.50,19.66
32.00,1.00,0.77,3.00,0.23,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.00,0.23,4.46,20.50,19.64
33.00,1.00,0.77,3.00,0.23,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.00,0.23,4.49,20.50,19.62
34.00,1.00,0.78,3.00,0.40,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.00,0.40,4.87,20.50,19.61
35.00,1.00,0.80,3.00,0.64,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.64,5.53,20.50,19.61
36.00,1.00,0.82,3.00,0.92,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.00,0.92,6.34,20.50,19.62
37.00,1.00,0.87,3.00,1.48,0.00,0.00,0.00,0.00,0.75,3.00,0.12,0.00,1.48,7.35,20.50,19.63
38.00,1.00,0.90,3.00,1.93,0.00,0.00,0.00,0.00,0.75,3.00,0.15,0.00,1.93,8.24,20.50,19.66
39.00,1.00,0.92,3.00,2.06,0.00,0.00,0.00,0.00,0.75,3.00,0.17,0.00,2.06,8.79,20.50,19.69
40.00,1.00,0.92,3.00,2.14,0.00,0.00,0.00,0.00,0.75,3.00,0.17,0.00,2.14,9.09,20.50,19.72
41.00,1.00,0.91,3.00,2.04,0.00,0.00,0.00,0.00,0.75,3.00,0.16,0.00,2.04,9.24,20.50,19.75
42.00,1.00,0.92,3.00,2.16,0.00,0.00,0.00,0.00,0.75,3.00,0.17,0.00,2.16,9.60,20.50,19.77
43.00,1.00,0.93,3.00,2.23,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.23,9.91,20.50,19.79
44.00,1.00,0.93,3.00,2.26,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.26,10.13,20.50,19.81
45.00,1.00,0.93,3.00,2.21,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.21,10.25,20.50,19.83
46.00,1.00,0.91,3.00,2.01,0.00,0.00,0.00,0.00,0.75,3.00,0.16,0.00,2.01,10.20,20.50,19.85
47.00,1.00,0.88,3.00,1.62,0.00,0.00,0.00,0.00,0.75,3.00,0.13,0.00,1.62,9.82,20.50,19.86
48.00,1.00,0.85,3.00,1.29,0.00,0.00,0.00,0.00,0.75,3.00,0.10,0.00,1.29,9.13,20.50,19.87
49.00,1.00,0.84,3.00,1.08,0.00,0.00,0.00,0.00,0.75,3.00,0.09,0.00,1.08,8.24,20.50,19.86
50.00,1.00,0.83,3.00,0.97,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.00,0.97,7.57,20.50,19.85
51.00,1.00,0.82,3.00,0.90,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.00,0.90,7.24,20.50,19.83
52.00,1.00,0.82,3.00,0.83,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.00,0.83,7.06,20.50,19.81
53.00,1.00,0.81,3.00,0.77,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.00,0.77,6.95,20.50,19.79
54.00,1.00,0.81,3.00,0.72,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.00,0.72,6.82,20.50,19.77
55.00,1.00,0.80,3.00,0.67,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.67,6.68,20.50,19.76
56.00,1.00,0.80,3.00,0.63,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.63,6.55,20.50,19.75
57.00,1.00,0.80,3.00,0.64,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.00,0.64,6.49,20.50,19.73
58.00,1.00,0.82,3.00,0.83,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.00,0.83,6.77,20.50,19.72
59.00,1.00,0.84,3.00,1.18,0.00,0.00,0.00,0.00,0.75,3.00,0.09,0.00,1.18,7.22,20.50,19.72
60.00,1.00,0.89,3.00,1.70,0.00,0.00,0.00,0.00,0.75,3.00,0.14,0.00,1.70,8.12,20.50,19.72
61.00,1.00,0.94,3.00,2.32,0.00,0.00,0.00,0.00,0.75,3.00,0.19,0.00,2.32,9.36,20.50,19.74
62.00,0.89,0.87,2.67,2.50,0.00,0.00,0.00,0.00,0.67,2.67,0.20,0.00,2.50,10.47,20.50,19.76
63.00,0.80,0.80,2.40,2.50,0.00,0.00,0.00,0.00,0.60,2.40,0.20,0.00,2.50,11.30,20.50,19.80
64.00,0.78,0.79,2.35,2.50,0.00,0.00,0.00,0.00,0.59,2.35,0.20,0.00,2.50,11.98,20.50,19.84
65.00,0.70,0.73,2.12,2.50,0.00,0.00,0.00,0.00,0.53,2.12,0.20,0.00,2.50,12.64,20.50,19.88
66.00,0.72,0.74,2.17,2.50,0.00,0.00,0.00,0.00,0.54,2.17,0.20,0.00,2.50,13.03,20.50,19.92
67.00,0.84,0.83,2.53,2.50,0.00,0.00,0.00,0.00,0.63,2.53,0.20,0.00,2.50,13.09,20.50,19.95
68.00,0.92,0.89,2.76,2.50,0.00,0.00,0.00,0.00,0.69,2.76,0.20,0.00,2.50,13.01,20.50,19.98
