# Renewables.ninja Weather (Point API) - -30.032, -51.230 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-30.0324999", "lon": "-51.2303767", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 22:00,0
2019-01-01 01:00,2018-12-31 23:00,0
2019-01-01 02:00,2019-01-01 00:00,0
2019-01-01 03:00,2019-01-01 01:00,0
2019-01-01 04:00,2019-01-01 02:00,0
2019-01-01 05:00,2019-01-01 03:00,0
2019-01-01 06:00,2019-01-01 04:00,0
2019-01-01 07:00,2019-01-01 05:00,0
2019-01-01 08:00,2019-01-01 06:00,12.920
2019-01-01 09:00,2019-01-01 07:00,131.034
2019-01-01 10:00,2019-01-01 08:00,278.574
2019-01-01 11:00,2019-01-01 09:00,406.706
2019-01-01 12:00,2019-01-01 10:00,538.651
2019-01-01 13:00,2019-01-01 11:00,693.225
2019-01-01 14:00,2019-01-01 12:00,799.860
2019-01-01 15:00,2019-01-01 13:00,790.832
2019-01-01 16:00,2019-01-01 14:00,779.137
2019-01-01 17:00,2019-01-01 15:00,731.192
2019-01-01 18:00,2019-01-01 16:00,573.729
2019-01-01 19:00,2019-01-01 17:00,284.193
2019-01-01 20:00,2019-01-01 18:00,130.325
2019-01-01 21:00,2019-01-01 19:00,45.293
2019-01-01 22:00,2019-01-01 20:00,2.207
2019-01-01 23:00,2019-01-01 21:00,0
2019-01-02 00:00,2019-01-01 22:00,0
2019-01-02 01:00,2019-01-01 23:00,0
2019-01-02 02:00,2019-01-02 00:00,0
2019-01-02 03:00,2019-01-02 01:00,0
2019-01-02 04:00,2019-01-02 02:00,0
2019-01-02 05:00,2019-01-02 03:00,0
2019-01-02 06:00,2019-01-02 04:00,0
2019-01-02 07:00,2019-01-02 05:00,0
2019-01-02 08:00,2019-01-02 06:00,9.788
2019-01-02 09:00,2019-01-02 07:00,86.447
2019-01-02 10:00,2019-01-02 08:00,180.491
2019-01-02 11:00,2019-01-02 09:00,347.700
2019-01-02 12:00,2019-01-02 10:00,708.515
2019-01-02 13:00,2019-01-02 11:00,926.553
2019-01-02 14:00,2019-01-02 12:00,1024.866
2019-01-02 15:00,2019-01-02 13:00,1043.822
2019-01-02 16:00,2019-01-02 14:00,957.925
2019-01-02 17:00,2019-01-02 15:00,828.635
2019-01-02 18:00,2019-01-02 16:00,643.413
2019-01-02 19:00,2019-01-02 17:00,344.513
2019-01-02 20:00,2019-01-02 18:00,142.063
2019-01-02 21:00,2019-01-02 19:00,38.573
2019-01-02 22:00,2019-01-02 20:00,1.553
2019-01-02 23:00,2019-01-02 21:00,0
2019-01-03 00:00,2019-01-02 22:00,0
2019-01-03 01:00,2019-01-02 23:00,0
2019-01-03 02:00,2019-01-03 00:00,0
2019-01-03 03:00,2019-01-03 01:00,0
2019-01-03 04:00,2019-01-03 02:00,0
2019-01-03 05:00,2019-01-03 03:00,0
2019-01-03 06:00,2019-01-03 04:00,0
2019-01-03 07:00,2019-01-03 05:00,0
2019-01-03 08:00,2019-01-03 06:00,4.830
2019-01-03 09:00,2019-01-03 07:00,43.564
2019-01-03 10:00,2019-01-03 08:00,79.762
2019-01-03 11:00,2019-01-03 09:00,97.808
2019-01-03 12:00,2019-01-03 10:00,141.272
2019-01-03 13:00,2019-01-03 11:00,218.488
2019-01-03 14:00,2019-01-03 12:00,283.133
2019-01-03 15:00,2019-01-03 13:00,401.980
2019-01-03 16:00,2019-01-03 14:00,491.680
2019-01-03 17:00,2019-01-03 15:00,465.373
2019-01-03 18:00,2019-01-03 16:00,332.063
2019-01-03 19:00,2019-01-03 17:00,211.703
2019-01-03 20:00,2019-01-03 18:00,157.856
2019-01-03 21:00,2019-01-03 19:00,90.603
2019-01-03 22:00,2019-01-03 20:00,2.643
2019-01-03 23:00,2019-01-03 21:00,0
2019-01-04 00:00,2019-01-03 22:00,0
2019-01-04 01:00,2019-01-03 23:00,0
2019-01-04 02:00,2019-01-04 00:00,0
2019-01-04 03:00,2019-01-04 01:00,0
2019-01-04 04:00,2019-01-04 02:00,0
2019-01-04 05:00,2019-01-04 03:00,0
2019-01-04 06:00,2019-01-04 04:00,0
2019-01-04 07:00,2019-01-04 05:00,0
2019-01-04 08:00,2019-01-04 06:00,10.150
2019-01-04 09:00,2019-01-04 07:00,133.058
2019-01-04 10:00,2019-01-04 08:00,354.644
2019-01-04 11:00,2019-01-04 09:00,580.414
2019-01-04 12:00,2019-01-04 10:00,799.891
2019-01-04 13:00,2019-01-04 11:00,961.730
2019-01-04 14:00,2019-01-04 12:00,1055.324
2019-01-04 15:00,2019-01-04 13:00,1073.892
2019-01-04 16:00,2019-01-04 14:00,1016.515
2019-01-04 17:00,2019-01-04 15:00,920.710
2019-01-04 18:00,2019-01-04 16:00,756.214
2019-01-04 19:00,2019-01-04 17:00,554.680
2019-01-04 20:00,2019-01-04 18:00,284.381
2019-01-04 21:00,2019-01-04 19:00,111.882
2019-01-04 22:00,2019-01-04 20:00,5.246
2019-01-04 23:00,2019-01-04 21:00,0
2019-01-05 00:00,2019-01-04 22:00,0
2019-01-05 01:00,2019-01-04 23:00,0
2019-01-05 02:00,2019-01-05 00:00,0
2019-01-05 03:00,2019-01-05 01:00,0
2019-01-05 04:00,2019-01-05 02:00,0
2019-01-05 05:00,2019-01-05 03:00,0
2019-01-05 06:00,2019-01-05 04:00,0
2019-01-05 07:00,2019-01-05 05:00,0
2019-01-05 08:00,2019-01-05 06:00,12.043
2019-01-05 09:00,2019-01-05 07:00,151.183
2019-01-05 10:00,2019-01-05 08:00,336.388
2019-01-05 11:00,2019-01-05 09:00,530.864
2019-01-05 12:00,2019-01-05 10:00,737.460
2019-01-05 13:00,2019-01-05 11:00,891.050
2019-01-05 14:00,2019-01-05 12:00,940.271
2019-01-05 15:00,2019-01-05 13:00,951.657
2019-01-05 16:00,2019-01-05 14:00,864.581
2019-01-05 17:00,2019-01-05 15:00,762.955
2019-01-05 18:00,2019-01-05 16:00,631.355
2019-01-05 19:00,2019-01-05 17:00,479.773
2019-01-05 20:00,2019-01-05 18:00,277.744
2019-01-05 21:00,2019-01-05 19:00,86.903
2019-01-05 22:00,2019-01-05 20:00,3.853
2019-01-05 23:00,2019-01-05 21:00,0
2019-01-06 00:00,2019-01-05 22:00,0
2019-01-06 01:00,2019-01-05 23:00,0
2019-01-06 02:00,2019-01-06 00:00,0
2019-01-06 03:00,2019-01-06 01:00,0
2019-01-06 04:00,2019-01-06 02:00,0
2019-01-06 05:00,2019-01-06 03:00,0
2019-01-06 06:00,2019-01-06 04:00,0
2019-01-06 07:00,2019-01-06 05:00,0
2019-01-06 08:00,2019-01-06 06:00,8.201
2019-01-06 09:00,2019-01-06 07:00,87.046
2019-01-06 10:00,2019-01-06 08:00,245.293
2019-01-06 11:00,2019-01-06 09:00,431.640
2019-01-06 12:00,2019-01-06 10:00,569.920
2019-01-06 13:00,2019-01-06 11:00,621.079
2019-01-06 14:00,2019-01-06 12:00,621.727
2019-01-06 15:00,2019-01-06 13:00,587.708
2019-01-06 16:00,2019-01-06 14:00,467.039
2019-01-06 17:00,2019-01-06 15:00,369.996
2019-01-06 18:00,2019-01-06 16:00,296.869
2019-01-06 19:00,2019-01-06 17:00,241.384
2019-01-06 20:00,2019-01-06 18:00,145.396
2019-01-06 21:00,2019-01-06 19:00,48.462
2019-01-06 22:00,2019-01-06 20:00,2.305
2019-01-06 23:00,2019-01-06 21:00,0
2019-01-07 00:00,2019-01-06 22:00,0
2019-01-07 01:00,2019-01-06 23:00,0
2019-01-07 02:00,2019-01-07 00:00,0
2019-01-07 03:00,2019-01-07 01:00,0
2019-01-07 04:00,2019-01-07 02:00,0
2019-01-07 05:00,2019-01-07 03:00,0
2019-01-07 06:00,2019-01-07 04:00,0
2019-01-07 07:00,2019-01-07 05:00,0
2019-01-07 08:00,2019-01-07 06:00,5.935
2019-01-07 09:00,2019-01-07 07:00,86.362
2019-01-07 10:00,2019-01-07 08:00,252.583
2019-01-07 11:00,2019-01-07 09:00,522.685
2019-01-07 12:00,2019-01-07 10:00,719.537
2019-01-07 13:00,2019-01-07 11:00,775.846
2019-01-07 14:00,2019-01-07 12:00,718.998
2019-01-07 15:00,2019-01-07 13:00,569.612
2019-01-07 16:00,2019-01-07 14:00,359.922
2019-01-07 17:00,2019-01-07 15:00,274.921
2019-01-07 18:00,2019-01-07 16:00,239.750
2019-01-07 19:00,2019-01-07 17:00,160.209
2019-01-07 20:00,2019-01-07 18:00,94.639
2019-01-07 21:00,2019-01-07 19:00,41.121
2019-01-07 22:00,2019-01-07 20:00,2.099
2019-01-07 23:00,2019-01-07 21:00,0
2019-01-08 00:00,2019-01-07 22:00,0
2019-01-08 01:00,2019-01-07 23:00,0
2019-01-08 02:00,2019-01-08 00:00,0
2019-01-08 03:00,2019-01-08 01:00,0
2019-01-08 04:00,2019-01-08 02:00,0
2019-01-08 05:00,2019-01-08 03:00,0
2019-01-08 06:00,2019-01-08 04:00,0
2019-01-08 07:00,2019-01-08 05:00,0
2019-01-08 08:00,2019-01-08 06:00,8.111
2019-01-08 09:00,2019-01-08 07:00,92.963
2019-01-08 10:00,2019-01-08 08:00,214.325
2019-01-08 11:00,2019-01-08 09:00,361.046
2019-01-08 12:00,2019-01-08 10:00,488.206
2019-01-08 13:00,2019-01-08 11:00,562.374
2019-01-08 14:00,2019-01-08 12:00,655.056
2019-01-08 15:00,2019-01-08 13:00,751.308
2019-01-08 16:00,2019-01-08 14:00,806.938
2019-01-08 17:00,2019-01-08 15:00,652.581
2019-01-08 18:00,2019-01-08 16:00,434.579
2019-01-08 19:00,2019-01-08 17:00,303.350
2019-01-08 20:00,2019-01-08 18:00,118.397
2019-01-08 21:00,2019-01-08 19:00,35.702
2019-01-08 22:00,2019-01-08 20:00,0.930
2019-01-08 23:00,2019-01-08 21:00,0
2019-01-09 00:00,2019-01-08 22:00,0
2019-01-09 01:00,2019-01-08 23:00,0
2019-01-09 02:00,2019-01-09 00:00,0
2019-01-09 03:00,2019-01-09 01:00,0
2019-01-09 04:00,2019-01-09 02:00,0
2019-01-09 05:00,2019-01-09 03:00,0
2019-01-09 06:00,2019-01-09 04:00,0
2019-01-09 07:00,2019-01-09 05:00,0
2019-01-09 08:00,2019-01-09 06:00,2.401
2019-01-09 09:00,2019-01-09 07:00,36.340
2019-01-09 10:00,2019-01-09 08:00,132.182
2019-01-09 11:00,2019-01-09 09:00,219.548
2019-01-09 12:00,2019-01-09 10:00,326.437
2019-01-09 13:00,2019-01-09 11:00,409.519
2019-01-09 14:00,2019-01-09 12:00,462.127
2019-01-09 15:00,2019-01-09 13:00,518.797
2019-01-09 16:00,2019-01-09 14:00,519.012
2019-01-09 17:00,2019-01-09 15:00,422.518
2019-01-09 18:00,2019-01-09 16:00,328.664
2019-01-09 19:00,2019-01-09 17:00,234.407
2019-01-09 20:00,2019-01-09 18:00,133.415
2019-01-09 21:00,2019-01-09 19:00,43.300
2019-01-09 22:00,2019-01-09 20:00,1.281
2019-01-09 23:00,2019-01-09 21:00,0
2019-01-10 00:00,2019-01-09 22:00,0
2019-01-10 01:00,2019-01-09 23:00,0
2019-01-10 02:00,2019-01-10 00:00,0
2019-01-10 03:00,2019-01-10 01:00,0
2019-01-10 04:00,2019-01-10 02:00,0
2019-01-10 05:00,2019-01-10 03:00,0
2019-01-10 06:00,2019-01-10 04:00,0
2019-01-10 07:00,2019-01-10 05:00,0
2019-01-10 08:00,2019-01-10 06:00,5.076
2019-01-10 09:00,2019-01-10 07:00,67.877
2019-01-10 10:00,2019-01-10 08:00,198.835
2019-01-10 11:00,2019-01-10 09:00,386.687
2019-01-10 12:00,2019-01-10 10:00,562.908
2019-01-10 13:00,2019-01-10 11:00,682.770
2019-01-10 14:00,2019-01-10 12:00,722.861
2019-01-10 15:00,2019-01-10 13:00,695.353
2019-01-10 16:00,2019-01-10 14:00,556.296
2019-01-10 17:00,2019-01-10 15:00,353.361
2019-01-10 18:00,2019-01-10 16:00,250.547
2019-01-10 19:00,2019-01-10 17:00,143.938
2019-01-10 20:00,2019-01-10 18:00,56.957
2019-01-10 21:00,2019-01-10 19:00,19.067
2019-01-10 22:00,2019-01-10 20:00,1.151
2019-01-10 23:00,2019-01-10 21:00,0
2019-01-11 00:00,2019-01-10 22:00,0
2019-01-11 01:00,2019-01-10 23:00,0
2019-01-11 02:00,2019-01-11 00:00,0
2019-01-11 03:00,2019-01-11 01:00,0
2019-01-11 04:00,2019-01-11 02:00,0
2019-01-11 05:00,2019-01-11 03:00,0
2019-01-11 06:00,2019-01-11 04:00,0
2019-01-11 07:00,2019-01-11 05:00,0
2019-01-11 08:00,2019-01-11 06:00,9.042
2019-01-11 09:00,2019-01-11 07:00,123.045
2019-01-11 10:00,2019-01-11 08:00,278.550
2019-01-11 11:00,2019-01-11 09:00,379.835
2019-01-11 12:00,2019-01-11 10:00,521.182
2019-01-11 13:00,2019-01-11 11:00,661.442
2019-01-11 14:00,2019-01-11 12:00,712.302
2019-01-11 15:00,2019-01-11 13:00,748.986
2019-01-11 16:00,2019-01-11 14:00,607.994
2019-01-11 17:00,2019-01-11 15:00,469.611
2019-01-11 18:00,2019-01-11 16:00,381.335
2019-01-11 19:00,2019-01-11 17:00,253.486
2019-01-11 20:00,2019-01-11 18:00,128.837
2019-01-11 21:00,2019-01-11 19:00,55.904
2019-01-11 22:00,2019-01-11 20:00,2.135
2019-01-11 23:00,2019-01-11 21:00,0
2019-01-12 00:00,2019-01-11 22:00,0
2019-01-12 01:00,2019-01-11 23:00,0
2019-01-12 02:00,2019-01-12 00:00,0
2019-01-12 03:00,2019-01-12 01:00,0
2019-01-12 04:00,2019-01-12 02:00,0
2019-01-12 05:00,2019-01-12 03:00,0
2019-01-12 06:00,2019-01-12 04:00,0
