# Renewables.ninja Weather (Point API) - -30.032, -51.230 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Sao_Paulo, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Sao_Paulo", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-30.0324999", "lon": "-51.2303767", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 22:00,24.204
2019-01-01 01:00,2018-12-31 23:00,23.850
2019-01-01 02:00,2019-01-01 00:00,23.625
2019-01-01 03:00,2019-01-01 01:00,23.590
2019-01-01 04:00,2019-01-01 02:00,23.545
2019-01-01 05:00,2019-01-01 03:00,23.343
2019-01-01 06:00,2019-01-01 04:00,23.183
2019-01-01 07:00,2019-01-01 05:00,23.010
2019-01-01 08:00,2019-01-01 06:00,22.954
2019-01-01 09:00,2019-01-01 07:00,24.497
2019-01-01 10:00,2019-01-01 08:00,25.973
2019-01-01 11:00,2019-01-01 09:00,27.523
2019-01-01 12:00,2019-01-01 10:00,28.850
2019-01-01 13:00,2019-01-01 11:00,30.124
2019-01-01 14:00,2019-01-01 12:00,31.158
2019-01-01 15:00,2019-01-01 13:00,31.838
2019-01-01 16:00,2019-01-01 14:00,32.316
2019-01-01 17:00,2019-01-01 15:00,32.526
2019-01-01 18:00,2019-01-01 16:00,32.400
2019-01-01 19:00,2019-01-01 17:00,31.959
2019-01-01 20:00,2019-01-01 18:00,30.607
2019-01-01 21:00,2019-01-01 19:00,28.597
2019-01-01 22:00,2019-01-01 20:00,27.241
2019-01-01 23:00,2019-01-01 21:00,26.502
2019-01-02 00:00,2019-01-01 22:00,25.969
2019-01-02 01:00,2019-01-01 23:00,25.548
2019-01-02 02:00,2019-01-02 00:00,25.117
2019-01-02 03:00,2019-01-02 01:00,24.680
2019-01-02 04:00,2019-01-02 02:00,24.172
2019-01-02 05:00,2019-01-02 03:00,23.636
2019-01-02 06:00,2019-01-02 04:00,23.207
2019-01-02 07:00,2019-01-02 05:00,23.001
2019-01-02 08:00,2019-01-02 06:00,23.019
2019-01-02 09:00,2019-01-02 07:00,24.265
2019-01-02 10:00,2019-01-02 08:00,25.409
2019-01-02 11:00,2019-01-02 09:00,27.155
2019-01-02 12:00,2019-01-02 10:00,29.423
2019-01-02 13:00,2019-01-02 11:00,31.661
2019-01-02 14:00,2019-01-02 12:00,33.553
2019-01-02 15:00,2019-01-02 13:00,34.823
2019-01-02 16:00,2019-01-02 14:00,35.547
2019-01-02 17:00,2019-01-02 15:00,35.880
2019-01-02 18:00,2019-01-02 16:00,35.777
2019-01-02 19:00,2019-01-02 17:00,35.540
2019-01-02 20:00,2019-01-02 18:00,34.174
2019-01-02 21:00,2019-01-02 19:00,32.300
2019-01-02 22:00,2019-01-02 20:00,30.858
2019-01-02 23:00,2019-01-02 21:00,30.193
2019-01-03 00:00,2019-01-02 22:00,29.476
2019-01-03 01:00,2019-01-02 23:00,28.931
2019-01-03 02:00,2019-01-03 00:00,28.513
2019-01-03 03:00,2019-01-03 01:00,28.088
2019-01-03 04:00,2019-01-03 02:00,27.596
2019-01-03 05:00,2019-01-03 03:00,27.154
2019-01-03 06:00,2019-01-03 04:00,26.884
2019-01-03 07:00,2019-01-03 05:00,26.672
2019-01-03 08:00,2019-01-03 06:00,26.542
2019-01-03 09:00,2019-01-03 07:00,26.836
2019-01-03 10:00,2019-01-03 08:00,27.017
2019-01-03 11:00,2019-01-03 09:00,26.943
2019-01-03 12:00,2019-01-03 10:00,26.972
2019-01-03 13:00,2019-01-03 11:00,27.047
2019-01-03 14:00,2019-01-03 12:00,26.278
2019-01-03 15:00,2019-01-03 13:00,25.052
2019-01-03 16:00,2019-01-03 14:00,24.793
2019-01-03 17:00,2019-01-03 15:00,24.899
2019-01-03 18:00,2019-01-03 16:00,24.382
2019-01-03 19:00,2019-01-03 17:00,23.548
2019-01-03 20:00,2019-01-03 18:00,23.162
2019-01-03 21:00,2019-01-03 19:00,22.741
2019-01-03 22:00,2019-01-03 20:00,21.821
2019-01-03 23:00,2019-01-03 21:00,21.499
2019-01-04 00:00,2019-01-03 22:00,21.089
2019-01-04 01:00,2019-01-03 23:00,20.691
