"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,16.98,8.51,47.82,50.00,0.00,0.00,0.00,0.00,6.31,47.82,2.20,0.00,50.00,24.20,20.50,21.04,0.00,0.00,0.00,0.00,0.00,0.00
2.00,17.07,8.54,48.06,50.00,0.00,0.00,0.00,0.00,6.34,48.06,2.20,0.00,50.00,23.85,20.50,20.97,0.00,0.00,0.00,0.00,0.00,0.00
3.00,17.14,8.57,48.25,50.00,0.00,0.00,0.00,0.00,6.37,48.25,2.20,0.00,50.00,23.63,20.50,20.90,0.00,0.00,0.00,0.00,0.00,0.00
4.00,17.19,8.59,48.41,50.00,0.00,0.00,0.00,0.00,6.39,48.41,2.20,0.00,50.00,23.59,20.50,20.85,0.00,0.00,0.00,0.00,0.00,0.00
5.00,17.24,8.61,48.53,50.00,0.00,0.00,0.00,0.00,6.41,48.53,2.20,0.00,50.00,23.55,20.50,20.81,0.00,0.00,0.00,0.00,0.00,0.00
6.00,17.27,8.62,48.63,50.00,0.00,0.00,0.00,0.00,6.42,48.63,2.20,0.00,50.00,23.34,20.50,20.78,0.00,0.00,0.00,0.00,0.00,0.00
7.00,17.30,8.63,48.72,50.00,0.00,0.00,0.00,0.00,6.43,48.72,2.20,0.00,50.00,23.18,20.50,20.76,0.00,0.00,0.00,0.00,0.00,0.00
8.00,17.33,8.64,48.79,50.00,0.00,0.00,0.00,0.00,6.44,48.79,2.20,0.00,50.00,23.01,20.50,20.73,0.00,0.00,0.00,0.00,0.00,0.00
9.00,17.34,8.64,48.82,50.00,0.00,0.00,0.00,0.00,6.44,48.82,2.20,0.00,50.00,22.95,20.50,20.71,0.01,0.00,0.00,0.00,0.00,0.00
10.00,17.22,8.60,48.47,50.00,0.00,0.00,0.00,0.00,6.40,48.47,2.20,0.00,50.00,24.50,20.50,20.70,0.13,0.85,0.00,0.00,0.00,0.00
11.00,17.04,8.53,47.97,50.00,0.00,0.00,0.00,0.00,6.33,47.97,2.20,0.00,50.00,25.97,20.50,20.70,0.28,0.90,0.00,0.00,0.00,0.00
12.00,16.86,8.47,47.47,50.00,0.00,0.00,0.00,0.00,6.27,47.47,2.20,0.00,50.00,27.52,20.50,20.73,0.41,0.90,0.00,0.00,0.00,0.00
13.00,16.67,8.39,46.93,50.00,0.00,0.00,0.00,0.00,6.19,46.93,2.20,0.00,50.00,28.85,20.50,20.77,0.54,0.89,0.00,0.00,0.00,0.00
14.00,16.44,8.31,46.29,50.00,0.00,0.00,0.00,0.00,6.11,46.29,2.20,0.00,50.00,30.12,20.50,20.82,0.69,0.87,0.00,0.00,0.00,0.00
15.00,16.26,8.24,45.78,50.00,0.00,0.00,0.00,0.00,6.04,45.78,2.20,0.00,50.00,31.16,20.50,20.87,0.80,0.85,0.00,0.00,0.00,0.00
