# Renewables.ninja Weather (Point API) - 43.653, -79.384 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Toronto, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Toronto", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "43.6534817", "lon": "-79.3839347", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 19:00,2.908
2019-01-01 01:00,2018-12-31 20:00,2.383
2019-01-01 02:00,2018-12-31 21:00,2.611
2019-01-01 03:00,2018-12-31 22:00,3.384
2019-01-01 04:00,2018-12-31 23:00,4.744
2019-01-01 05:00,2019-01-01 00:00,6.370
2019-01-01 06:00,2019-01-01 01:00,6.459
2019-01-01 07:00,2019-01-01 02:00,4.890
2019-01-01 08:00,2019-01-01 03:00,2.541
2019-01-01 09:00,2019-01-01 04:00,0.871
2019-01-01 10:00,2019-01-01 05:00,0.528
2019-01-01 11:00,2019-01-01 06:00,0.335
2019-01-01 12:00,2019-01-01 07:00,-0.174
2019-01-01 13:00,2019-01-01 08:00,-0.592
2019-01-01 14:00,2019-01-01 09:00,-0.623
2019-01-01 15:00,2019-01-01 10:00,-0.512
2019-01-01 16:00,2019-01-01 11:00,-0.354
2019-01-01 17:00,2019-01-01 12:00,-0.236
2019-01-01 18:00,2019-01-01 13:00,-0.281
2019-01-01 19:00,2019-01-01 14:00,-0.543
2019-01-01 20:00,2019-01-01 15:00,-1.113
2019-01-01 21:00,2019-01-01 16:00,-2.275
2019-01-01 22:00,2019-01-01 17:00,-3.509
2019-01-01 23:00,2019-01-01 18:00,-4.429
2019-01-02 00:00,2019-01-01 19:00,-5.160
2019-01-02 01:00,2019-01-01 20:00,-5.688
2019-01-02 02:00,2019-01-01 21:00,-6.116
2019-01-02 03:00,2019-01-01 22:00,-6.467
2019-01-02 04:00,2019-01-01 23:00,-6.689
2019-01-02 05:00,2019-01-02 00:00,-6.703
2019-01-02 06:00,2019-01-02 01:00,-6.617
2019-01-02 07:00,2019-01-02 02:00,-6.945
2019-01-02 08:00,2019-01-02 03:00,-7.398
2019-01-02 09:00,2019-01-02 04:00,-7.664
2019-01-02 10:00,2019-01-02 05:00,-7.823
2019-01-02 11:00,2019-01-02 06:00,-7.931
2019-01-02 12:00,2019-01-02 07:00,-8.001
2019-01-02 13:00,2019-01-02 08:00,-7.494
2019-01-02 14:00,2019-01-02 09:00,-6.079
2019-01-02 15:00,2019-01-02 10:00,-4.779
2019-01-02 16:00,2019-01-02 11:00,-3.953
2019-01-02 17:00,2019-01-02 12:00,-3.395
2019-01-02 18:00,2019-01-02 13:00,-2.886
2019-01-02 19:00,2019-01-02 14:00,-2.515
2019-01-02 20:00,2019-01-02 15:00,-2.290
2019-01-02 21:00,2019-01-02 16:00,-2.384
2019-01-02 22:00,2019-01-02 17:00,-2.185
2019-01-02 23:00,2019-01-02 18:00,-1.833
2019-01-03 00:00,2019-01-02 19:00,-1.509
2019-01-03 01:00,2019-01-02 20:00,-1.198
2019-01-03 02:00,2019-01-02 21:00,-0.982
2019-01-03 03:00,2019-01-02 22:00,-0.721
2019-01-03 04:00,2019-01-02 23:00,-0.450
2019-01-03 05:00,2019-01-03 00:00,-0.184
2019-01-03 06:00,2019-01-03 01:00,-0.072
2019-01-03 07:00,2019-01-03 02:00,-0.587
2019-01-03 08:00,2019-01-03 03:00,-1.491
2019-01-03 09:00,2019-01-03 04:00,-1.962
2019-01-03 10:00,2019-01-03 05:00,-2.125
2019-01-03 11:00,2019-01-03 06:00,-2.135
2019-01-03 12:00,2019-01-03 07:00,-1.861
2019-01-03 13:00,2019-01-03 08:00,-1.360
2019-01-03 14:00,2019-01-03 09:00,-0.517
2019-01-03 15:00,2019-01-03 10:00,0.037
2019-01-03 16:00,2019-01-03 11:00,0.299
2019-01-03 17:00,2019-01-03 12:00,0.491
2019-01-03 18:00,2019-01-03 13:00,0.670
