# Renewables.ninja Weather (Point API) - 22.279, 114.163 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Hong_Kong, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Hong_Kong", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "22.2793278", "lon": "114.1628131", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 08:00,222.475
2019-01-01 01:00,2019-01-01 09:00,388.308
2019-01-01 02:00,2019-01-01 10:00,535.016
2019-01-01 03:00,2019-01-01 11:00,606.335
2019-01-01 04:00,2019-01-01 12:00,584.576
2019-01-01 05:00,2019-01-01 13:00,500.819
2019-01-01 06:00,2019-01-01 14:00,367.482
2019-01-01 07:00,2019-01-01 15:00,244.244
2019-01-01 08:00,2019-01-01 16:00,125.299
2019-01-01 09:00,2019-01-01 17:00,20.096
2019-01-01 10:00,2019-01-01 18:00,0
2019-01-01 11:00,2019-01-01 19:00,0
2019-01-01 12:00,2019-01-01 20:00,0
2019-01-01 13:00,2019-01-01 21:00,0
2019-01-01 14:00,2019-01-01 22:00,0
2019-01-01 15:00,2019-01-01 23:00,0
2019-01-01 16:00,2019-01-02 00:00,0
2019-01-01 17:00,2019-01-02 01:00,0
2019-01-01 18:00,2019-01-02 02:00,0
2019-01-01 19:00,2019-01-02 03:00,0
2019-01-01 20:00,2019-01-02 04:00,0
2019-01-01 21:00,2019-01-02 05:00,0
2019-01-01 22:00,2019-01-02 06:00,0
2019-01-01 23:00,2019-01-02 07:00,32.638
2019-01-02 00:00,2019-01-02 08:00,140.457
2019-01-02 01:00,2019-01-02 09:00,262.793
2019-01-02 02:00,2019-01-02 10:00,374.427
2019-01-02 03:00,2019-01-02 11:00,438.206
2019-01-02 04:00,2019-01-02 12:00,454.571
2019-01-02 05:00,2019-01-02 13:00,418.374
2019-01-02 06:00,2019-01-02 14:00,343.235
2019-01-02 07:00,2019-01-02 15:00,236.969
2019-01-02 08:00,2019-01-02 16:00,117.376
2019-01-02 09:00,2019-01-02 17:00,18.394
2019-01-02 10:00,2019-01-02 18:00,0
2019-01-02 11:00,2019-01-02 19:00,0
2019-01-02 12:00,2019-01-02 20:00,0
2019-01-02 13:00,2019-01-02 21:00,0
2019-01-02 14:00,2019-01-02 22:00,0
2019-01-02 15:00,2019-01-02 23:00,0
2019-01-02 16:00,2019-01-03 00:00,0
2019-01-02 17:00,2019-01-03 01:00,0
2019-01-02 18:00,2019-01-03 02:00,0
2019-01-02 19:00,2019-01-03 03:00,0
2019-01-02 20:00,2019-01-03 04:00,0
2019-01-02 21:00,2019-01-03 05:00,0
2019-01-02 22:00,2019-01-03 06:00,0
2019-01-02 23:00,2019-01-03 07:00,33.576
2019-01-03 00:00,2019-01-03 08:00,158.470
2019-01-03 01:00,2019-01-03 09:00,295.495
2019-01-03 02:00,2019-01-03 10:00,377.952
2019-01-03 03:00,2019-01-03 11:00,410.825
2019-01-03 04:00,2019-01-03 12:00,424.237
2019-01-03 05:00,2019-01-03 13:00,399.246
2019-01-03 06:00,2019-01-03 14:00,354.381
2019-01-03 07:00,2019-01-03 15:00,247.168
2019-01-03 08:00,2019-01-03 16:00,122.331
2019-01-03 09:00,2019-01-03 17:00,18.216
2019-01-03 10:00,2019-01-03 18:00,0
2019-01-03 11:00,2019-01-03 19:00,0
2019-01-03 12:00,2019-01-03 20:00,0
2019-01-03 13:00,2019-01-03 21:00,0
2019-01-03 14:00,2019-01-03 22:00,0
2019-01-03 15:00,2019-01-03 23:00,0
2019-01-03 16:00,2019-01-04 00:00,0
2019-01-03 17:00,2019-01-04 01:00,0
2019-01-03 18:00,2019-01-04 02:00,0
2019-01-03 19:00,2019-01-04 03:00,0
2019-01-03 20:00,2019-01-04 04:00,0
2019-01-03 21:00,2019-01-04 05:00,0
2019-01-03 22:00,2019-01-04 06:00,0
2019-01-03 23:00,2019-01-04 07:00,37.220
2019-01-04 00:00,2019-01-04 08:00,162.627
2019-01-04 01:00,2019-01-04 09:00,299.232
2019-01-04 02:00,2019-01-04 10:00,402.524
2019-01-04 03:00,2019-01-04 11:00,448.040
2019-01-04 04:00,2019-01-04 12:00,455.259
2019-01-04 05:00,2019-01-04 13:00,426.527
2019-01-04 06:00,2019-01-04 14:00,370.501
2019-01-04 07:00,2019-01-04 15:00,270.835
2019-01-04 08:00,2019-01-04 16:00,141.262
2019-01-04 09:00,2019-01-04 17:00,22.388
2019-01-04 10:00,2019-01-04 18:00,0
2019-01-04 11:00,2019-01-04 19:00,0
2019-01-04 12:00,2019-01-04 20:00,0
2019-01-04 13:00,2019-01-04 21:00,0
2019-01-04 14:00,2019-01-04 22:00,0
2019-01-04 15:00,2019-01-04 23:00,0
2019-01-04 16:00,2019-01-05 00:00,0
2019-01-04 17:00,2019-01-05 01:00,0
2019-01-04 18:00,2019-01-05 02:00,0
2019-01-04 19:00,2019-01-05 03:00,0
2019-01-04 20:00,2019-01-05 04:00,0
2019-01-04 21:00,2019-01-05 05:00,0
2019-01-04 22:00,2019-01-05 06:00,0
2019-01-04 23:00,2019-01-05 07:00,34.219
2019-01-05 00:00,2019-01-05 08:00,144.479
2019-01-05 01:00,2019-01-05 09:00,280.370
2019-01-05 02:00,2019-01-05 10:00,413.273
2019-01-05 03:00,2019-01-05 11:00,508.229
2019-01-05 04:00,2019-01-05 12:00,556.320
2019-01-05 05:00,2019-01-05 13:00,550.887
2019-01-05 06:00,2019-01-05 14:00,482.686
