# Renewables.ninja Weather (Point API) - 22.279, 114.163 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Hong_Kong, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Hong_Kong", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "22.2793278", "lon": "114.1628131", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 08:00,11.665
2019-01-01 01:00,2019-01-01 09:00,12.435
2019-01-01 02:00,2019-01-01 10:00,13.453
2019-01-01 03:00,2019-01-01 11:00,14.380
2019-01-01 04:00,2019-01-01 12:00,15.111
2019-01-01 05:00,2019-01-01 13:00,15.747
2019-01-01 06:00,2019-01-01 14:00,16.135
2019-01-01 07:00,2019-01-01 15:00,16.310
2019-01-01 08:00,2019-01-01 16:00,16.302
2019-01-01 09:00,2019-01-01 17:00,16.129
2019-01-01 10:00,2019-01-01 18:00,15.866
2019-01-01 11:00,2019-01-01 19:00,15.362
2019-01-01 12:00,2019-01-01 20:00,14.555
2019-01-01 13:00,2019-01-01 21:00,13.700
2019-01-01 14:00,2019-01-01 22:00,12.892
2019-01-01 15:00,2019-01-01 23:00,12.300
2019-01-01 16:00,2019-01-02 00:00,12.017
2019-01-01 17:00,2019-01-02 01:00,11.864
2019-01-01 18:00,2019-01-02 02:00,11.746
2019-01-01 19:00,2019-01-02 03:00,11.668
2019-01-01 20:00,2019-01-02 04:00,11.672
2019-01-01 21:00,2019-01-02 05:00,11.673
2019-01-01 22:00,2019-01-02 06:00,11.681
2019-01-01 23:00,2019-01-02 07:00,11.764
2019-01-02 00:00,2019-01-02 08:00,12.095
2019-01-02 01:00,2019-01-02 09:00,12.637
2019-01-02 02:00,2019-01-02 10:00,13.360
2019-01-02 03:00,2019-01-02 11:00,14.108
2019-01-02 04:00,2019-01-02 12:00,14.749
2019-01-02 05:00,2019-01-02 13:00,15.304
2019-01-02 06:00,2019-01-02 14:00,15.699
2019-01-02 07:00,2019-01-02 15:00,15.965
2019-01-02 08:00,2019-01-02 16:00,16.027
2019-01-02 09:00,2019-01-02 17:00,15.856
2019-01-02 10:00,2019-01-02 18:00,15.594
2019-01-02 11:00,2019-01-02 19:00,15.248
2019-01-02 12:00,2019-01-02 20:00,14.737
2019-01-02 13:00,2019-01-02 21:00,14.151
2019-01-02 14:00,2019-01-02 22:00,13.627
2019-01-02 15:00,2019-01-02 23:00,13.370
2019-01-02 16:00,2019-01-03 00:00,13.306
2019-01-02 17:00,2019-01-03 01:00,13.365
2019-01-02 18:00,2019-01-03 02:00,13.509
2019-01-02 19:00,2019-01-03 03:00,13.666
2019-01-02 20:00,2019-01-03 04:00,13.843
2019-01-02 21:00,2019-01-03 05:00,13.865
2019-01-02 22:00,2019-01-03 06:00,13.780
2019-01-02 23:00,2019-01-03 07:00,13.821
2019-01-03 00:00,2019-01-03 08:00,14.267
2019-01-03 01:00,2019-01-03 09:00,15.005
2019-01-03 02:00,2019-01-03 10:00,15.892
