# Renewables.ninja Weather (Point API) - 55.687, 12.570 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Copenhagen, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "55.6867243", "lon": "12.5700724", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0.991
2019-01-01 08:00,2019-01-01 09:00,25.835
2019-01-01 09:00,2019-01-01 10:00,53.655
2019-01-01 10:00,2019-01-01 11:00,83.901
2019-01-01 11:00,2019-01-01 12:00,97.751
2019-01-01 12:00,2019-01-01 13:00,98.542
2019-01-01 13:00,2019-01-01 14:00,52.872
2019-01-01 14:00,2019-01-01 15:00,6.117
2019-01-01 15:00,2019-01-01 16:00,0
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,1.754
2019-01-02 08:00,2019-01-02 09:00,52.727
2019-01-02 09:00,2019-01-02 10:00,124.175
2019-01-02 10:00,2019-01-02 11:00,169.370
2019-01-02 11:00,2019-01-02 12:00,175.460
2019-01-02 12:00,2019-01-02 13:00,140.780
2019-01-02 13:00,2019-01-02 14:00,75.939
2019-01-02 14:00,2019-01-02 15:00,9.970
2019-01-02 15:00,2019-01-02 16:00,0
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,1.822
2019-01-03 08:00,2019-01-03 09:00,49.445
2019-01-03 09:00,2019-01-03 10:00,108.784
2019-01-03 10:00,2019-01-03 11:00,130.702
2019-01-03 11:00,2019-01-03 12:00,107.730
2019-01-03 12:00,2019-01-03 13:00,88.477
2019-01-03 13:00,2019-01-03 14:00,49.763
2019-01-03 14:00,2019-01-03 15:00,6.253
2019-01-03 15:00,2019-01-03 16:00,0
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0.483
2019-01-04 08:00,2019-01-04 09:00,21.501
2019-01-04 09:00,2019-01-04 10:00,77.958
2019-01-04 10:00,2019-01-04 11:00,119.980
2019-01-04 11:00,2019-01-04 12:00,158.832
2019-01-04 12:00,2019-01-04 13:00,138.213
2019-01-04 13:00,2019-01-04 14:00,74.967
2019-01-04 14:00,2019-01-04 15:00,10.300
2019-01-04 15:00,2019-01-04 16:00,0
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,1.207
2019-01-05 08:00,2019-01-05 09:00,29.832
2019-01-05 09:00,2019-01-05 10:00,99.786
2019-01-05 10:00,2019-01-05 11:00,145.943
2019-01-05 11:00,2019-01-05 12:00,170.332
2019-01-05 12:00,2019-01-05 13:00,141.291
2019-01-05 13:00,2019-01-05 14:00,78.838
2019-01-05 14:00,2019-01-05 15:00,11.801
