# Renewables.ninja Weather (Point API) - 55.687, 12.570 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Copenhagen, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Copenhagen", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "55.6867243", "lon": "12.5700724", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,6.302
2019-01-01 01:00,2019-01-01 02:00,6.595
2019-01-01 02:00,2019-01-01 03:00,6.759
2019-01-01 03:00,2019-01-01 04:00,6.901
2019-01-01 04:00,2019-01-01 05:00,7.027
2019-01-01 05:00,2019-01-01 06:00,6.560
2019-01-01 06:00,2019-01-01 07:00,5.723
2019-01-01 07:00,2019-01-01 08:00,5.385
2019-01-01 08:00,2019-01-01 09:00,5.480
2019-01-01 09:00,2019-01-01 10:00,5.864
2019-01-01 10:00,2019-01-01 11:00,6.167
2019-01-01 11:00,2019-01-01 12:00,6.108
2019-01-01 12:00,2019-01-01 13:00,5.870
2019-01-01 13:00,2019-01-01 14:00,5.393
2019-01-01 14:00,2019-01-01 15:00,5.021
2019-01-01 15:00,2019-01-01 16:00,4.817
2019-01-01 16:00,2019-01-01 17:00,4.680
2019-01-01 17:00,2019-01-01 18:00,4.816
2019-01-01 18:00,2019-01-01 19:00,5.243
2019-01-01 19:00,2019-01-01 20:00,5.877
2019-01-01 20:00,2019-01-01 21:00,6.240
2019-01-01 21:00,2019-01-01 22:00,5.890
2019-01-01 22:00,2019-01-01 23:00,5.356
2019-01-01 23:00,2019-01-02 00:00,4.931
2019-01-02 00:00,2019-01-02 01:00,4.400
2019-01-02 01:00,2019-01-02 02:00,3.834
2019-01-02 02:00,2019-01-02 03:00,3.464
