"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,1.00,0.81,3.72,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.72,0.00,1.31,19.50,18.35
2.00,1.00,0.80,3.65,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.65,0.00,1.33,19.50,18.37
3.00,1.00,0.80,3.60,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.60,0.00,1.30,19.50,18.39
4.00,1.00,0.79,3.56,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.56,0.00,1.34,19.50,18.40
5.00,1.00,0.79,3.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.52,0.00,1.41,19.50,18.41
6.00,1.00,0.79,3.49,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.49,0.00,1.42,19.50,18.42
7.00,1.00,0.79,3.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.47,0.00,1.39,19.50,18.43
8.00,1.00,0.79,3.44,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.44,0.00,1.26,19.50,18.44
9.00,1.00,0.78,3.36,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.36,0.00,1.53,19.50,18.44
10.00,1.00,0.77,3.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.24,0.00,2.25,19.50,18.44
11.00,1.00,0.76,3.09,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.09,0.00,2.74,19.50,18.46
12.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.31,19.50,18.48
13.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.69,19.54,18.50
14.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.58,19.56,18.53
