# Renewables.ninja Weather (Point API) - 48.778, 9.180 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "48.7784485", "lon": "9.1800132", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,4.560
2019-01-01 08:00,2019-01-01 09:00,26.486
2019-01-01 09:00,2019-01-01 10:00,56.105
2019-01-01 10:00,2019-01-01 11:00,85.802
2019-01-01 11:00,2019-01-01 12:00,118.296
2019-01-01 12:00,2019-01-01 13:00,125.192
2019-01-01 13:00,2019-01-01 14:00,78.435
2019-01-01 14:00,2019-01-01 15:00,26.780
2019-01-01 15:00,2019-01-01 16:00,0.989
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,10.500
2019-01-02 08:00,2019-01-02 09:00,74.211
2019-01-02 09:00,2019-01-02 10:00,125.702
2019-01-02 10:00,2019-01-02 11:00,164.981
2019-01-02 11:00,2019-01-02 12:00,203.825
2019-01-02 12:00,2019-01-02 13:00,191.580
2019-01-02 13:00,2019-01-02 14:00,140.309
2019-01-02 14:00,2019-01-02 15:00,61.923
2019-01-02 15:00,2019-01-02 16:00,5.275
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,16.907
2019-01-03 08:00,2019-01-03 09:00,106.737
2019-01-03 09:00,2019-01-03 10:00,178.546
2019-01-03 10:00,2019-01-03 11:00,205.480
2019-01-03 11:00,2019-01-03 12:00,185.431
2019-01-03 12:00,2019-01-03 13:00,136.203
2019-01-03 13:00,2019-01-03 14:00,78.229
2019-01-03 14:00,2019-01-03 15:00,35.212
2019-01-03 15:00,2019-01-03 16:00,2.728
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,11.498
2019-01-04 08:00,2019-01-04 09:00,63.062
2019-01-04 09:00,2019-01-04 10:00,108.886
2019-01-04 10:00,2019-01-04 11:00,150.392
2019-01-04 11:00,2019-01-04 12:00,207.467
2019-01-04 12:00,2019-01-04 13:00,147.587
2019-01-04 13:00,2019-01-04 14:00,77.354
2019-01-04 14:00,2019-01-04 15:00,32.370
2019-01-04 15:00,2019-01-04 16:00,3.598
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,2.882
2019-01-05 08:00,2019-01-05 09:00,19.251
2019-01-05 09:00,2019-01-05 10:00,48.644
2019-01-05 10:00,2019-01-05 11:00,74.671
2019-01-05 11:00,2019-01-05 12:00,71.826
2019-01-05 12:00,2019-01-05 13:00,57.235
2019-01-05 13:00,2019-01-05 14:00,43.493
