hour,time,local_time,radiation_surface
1,2010-01-01 00:00,2010-01-01 01:00,0
2,2010-01-01 01:00,2010-01-01 02:00,0
3,2010-01-01 02:00,2010-01-01 03:00,0
4,2010-01-01 03:00,2010-01-01 04:00,0
5,2010-01-01 04:00,2010-01-01 05:00,0
6,2010-01-01 05:00,2010-01-01 06:00,0
7,2010-01-01 06:00,2010-01-01 07:00,0
8,2010-01-01 07:00,2010-01-01 08:00,6.200
9,2010-01-01 08:00,2010-01-01 09:00,34.700
10,2010-01-01 09:00,2010-01-01 10:00,61.900
11,2010-01-01 10:00,2010-01-01 11:00,79.420
12,2010-01-01 11:00,2010-01-01 12:00,81.821
13,2010-01-01 12:00,2010-01-01 13:00,75.956
14,2010-01-01 13:00,2010-01-01 14:00,54.903
15,2010-01-01 14:00,2010-01-01 15:00,24.603
16,2010-01-01 15:00,2010-01-01 16:00,1.815
17,2010-01-01 16:00,2010-01-01 17:00,0
18,2010-01-01 17:00,2010-01-01 18:00,0
19,2010-01-01 18:00,2010-01-01 19:00,0
20,2010-01-01 19:00,2010-01-01 20:00,0
21,2010-01-01 20:00,2010-01-01 21:00,0
22,2010-01-01 21:00,2010-01-01 22:00,0
23,2010-01-01 22:00,2010-01-01 23:00,0
24,2010-01-01 23:00,2010-01-02 00:00,0
25,2010-01-02 00:00,2010-01-02 01:00,0
26,2010-01-02 01:00,2010-01-02 02:00,0
27,2010-01-02 02:00,2010-01-02 03:00,0
28,2010-01-02 03:00,2010-01-02 04:00,0
29,2010-01-02 04:00,2010-01-02 05:00,0
30,2010-01-02 05:00,2010-01-02 06:00,0
31,2010-01-02 06:00,2010-01-02 07:00,0
32,2010-01-02 07:00,2010-01-02 08:00,9.095
33,2010-01-02 08:00,2010-01-02 09:00,68.580
34,2010-01-02 09:00,2010-01-02 10:00,161.036
35,2010-01-02 10:00,2010-01-02 11:00,224.064
36,2010-01-02 11:00,2010-01-02 12:00,247.327
37,2010-01-02 12:00,2010-01-02 13:00,235.386
38,2010-01-02 13:00,2010-01-02 14:00,186.149
39,2010-01-02 14:00,2010-01-02 15:00,89.244
40,2010-01-02 15:00,2010-01-02 16:00,7.038
41,2010-01-02 16:00,2010-01-02 17:00,0
42,2010-01-02 17:00,2010-01-02 18:00,0
43,2010-01-02 18:00,2010-01-02 19:00,0
44,2010-01-02 19:00,2010-01-02 20:00,0
45,2010-01-02 20:00,2010-01-02 21:00,0
46,2010-01-02 21:00,2010-01-02 22:00,0
47,2010-01-02 22:00,2010-01-02 23:00,0
48,2010-01-02 23:00,2010-01-03 00:00,0
49,2010-01-03 00:00,2010-01-03 01:00,0
50,2010-01-03 01:00,2010-01-03 02:00,0
51,2010-01-03 02:00,2010-01-03 03:00,0
52,2010-01-03 03:00,2010-01-03 04:00,0
53,2010-01-03 04:00,2010-01-03 05:00,0
54,2010-01-03 05:00,2010-01-03 06:00,0
55,2010-01-03 06:00,2010-01-03 07:00,0
56,2010-01-03 07:00,2010-01-03 08:00,12.695
57,2010-01-03 08:00,2010-01-03 09:00,74.501
58,2010-01-03 09:00,2010-01-03 10:00,150.188
59,2010-01-03 10:00,2010-01-03 11:00,209.582
60,2010-01-03 11:00,2010-01-03 12:00,214.116
61,2010-01-03 12:00,2010-01-03 13:00,178.367
62,2010-01-03 13:00,2010-01-03 14:00,112.627
63,2010-01-03 14:00,2010-01-03 15:00,43.293
64,2010-01-03 15:00,2010-01-03 16:00,3.389
65,2010-01-03 16:00,2010-01-03 17:00,0
66,2010-01-03 17:00,2010-01-03 18:00,0
67,2010-01-03 18:00,2010-01-03 19:00,0
68,2010-01-03 19:00,2010-01-03 20:00,0
69,2010-01-03 20:00,2010-01-03 21:00,0
70,2010-01-03 21:00,2010-01-03 22:00,0
71,2010-01-03 22:00,2010-01-03 23:00,0
72,2010-01-03 23:00,2010-01-04 00:00,0
73,2010-01-04 00:00,2010-01-04 01:00,0
74,2010-01-04 01:00,2010-01-04 02:00,0
75,2010-01-04 02:00,2010-01-04 03:00,0
76,2010-01-04 03:00,2010-01-04 04:00,0
77,2010-01-04 04:00,2010-01-04 05:00,0
78,2010-01-04 05:00,2010-01-04 06:00,0
79,2010-01-04 06:00,2010-01-04 07:00,0
80,2010-01-04 07:00,2010-01-04 08:00,11.708
81,2010-01-04 08:00,2010-01-04 09:00,67.463
82,2010-01-04 09:00,2010-01-04 10:00,133.347
83,2010-01-04 10:00,2010-01-04 11:00,182.012
84,2010-01-04 11:00,2010-01-04 12:00,206.605
85,2010-01-04 12:00,2010-01-04 13:00,195.729
86,2010-01-04 13:00,2010-01-04 14:00,145.752
87,2010-01-04 14:00,2010-01-04 15:00,71.179
88,2010-01-04 15:00,2010-01-04 16:00,5.803
89,2010-01-04 16:00,2010-01-04 17:00,0
90,2010-01-04 17:00,2010-01-04 18:00,0
91,2010-01-04 18:00,2010-01-04 19:00,0
92,2010-01-04 19:00,2010-01-04 20:00,0
93,2010-01-04 20:00,2010-01-04 21:00,0
94,2010-01-04 21:00,2010-01-04 22:00,0
95,2010-01-04 22:00,2010-01-04 23:00,0
96,2010-01-04 23:00,2010-01-05 00:00,0
97,2010-01-05 00:00,2010-01-05 01:00,0
98,2010-01-05 01:00,2010-01-05 02:00,0
99,2010-01-05 02:00,2010-01-05 03:00,0
100,2010-01-05 03:00,2010-01-05 04:00,0
101,2010-01-05 04:00,2010-01-05 05:00,0
102,2010-01-05 05:00,2010-01-05 06:00,0
103,2010-01-05 06:00,2010-01-05 07:00,0
104,2010-01-05 07:00,2010-01-05 08:00,15.007
105,2010-01-05 08:00,2010-01-05 09:00,90.982
106,2010-01-05 09:00,2010-01-05 10:00,181.887
107,2010-01-05 10:00,2010-01-05 11:00,259.077
108,2010-01-05 11:00,2010-01-05 12:00,304.660
109,2010-01-05 12:00,2010-01-05 13:00,281.589
110,2010-01-05 13:00,2010-01-05 14:00,200.683
111,2010-01-05 14:00,2010-01-05 15:00,94.968
112,2010-01-05 15:00,2010-01-05 16:00,8.367
113,2010-01-05 16:00,2010-01-05 17:00,0
114,2010-01-05 17:00,2010-01-05 18:00,0
115,2010-01-05 18:00,2010-01-05 19:00,0
116,2010-01-05 19:00,2010-01-05 20:00,0
117,2010-01-05 20:00,2010-01-05 21:00,0
118,2010-01-05 21:00,2010-01-05 22:00,0
119,2010-01-05 22:00,2010-01-05 23:00,0
120,2010-01-05 23:00,2010-01-06 00:00,0
121,2010-01-06 00:00,2010-01-06 01:00,0
122,2010-01-06 01:00,2010-01-06 02:00,0
123,2010-01-06 02:00,2010-01-06 03:00,0
124,2010-01-06 03:00,2010-01-06 04:00,0
125,2010-01-06 04:00,2010-01-06 05:00,0
126,2010-01-06 05:00,2010-01-06 06:00,0
127,2010-01-06 06:00,2010-01-06 07:00,0
128,2010-01-06 07:00,2010-01-06 08:00,14.096
129,2010-01-06 08:00,2010-01-06 09:00,76.771
130,2010-01-06 09:00,2010-01-06 10:00,140.318
131,2010-01-06 10:00,2010-01-06 11:00,180.260
132,2010-01-06 11:00,2010-01-06 12:00,192.917
133,2010-01-06 12:00,2010-01-06 13:00,155.732
134,2010-01-06 13:00,2010-01-06 14:00,101.981
135,2010-01-06 14:00,2010-01-06 15:00,43.992
136,2010-01-06 15:00,2010-01-06 16:00,4.563
137,2010-01-06 16:00,2010-01-06 17:00,0
138,2010-01-06 17:00,2010-01-06 18:00,0
139,2010-01-06 18:00,2010-01-06 19:00,0
140,2010-01-06 19:00,2010-01-06 20:00,0
141,2010-01-06 20:00,2010-01-06 21:00,0
142,2010-01-06 21:00,2010-01-06 22:00,0
143,2010-01-06 22:00,2010-01-06 23:00,0
144,2010-01-06 23:00,2010-01-07 00:00,0
145,2010-01-07 00:00,2010-01-07 01:00,0
146,2010-01-07 01:00,2010-01-07 02:00,0
147,2010-01-07 02:00,2010-01-07 03:00,0
148,2010-01-07 03:00,2010-01-07 04:00,0
149,2010-01-07 04:00,2010-01-07 05:00,0
150,2010-01-07 05:00,2010-01-07 06:00,0
151,2010-01-07 06:00,2010-01-07 07:00,0
152,2010-01-07 07:00,2010-01-07 08:00,19.860
153,2010-01-07 08:00,2010-01-07 09:00,112.182
154,2010-01-07 09:00,2010-01-07 10:00,223.475
155,2010-01-07 10:00,2010-01-07 11:00,286.324
156,2010-01-07 11:00,2010-01-07 12:00,283.501
157,2010-01-07 12:00,2010-01-07 13:00,221.478
158,2010-01-07 13:00,2010-01-07 14:00,115.660
159,2010-01-07 14:00,2010-01-07 15:00,44.515
160,2010-01-07 15:00,2010-01-07 16:00,4.817
161,2010-01-07 16:00,2010-01-07 17:00,0
162,2010-01-07 17:00,2010-01-07 18:00,0
163,2010-01-07 18:00,2010-01-07 19:00,0
164,2010-01-07 19:00,2010-01-07 20:00,0
165,2010-01-07 20:00,2010-01-07 21:00,0
166,2010-01-07 21:00,2010-01-07 22:00,0
167,2010-01-07 22:00,2010-01-07 23:00,0
168,2010-01-07 23:00,2010-01-08 00:00,0
169,2010-01-08 00:00,2010-01-08 01:00,0
170,2010-01-08 01:00,2010-01-08 02:00,0
171,2010-01-08 02:00,2010-01-08 03:00,0
172,2010-01-08 03:00,2010-01-08 04:00,0
173,2010-01-08 04:00,2010-01-08 05:00,0
174,2010-01-08 05:00,2010-01-08 06:00,0
175,2010-01-08 06:00,2010-01-08 07:00,0
176,2010-01-08 07:00,2010-01-08 08:00,7.027
177,2010-01-08 08:00,2010-01-08 09:00,37.587
178,2010-01-08 09:00,2010-01-08 10:00,66.763
179,2010-01-08 10:00,2010-01-08 11:00,93.586
