# Renewables.ninja Weather (Point API) - 48.778, 9.180 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "48.7784485", "lon": "9.1800132", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,1.307
2019-01-01 01:00,2019-01-01 02:00,1.328
2019-01-01 02:00,2019-01-01 03:00,1.304
2019-01-01 03:00,2019-01-01 04:00,1.339
2019-01-01 04:00,2019-01-01 05:00,1.412
2019-01-01 05:00,2019-01-01 06:00,1.415
2019-01-01 06:00,2019-01-01 07:00,1.390
2019-01-01 07:00,2019-01-01 08:00,1.258
2019-01-01 08:00,2019-01-01 09:00,1.526
2019-01-01 09:00,2019-01-01 10:00,2.248
2019-01-01 10:00,2019-01-01 11:00,2.744
2019-01-01 11:00,2019-01-01 12:00,3.306
2019-01-01 12:00,2019-01-01 13:00,3.687
2019-01-01 13:00,2019-01-01 14:00,3.579
2019-01-01 14:00,2019-01-01 15:00,3.084
2019-01-01 15:00,2019-01-01 16:00,2.765
2019-01-01 16:00,2019-01-01 17:00,2.664
2019-01-01 17:00,2019-01-01 18:00,2.660
2019-01-01 18:00,2019-01-01 19:00,2.701
2019-01-01 19:00,2019-01-01 20:00,2.772
2019-01-01 20:00,2019-01-01 21:00,2.724
2019-01-01 21:00,2019-01-01 22:00,2.530
2019-01-01 22:00,2019-01-01 23:00,2.162
2019-01-01 23:00,2019-01-02 00:00,1.576
2019-01-02 00:00,2019-01-02 01:00,0.867
2019-01-02 01:00,2019-01-02 02:00,0.157
2019-01-02 02:00,2019-01-02 03:00,-0.412
2019-01-02 03:00,2019-01-02 04:00,-0.607
2019-01-02 04:00,2019-01-02 05:00,-0.700
2019-01-02 05:00,2019-01-02 06:00,-0.887
2019-01-02 06:00,2019-01-02 07:00,-1.232
2019-01-02 07:00,2019-01-02 08:00,-1.469
2019-01-02 08:00,2019-01-02 09:00,-0.933
2019-01-02 09:00,2019-01-02 10:00,0.005
2019-01-02 10:00,2019-01-02 11:00,0.922
2019-01-02 11:00,2019-01-02 12:00,1.692
2019-01-02 12:00,2019-01-02 13:00,2.061
2019-01-02 13:00,2019-01-02 14:00,2.007
2019-01-02 14:00,2019-01-02 15:00,1.345
2019-01-02 15:00,2019-01-02 16:00,0.143
2019-01-02 16:00,2019-01-02 17:00,-0.647
2019-01-02 17:00,2019-01-02 18:00,-1.496
2019-01-02 18:00,2019-01-02 19:00,-2.532
2019-01-02 19:00,2019-01-02 20:00,-3.387
2019-01-02 20:00,2019-01-02 21:00,-4.046
2019-01-02 21:00,2019-01-02 22:00,-4.395
2019-01-02 22:00,2019-01-02 23:00,-4.560
2019-01-02 23:00,2019-01-03 00:00,-4.639
2019-01-03 00:00,2019-01-03 01:00,-4.729
2019-01-03 01:00,2019-01-03 02:00,-4.755
2019-01-03 02:00,2019-01-03 03:00,-4.724
2019-01-03 03:00,2019-01-03 04:00,-4.604
2019-01-03 04:00,2019-01-03 05:00,-4.438
2019-01-03 05:00,2019-01-03 06:00,-4.328
2019-01-03 06:00,2019-01-03 07:00,-4.287
2019-01-03 07:00,2019-01-03 08:00,-4.032
2019-01-03 08:00,2019-01-03 09:00,-2.575
2019-01-03 09:00,2019-01-03 10:00,-1.005
2019-01-03 10:00,2019-01-03 11:00,0.108
2019-01-03 11:00,2019-01-03 12:00,0.423
2019-01-03 12:00,2019-01-03 13:00,0.387
2019-01-03 13:00,2019-01-03 14:00,0.191
2019-01-03 14:00,2019-01-03 15:00,-0.191
2019-01-03 15:00,2019-01-03 16:00,-0.785
2019-01-03 16:00,2019-01-03 17:00,-0.835
2019-01-03 17:00,2019-01-03 18:00,-0.784
2019-01-03 18:00,2019-01-03 19:00,-0.955
2019-01-03 19:00,2019-01-03 20:00,-1.311
2019-01-03 20:00,2019-01-03 21:00,-1.286
2019-01-03 21:00,2019-01-03 22:00,-1.422
2019-01-03 22:00,2019-01-03 23:00,-1.670
2019-01-03 23:00,2019-01-04 00:00,-1.764
2019-01-04 00:00,2019-01-04 01:00,-1.778
2019-01-04 01:00,2019-01-04 02:00,-1.976
2019-01-04 02:00,2019-01-04 03:00,-2.132
2019-01-04 03:00,2019-01-04 04:00,-2.245
2019-01-04 04:00,2019-01-04 05:00,-2.355
2019-01-04 05:00,2019-01-04 06:00,-2.315
2019-01-04 06:00,2019-01-04 07:00,-2.432
2019-01-04 07:00,2019-01-04 08:00,-2.391
2019-01-04 08:00,2019-01-04 09:00,-1.562
2019-01-04 09:00,2019-01-04 10:00,-0.860
2019-01-04 10:00,2019-01-04 11:00,-0.126
2019-01-04 11:00,2019-01-04 12:00,0.683
2019-01-04 12:00,2019-01-04 13:00,0.963
2019-01-04 13:00,2019-01-04 14:00,0.702
2019-01-04 14:00,2019-01-04 15:00,0.126
2019-01-04 15:00,2019-01-04 16:00,-0.549
2019-01-04 16:00,2019-01-04 17:00,-0.714
2019-01-04 17:00,2019-01-04 18:00,-0.711
2019-01-04 18:00,2019-01-04 19:00,-0.736
2019-01-04 19:00,2019-01-04 20:00,-0.810
2019-01-04 20:00,2019-01-04 21:00,-0.845
2019-01-04 21:00,2019-01-04 22:00,-0.680
2019-01-04 22:00,2019-01-04 23:00,-0.571
2019-01-04 23:00,2019-01-05 00:00,-0.638
2019-01-05 00:00,2019-01-05 01:00,-0.683
2019-01-05 01:00,2019-01-05 02:00,-0.702
2019-01-05 02:00,2019-01-05 03:00,-0.744
2019-01-05 03:00,2019-01-05 04:00,-0.809
2019-01-05 04:00,2019-01-05 05:00,-0.880
2019-01-05 05:00,2019-01-05 06:00,-0.890
2019-01-05 06:00,2019-01-05 07:00,-0.860
2019-01-05 07:00,2019-01-05 08:00,-0.793
2019-01-05 08:00,2019-01-05 09:00,-0.590
2019-01-05 09:00,2019-01-05 10:00,-0.101
2019-01-05 10:00,2019-01-05 11:00,0.534
2019-01-05 11:00,2019-01-05 12:00,0.966
2019-01-05 12:00,2019-01-05 13:00,1.328
2019-01-05 13:00,2019-01-05 14:00,1.563
2019-01-05 14:00,2019-01-05 15:00,1.611
2019-01-05 15:00,2019-01-05 16:00,1.540
2019-01-05 16:00,2019-01-05 17:00,1.489
2019-01-05 17:00,2019-01-05 18:00,1.453
2019-01-05 18:00,2019-01-05 19:00,1.503
2019-01-05 19:00,2019-01-05 20:00,1.518
2019-01-05 20:00,2019-01-05 21:00,1.548
2019-01-05 21:00,2019-01-05 22:00,1.545
2019-01-05 22:00,2019-01-05 23:00,1.521
2019-01-05 23:00,2019-01-06 00:00,1.478
2019-01-06 00:00,2019-01-06 01:00,1.415
