"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,1.00,0.77,3.19,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.19,0.00,1.31,19.50,18.52,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,0.77,3.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.24,0.00,1.33,19.50,18.51,0.00,0.00,0.00,0.00,0.00,0.00
3.00,1.00,0.77,3.28,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.28,0.00,1.30,19.50,18.49,0.00,0.00,0.00,0.00,0.00,0.00
4.00,1.00,0.78,3.31,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.31,0.00,1.34,19.50,18.48,0.00,0.00,0.00,0.00,0.00,0.00
5.00,1.00,0.78,3.33,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.33,0.00,1.41,19.50,18.48,0.00,0.00,0.00,0.00,0.00,0.00
6.00,1.00,0.78,3.34,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.34,0.00,1.42,19.50,18.47,0.00,0.00,0.00,0.00,0.00,0.00
7.00,1.00,0.78,3.35,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.35,0.00,1.39,19.50,18.47,0.00,0.00,0.00,0.00,0.00,0.00
8.00,1.00,0.78,3.35,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.35,0.00,1.26,19.50,18.47,0.00,0.00,0.00,0.00,0.00,0.00
9.00,1.00,0.77,3.29,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.29,0.00,1.53,19.50,18.46,0.03,0.00,0.00,0.00,0.00,0.00
10.00,1.00,0.77,3.18,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.18,0.00,2.25,19.50,18.46,0.06,0.82,0.74,0.74,0.45,0.45
11.00,1.00,0.75,3.05,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.05,0.00,2.74,19.50,18.47,0.09,0.90,1.24,1.24,0.75,0.75
12.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.31,19.50,18.49,0.12,0.94,1.79,1.79,1.09,1.09
13.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.69,19.56,18.50,0.13,0.95,1.90,1.90,1.16,1.16
14.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.58,19.56,18.54,0.08,0.88,1.10,1.10,0.67,0.67
15.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.08,19.54,18.56,0.03,0.00,0.00,0.00,0.00,0.00
16.00,1.00,0.75,3.01,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.01,0.00,2.77,19.50,18.57,0.00,0.00,0.00,0.00,0.00,0.00
17.00,1.00,0.75,3.03,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.03,0.00,2.66,19.50,18.56,0.00,0.00,0.00,0.00,0.00,0.00
18.00,1.00,0.75,3.05,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.05,0.00,2.66,19.50,18.55,0.00,0.00,0.00,0.00,0.00,0.00
19.00,1.00,0.76,3.07,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.07,0.00,2.70,19.50,18.55,0.00,0.00,0.00,0.00,0.00,0.00
20.00,1.00,0.76,3.08,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.08,0.00,2.77,19.50,18.54,0.00,0.00,0.00,0.00,0.00,0.00
21.00,1.00,0.76,3.09,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.09,0.00,2.72,19.50,18.54,0.00,0.00,0.00,0.00,0.00,0.00
22.00,1.00,0.76,3.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.10,0.00,2.53,19.50,18.54,0.00,0.00,0.00,0.00,0.00,0.00
23.00,1.00,0.76,3.13,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.13,0.00,2.16,19.50,18.54,0.00,0.00,0.00,0.00,0.00,0.00
24.00,1.00,0.76,3.17,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.17,0.00,1.58,19.50,18.53,0.00,0.00,0.00,0.00,0.00,0.00
25.00,1.00,0.77,3.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.24,0.00,0.87,19.50,18.51,0.00,0.00,0.00,0.00,0.00,0.00
26.00,1.00,0.78,3.32,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.32,0.00,0.16,19.50,18.49,0.00,0.00,0.00,0.00,0.00,0.00
27.00,1.00,0.78,3.42,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.42,0.00,-0.41,19.50,18.47,0.00,0.00,0.00,0.00,0.00,0.00
28.00,1.00,0.79,3.51,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.51,0.00,-0.61,19.50,18.44,0.00,0.00,0.00,0.00,0.00,0.00
29.00,1.00,0.80,3.58,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.58,0.00,-0.70,19.50,18.42,0.00,0.00,0.00,0.00,0.00,0.00
30.00,1.00,0.80,3.64,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.64,0.00,-0.89,19.50,18.40,0.00,0.00,0.00,0.00,0.00,0.00
31.00,1.00,0.81,3.71,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.71,0.00,-1.23,19.50,18.38,0.00,0.00,0.00,0.00,0.00,0.00
32.00,1.00,0.81,3.74,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.74,0.00,-1.47,19.50,18.36,0.01,0.00,0.00,0.00,0.00,0.00
33.00,1.00,0.80,3.59,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.59,0.00,-0.93,19.50,18.35,0.07,0.89,1.06,1.06,0.65,0.65
34.00,1.00,0.79,3.43,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.43,0.00,0.01,19.50,18.34,0.13,0.97,1.95,1.95,1.19,1.19
35.00,1.00,0.77,3.26,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.26,0.00,0.92,19.50,18.35,0.16,0.99,2.63,2.63,1.61,1.61
36.00,1.00,0.82,3.89,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.89,0.00,1.69,19.50,18.37,0.20,1.01,3.29,3.29,2.01,2.01
37.00,1.00,0.81,3.67,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.67,0.00,2.06,19.98,18.39,0.19,1.00,3.07,3.07,1.88,1.88
38.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.01,19.50,18.52,0.14,0.97,2.18,2.18,1.33,1.33
39.00,1.00,0.77,3.22,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.22,0.00,1.35,19.63,18.51,0.06,0.84,0.84,0.84,0.51,0.51
40.00,1.00,0.77,3.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.21,0.00,0.14,19.50,18.52,0.01,0.00,0.00,0.00,0.00,0.00
41.00,1.00,0.78,3.35,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.35,0.00,-0.65,19.50,18.49,0.00,0.00,0.00,0.00,0.00,0.00
