# Renewables.ninja Weather (Point API) - 41.893, 12.483 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Rome, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "41.8933203", "lon": "12.4829321", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,4.845
2019-01-01 07:00,2019-01-01 08:00,106.916
2019-01-01 08:00,2019-01-01 09:00,251.585
2019-01-01 09:00,2019-01-01 10:00,364.801
2019-01-01 10:00,2019-01-01 11:00,410.984
2019-01-01 11:00,2019-01-01 12:00,404.796
2019-01-01 12:00,2019-01-01 13:00,353.725
2019-01-01 13:00,2019-01-01 14:00,257.498
2019-01-01 14:00,2019-01-01 15:00,141.705
2019-01-01 15:00,2019-01-01 16:00,23.286
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0.833
2019-01-02 07:00,2019-01-02 08:00,29.641
2019-01-02 08:00,2019-01-02 09:00,113.664
2019-01-02 09:00,2019-01-02 10:00,301.180
2019-01-02 10:00,2019-01-02 11:00,410.963
2019-01-02 11:00,2019-01-02 12:00,432.641
2019-01-02 12:00,2019-01-02 13:00,388.147
2019-01-02 13:00,2019-01-02 14:00,291.335
2019-01-02 14:00,2019-01-02 15:00,155.520
2019-01-02 15:00,2019-01-02 16:00,23.946
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,4.731
2019-01-03 07:00,2019-01-03 08:00,100.477
2019-01-03 08:00,2019-01-03 09:00,240.725
2019-01-03 09:00,2019-01-03 10:00,347.238
2019-01-03 10:00,2019-01-03 11:00,398.765
2019-01-03 11:00,2019-01-03 12:00,419.048
2019-01-03 12:00,2019-01-03 13:00,381.639
2019-01-03 13:00,2019-01-03 14:00,287.850
2019-01-03 14:00,2019-01-03 15:00,152.295
2019-01-03 15:00,2019-01-03 16:00,23.985
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,4.616
2019-01-04 07:00,2019-01-04 08:00,85.619
2019-01-04 08:00,2019-01-04 09:00,181.525
2019-01-04 09:00,2019-01-04 10:00,275.204
2019-01-04 10:00,2019-01-04 11:00,344.376
2019-01-04 11:00,2019-01-04 12:00,344.320
2019-01-04 12:00,2019-01-04 13:00,340.878
2019-01-04 13:00,2019-01-04 14:00,259.451
2019-01-04 14:00,2019-01-04 15:00,140.209
2019-01-04 15:00,2019-01-04 16:00,23.060
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,5.098
2019-01-05 07:00,2019-01-05 08:00,107.095
2019-01-05 08:00,2019-01-05 09:00,251.535
2019-01-05 09:00,2019-01-05 10:00,361.579
2019-01-05 10:00,2019-01-05 11:00,403.650
2019-01-05 11:00,2019-01-05 12:00,400.810
2019-01-05 12:00,2019-01-05 13:00,364.730
2019-01-05 13:00,2019-01-05 14:00,270.690
