# Renewables.ninja Weather (Point API) - 41.893, 12.483 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Rome, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "41.8933203", "lon": "12.4829321", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,3.441
2019-01-01 01:00,2019-01-01 02:00,3.045
2019-01-01 02:00,2019-01-01 03:00,2.705
2019-01-01 03:00,2019-01-01 04:00,2.473
2019-01-01 04:00,2019-01-01 05:00,2.339
2019-01-01 05:00,2019-01-01 06:00,2.234
2019-01-01 06:00,2019-01-01 07:00,2.183
2019-01-01 07:00,2019-01-01 08:00,3.900
2019-01-01 08:00,2019-01-01 09:00,6.245
2019-01-01 09:00,2019-01-01 10:00,7.938
2019-01-01 10:00,2019-01-01 11:00,9.791
2019-01-01 11:00,2019-01-01 12:00,10.857
2019-01-01 12:00,2019-01-01 13:00,11.475
2019-01-01 13:00,2019-01-01 14:00,11.607
2019-01-01 14:00,2019-01-01 15:00,10.599
2019-01-01 15:00,2019-01-01 16:00,8.324
2019-01-01 16:00,2019-01-01 17:00,7.153
2019-01-01 17:00,2019-01-01 18:00,6.698
2019-01-01 18:00,2019-01-01 19:00,6.216
2019-01-01 19:00,2019-01-01 20:00,5.630
2019-01-01 20:00,2019-01-01 21:00,5.098
2019-01-01 21:00,2019-01-01 22:00,4.825
2019-01-01 22:00,2019-01-01 23:00,4.857
2019-01-01 23:00,2019-01-02 00:00,4.960
2019-01-02 00:00,2019-01-02 01:00,4.917
2019-01-02 01:00,2019-01-02 02:00,4.770
2019-01-02 02:00,2019-01-02 03:00,4.373
2019-01-02 03:00,2019-01-02 04:00,4.485
2019-01-02 04:00,2019-01-02 05:00,4.823
2019-01-02 05:00,2019-01-02 06:00,5.009
2019-01-02 06:00,2019-01-02 07:00,5.187
2019-01-02 07:00,2019-01-02 08:00,5.802
2019-01-02 08:00,2019-01-02 09:00,7.091
2019-01-02 09:00,2019-01-02 10:00,8.639
2019-01-02 10:00,2019-01-02 11:00,9.813
2019-01-02 11:00,2019-01-02 12:00,10.518
2019-01-02 12:00,2019-01-02 13:00,11.071
2019-01-02 13:00,2019-01-02 14:00,10.932
2019-01-02 14:00,2019-01-02 15:00,9.746
2019-01-02 15:00,2019-01-02 16:00,7.434
2019-01-02 16:00,2019-01-02 17:00,5.795
2019-01-02 17:00,2019-01-02 18:00,5.240
2019-01-02 18:00,2019-01-02 19:00,4.759
2019-01-02 19:00,2019-01-02 20:00,4.462
2019-01-02 20:00,2019-01-02 21:00,4.592
2019-01-02 21:00,2019-01-02 22:00,4.253
2019-01-02 22:00,2019-01-02 23:00,3.285
2019-01-02 23:00,2019-01-03 00:00,2.384
2019-01-03 00:00,2019-01-03 01:00,1.920
2019-01-03 01:00,2019-01-03 02:00,1.728
2019-01-03 02:00,2019-01-03 03:00,1.595
2019-01-03 03:00,2019-01-03 04:00,1.407
2019-01-03 04:00,2019-01-03 05:00,1.200
2019-01-03 05:00,2019-01-03 06:00,1.010
2019-01-03 06:00,2019-01-03 07:00,0.875
2019-01-03 07:00,2019-01-03 08:00,2.293
2019-01-03 08:00,2019-01-03 09:00,4.084
2019-01-03 09:00,2019-01-03 10:00,5.908
2019-01-03 10:00,2019-01-03 11:00,6.677
2019-01-03 11:00,2019-01-03 12:00,6.847
2019-01-03 12:00,2019-01-03 13:00,6.823
2019-01-03 13:00,2019-01-03 14:00,6.573
2019-01-03 14:00,2019-01-03 15:00,5.747
2019-01-03 15:00,2019-01-03 16:00,3.343
2019-01-03 16:00,2019-01-03 17:00,1.864
2019-01-03 17:00,2019-01-03 18:00,1.287
2019-01-03 18:00,2019-01-03 19:00,0.775
2019-01-03 19:00,2019-01-03 20:00,0.197
2019-01-03 20:00,2019-01-03 21:00,-0.278
2019-01-03 21:00,2019-01-03 22:00,-0.607
2019-01-03 22:00,2019-01-03 23:00,-0.751
2019-01-03 23:00,2019-01-04 00:00,-0.933
2019-01-04 00:00,2019-01-04 01:00,-1.034
2019-01-04 01:00,2019-01-04 02:00,-0.978
2019-01-04 02:00,2019-01-04 03:00,-0.767
2019-01-04 03:00,2019-01-04 04:00,-0.595
2019-01-04 04:00,2019-01-04 05:00,-0.629
2019-01-04 05:00,2019-01-04 06:00,-0.647
2019-01-04 06:00,2019-01-04 07:00,-0.436
2019-01-04 07:00,2019-01-04 08:00,1.227
2019-01-04 08:00,2019-01-04 09:00,2.746
2019-01-04 09:00,2019-01-04 10:00,3.905
2019-01-04 10:00,2019-01-04 11:00,4.715
2019-01-04 11:00,2019-01-04 12:00,4.992
2019-01-04 12:00,2019-01-04 13:00,5.022
2019-01-04 13:00,2019-01-04 14:00,4.671
2019-01-04 14:00,2019-01-04 15:00,3.716
2019-01-04 15:00,2019-01-04 16:00,1.288
2019-01-04 16:00,2019-01-04 17:00,0.044
2019-01-04 17:00,2019-01-04 18:00,-0.338
2019-01-04 18:00,2019-01-04 19:00,-0.549
2019-01-04 19:00,2019-01-04 20:00,-0.710
2019-01-04 20:00,2019-01-04 21:00,-0.821
2019-01-04 21:00,2019-01-04 22:00,-0.815
2019-01-04 22:00,2019-01-04 23:00,-0.792
2019-01-04 23:00,2019-01-05 00:00,-0.745
2019-01-05 00:00,2019-01-05 01:00,-0.641
2019-01-05 01:00,2019-01-05 02:00,-0.433
2019-01-05 02:00,2019-01-05 03:00,-0.144
2019-01-05 03:00,2019-01-05 04:00,0.092
2019-01-05 04:00,2019-01-05 05:00,0.246
2019-01-05 05:00,2019-01-05 06:00,0.291
2019-01-05 06:00,2019-01-05 07:00,0.073
2019-01-05 07:00,2019-01-05 08:00,1.631
2019-01-05 08:00,2019-01-05 09:00,3.727
2019-01-05 09:00,2019-01-05 10:00,5.388
2019-01-05 10:00,2019-01-05 11:00,6.680
2019-01-05 11:00,2019-01-05 12:00,7.377
2019-01-05 12:00,2019-01-05 13:00,7.710
2019-01-05 13:00,2019-01-05 14:00,7.689
2019-01-05 14:00,2019-01-05 15:00,6.697
2019-01-05 15:00,2019-01-05 16:00,5.768
2019-01-05 16:00,2019-01-05 17:00,6.170
2019-01-05 17:00,2019-01-05 18:00,5.815
2019-01-05 18:00,2019-01-05 19:00,5.825
2019-01-05 19:00,2019-01-05 20:00,5.702
2019-01-05 20:00,2019-01-05 21:00,5.244
2019-01-05 21:00,2019-01-05 22:00,4.703
2019-01-05 22:00,2019-01-05 23:00,3.833
2019-01-05 23:00,2019-01-06 00:00,2.991
2019-01-06 00:00,2019-01-06 01:00,2.473
2019-01-06 01:00,2019-01-06 02:00,2.097
2019-01-06 02:00,2019-01-06 03:00,1.812
2019-01-06 03:00,2019-01-06 04:00,1.743
2019-01-06 04:00,2019-01-06 05:00,1.952
2019-01-06 05:00,2019-01-06 06:00,2.359
2019-01-06 06:00,2019-01-06 07:00,2.989
2019-01-06 07:00,2019-01-06 08:00,4.715
2019-01-06 08:00,2019-01-06 09:00,6.939
2019-01-06 09:00,2019-01-06 10:00,8.373
2019-01-06 10:00,2019-01-06 11:00,9.487
2019-01-06 11:00,2019-01-06 12:00,10.197
2019-01-06 12:00,2019-01-06 13:00,10.711
2019-01-06 13:00,2019-01-06 14:00,10.752
2019-01-06 14:00,2019-01-06 15:00,9.665
2019-01-06 15:00,2019-01-06 16:00,6.957
2019-01-06 16:00,2019-01-06 17:00,5.548
2019-01-06 17:00,2019-01-06 18:00,4.857
2019-01-06 18:00,2019-01-06 19:00,4.182
2019-01-06 19:00,2019-01-06 20:00,3.621
2019-01-06 20:00,2019-01-06 21:00,3.275
