"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.44,19.81,19.26,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.05,20.50,19.17,0.00,0.00,0.00,0.00,0.00,0.00
3.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.71,19.78,19.25,0.00,0.00,0.00,0.00,0.00,0.00
4.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.47,20.47,19.14,0.00,0.00,0.00,0.00,0.00,0.00
5.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.34,19.74,19.21,0.00,0.00,0.00,0.00,0.00,0.00
6.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.23,20.43,19.10,0.00,0.00,0.00,0.00,0.00,0.00
7.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.18,19.69,19.17,0.00,0.00,0.00,0.00,0.00,0.00
8.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.90,20.40,19.06,0.11,0.92,1.62,1.62,0.99,0.99
9.00,1.00,0.93,3.00,2.11,0.00,0.00,0.00,0.00,0.75,3.00,0.18,0.00,2.11,6.25,19.85,19.15,0.25,1.00,4.10,3.70,2.51,2.26
10.00,1.00,0.99,3.00,2.93,0.00,0.00,0.00,0.00,0.75,3.00,0.24,0.00,2.93,7.94,19.50,19.13,0.36,1.00,5.96,3.97,3.64,2.42
11.00,1.00,0.99,3.00,2.92,0.00,0.00,0.00,0.00,0.75,3.00,0.24,0.00,2.92,9.79,19.50,19.06,0.41,0.99,6.65,3.96,4.06,2.42
12.00,1.00,0.99,3.00,2.86,0.00,0.00,0.00,0.00,0.75,3.00,0.24,0.00,2.86,10.86,19.50,19.03,0.40,0.98,6.51,3.94,3.98,2.41
13.00,1.00,0.98,3.00,2.71,0.00,0.00,0.00,0.00,0.75,3.00,0.23,0.00,2.71,11.48,19.50,19.03,0.35,0.98,5.68,3.89,3.47,2.38
14.00,1.00,0.85,3.00,1.25,0.00,0.00,0.00,0.00,0.75,3.00,0.10,0.00,1.25,11.61,19.50,19.03,0.26,0.97,4.09,3.41,2.50,2.09
15.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,10.60,20.20,19.03,0.14,0.93,2.15,2.15,1.31,1.31
16.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,8.32,20.17,19.17,0.02,0.00,0.00,0.00,0.00,0.00
17.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,7.15,20.19,19.24,0.00,0.00,0.00,0.00,0.00,0.00
18.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,6.70,20.23,19.29,0.00,0.00,0.00,0.00,0.00,0.00
19.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,6.22,20.27,19.32,0.00,0.00,0.00,0.00,0.00,0.00
20.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,5.63,20.30,19.35,0.00,0.00,0.00,0.00,0.00,0.00
21.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,5.10,20.32,19.38,0.00,0.00,0.00,0.00,0.00,0.00
22.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.83,20.33,19.39,0.00,0.00,0.00,0.00,0.00,0.00
23.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.86,20.34,19.40,0.00,0.00,0.00,0.00,0.00,0.00
24.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.96,20.35,19.41,0.00,0.00,0.00,0.00,0.00,0.00
25.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.92,20.36,19.42,0.00,0.00,0.00,0.00,0.00,0.00
26.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.77,20.37,19.43,0.00,0.00,0.00,0.00,0.00,0.00
27.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.37,20.38,19.44,0.00,0.00,0.00,0.00,0.00,0.00
28.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.49,20.38,19.45,0.00,0.00,0.00,0.00,0.00,0.00
29.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.82,20.39,19.45,0.00,0.00,0.00,0.00,0.00,0.00
30.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,5.01,20.40,19.46,0.00,0.00,0.00,0.00,0.00,0.00
31.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,5.19,20.41,19.47,0.00,0.00,0.00,0.00,0.00,0.00
32.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,5.80,20.43,19.49,0.03,0.00,0.00,0.00,0.00,0.00
33.00,0.91,0.69,2.74,0.00,0.00,0.00,0.00,0.00,0.69,2.74,0.00,0.00,0.00,7.09,20.50,19.51,0.11,0.92,1.71,1.71,1.04,1.04
