# Renewables.ninja Weather (Point API) - 35.683, 139.759 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Tokyo, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Tokyo", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "35.6828387", "lon": "139.7594549", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 09:00,395.580
2019-01-01 01:00,2019-01-01 10:00,496.076
2019-01-01 02:00,2019-01-01 11:00,530.990
2019-01-01 03:00,2019-01-01 12:00,502.165
2019-01-01 04:00,2019-01-01 13:00,417.417
2019-01-01 05:00,2019-01-01 14:00,290.140
2019-01-01 06:00,2019-01-01 15:00,133.731
2019-01-01 07:00,2019-01-01 16:00,11.740
2019-01-01 08:00,2019-01-01 17:00,0
2019-01-01 09:00,2019-01-01 18:00,0
2019-01-01 10:00,2019-01-01 19:00,0
2019-01-01 11:00,2019-01-01 20:00,0
2019-01-01 12:00,2019-01-01 21:00,0
2019-01-01 13:00,2019-01-01 22:00,0
2019-01-01 14:00,2019-01-01 23:00,0
2019-01-01 15:00,2019-01-02 00:00,0
2019-01-01 16:00,2019-01-02 01:00,0
2019-01-01 17:00,2019-01-02 02:00,0
2019-01-01 18:00,2019-01-02 03:00,0
2019-01-01 19:00,2019-01-02 04:00,0
2019-01-01 20:00,2019-01-02 05:00,0
2019-01-01 21:00,2019-01-02 06:00,0.533
2019-01-01 22:00,2019-01-02 07:00,68.109
2019-01-01 23:00,2019-01-02 08:00,216.436
2019-01-02 00:00,2019-01-02 09:00,371.254
2019-01-02 01:00,2019-01-02 10:00,473.354
2019-01-02 02:00,2019-01-02 11:00,500.192
2019-01-02 03:00,2019-01-02 12:00,464.298
2019-01-02 04:00,2019-01-02 13:00,379.315
2019-01-02 05:00,2019-01-02 14:00,266.968
2019-01-02 06:00,2019-01-02 15:00,128.808
2019-01-02 07:00,2019-01-02 16:00,12.073
2019-01-02 08:00,2019-01-02 17:00,0
2019-01-02 09:00,2019-01-02 18:00,0
2019-01-02 10:00,2019-01-02 19:00,0
2019-01-02 11:00,2019-01-02 20:00,0
2019-01-02 12:00,2019-01-02 21:00,0
2019-01-02 13:00,2019-01-02 22:00,0
2019-01-02 14:00,2019-01-02 23:00,0
2019-01-02 15:00,2019-01-03 00:00,0
2019-01-02 16:00,2019-01-03 01:00,0
2019-01-02 17:00,2019-01-03 02:00,0
2019-01-02 18:00,2019-01-03 03:00,0
2019-01-02 19:00,2019-01-03 04:00,0
2019-01-02 20:00,2019-01-03 05:00,0
2019-01-02 21:00,2019-01-03 06:00,0.663
2019-01-02 22:00,2019-01-03 07:00,82.761
2019-01-02 23:00,2019-01-03 08:00,243.656
2019-01-03 00:00,2019-01-03 09:00,384.013
2019-01-03 01:00,2019-01-03 10:00,474.664
2019-01-03 02:00,2019-01-03 11:00,486.388
2019-01-03 03:00,2019-01-03 12:00,447.990
2019-01-03 04:00,2019-01-03 13:00,389.775
2019-01-03 05:00,2019-01-03 14:00,266.381
2019-01-03 06:00,2019-01-03 15:00,134.634
2019-01-03 07:00,2019-01-03 16:00,13.035
2019-01-03 08:00,2019-01-03 17:00,0
2019-01-03 09:00,2019-01-03 18:00,0
2019-01-03 10:00,2019-01-03 19:00,0
2019-01-03 11:00,2019-01-03 20:00,0
2019-01-03 12:00,2019-01-03 21:00,0
2019-01-03 13:00,2019-01-03 22:00,0
2019-01-03 14:00,2019-01-03 23:00,0
2019-01-03 15:00,2019-01-04 00:00,0
2019-01-03 16:00,2019-01-04 01:00,0
2019-01-03 17:00,2019-01-04 02:00,0
2019-01-03 18:00,2019-01-04 03:00,0
2019-01-03 19:00,2019-01-04 04:00,0
2019-01-03 20:00,2019-01-04 05:00,0
2019-01-03 21:00,2019-01-04 06:00,0.768
2019-01-03 22:00,2019-01-04 07:00,88.772
2019-01-03 23:00,2019-01-04 08:00,259.126
2019-01-04 00:00,2019-01-04 09:00,407.535
2019-01-04 01:00,2019-01-04 10:00,507.846
2019-01-04 02:00,2019-01-04 11:00,549.714
2019-01-04 03:00,2019-01-04 12:00,534.119
2019-01-04 04:00,2019-01-04 13:00,448.730
2019-01-04 05:00,2019-01-04 14:00,312.479
2019-01-04 06:00,2019-01-04 15:00,144.947
2019-01-04 07:00,2019-01-04 16:00,13.197
2019-01-04 08:00,2019-01-04 17:00,0
2019-01-04 09:00,2019-01-04 18:00,0
2019-01-04 10:00,2019-01-04 19:00,0
2019-01-04 11:00,2019-01-04 20:00,0
2019-01-04 12:00,2019-01-04 21:00,0
2019-01-04 13:00,2019-01-04 22:00,0
2019-01-04 14:00,2019-01-04 23:00,0
2019-01-04 15:00,2019-01-05 00:00,0
2019-01-04 16:00,2019-01-05 01:00,0
2019-01-04 17:00,2019-01-05 02:00,0
2019-01-04 18:00,2019-01-05 03:00,0
2019-01-04 19:00,2019-01-05 04:00,0
2019-01-04 20:00,2019-01-05 05:00,0
2019-01-04 21:00,2019-01-05 06:00,0.686
2019-01-04 22:00,2019-01-05 07:00,75.649
2019-01-04 23:00,2019-01-05 08:00,221.972
2019-01-05 00:00,2019-01-05 09:00,357.036
2019-01-05 01:00,2019-01-05 10:00,448.149
2019-01-05 02:00,2019-01-05 11:00,501.472
2019-01-05 03:00,2019-01-05 12:00,487.996
2019-01-05 04:00,2019-01-05 13:00,417.597
2019-01-05 05:00,2019-01-05 14:00,284.652
2019-01-05 06:00,2019-01-05 15:00,129.619
2019-01-05 07:00,2019-01-05 16:00,12.695
2019-01-05 08:00,2019-01-05 17:00,0
2019-01-05 09:00,2019-01-05 18:00,0
2019-01-05 10:00,2019-01-05 19:00,0
2019-01-05 11:00,2019-01-05 20:00,0
2019-01-05 12:00,2019-01-05 21:00,0
2019-01-05 13:00,2019-01-05 22:00,0
2019-01-05 14:00,2019-01-05 23:00,0
2019-01-05 15:00,2019-01-06 00:00,0
2019-01-05 16:00,2019-01-06 01:00,0
2019-01-05 17:00,2019-01-06 02:00,0
2019-01-05 18:00,2019-01-06 03:00,0
2019-01-05 19:00,2019-01-06 04:00,0
2019-01-05 20:00,2019-01-06 05:00,0
2019-01-05 21:00,2019-01-06 06:00,0.883
2019-01-05 22:00,2019-01-06 07:00,87.667
2019-01-05 23:00,2019-01-06 08:00,257.214
2019-01-06 00:00,2019-01-06 09:00,406.137
2019-01-06 01:00,2019-01-06 10:00,500.512
2019-01-06 02:00,2019-01-06 11:00,528.484
2019-01-06 03:00,2019-01-06 12:00,465.968
2019-01-06 04:00,2019-01-06 13:00,255.027
2019-01-06 05:00,2019-01-06 14:00,133.287
2019-01-06 06:00,2019-01-06 15:00,62.952
2019-01-06 07:00,2019-01-06 16:00,6.744
2019-01-06 08:00,2019-01-06 17:00,0
2019-01-06 09:00,2019-01-06 18:00,0
2019-01-06 10:00,2019-01-06 19:00,0
2019-01-06 11:00,2019-01-06 20:00,0
2019-01-06 12:00,2019-01-06 21:00,0
2019-01-06 13:00,2019-01-06 22:00,0
2019-01-06 14:00,2019-01-06 23:00,0
2019-01-06 15:00,2019-01-07 00:00,0
2019-01-06 16:00,2019-01-07 01:00,0
2019-01-06 17:00,2019-01-07 02:00,0
2019-01-06 18:00,2019-01-07 03:00,0
2019-01-06 19:00,2019-01-07 04:00,0
2019-01-06 20:00,2019-01-07 05:00,0
2019-01-06 21:00,2019-01-07 06:00,0.969
2019-01-06 22:00,2019-01-07 07:00,89.534
2019-01-06 23:00,2019-01-07 08:00,258.980
2019-01-07 00:00,2019-01-07 09:00,407.767
2019-01-07 01:00,2019-01-07 10:00,507.133
2019-01-07 02:00,2019-01-07 11:00,549.538
2019-01-07 03:00,2019-01-07 12:00,529.802
2019-01-07 04:00,2019-01-07 13:00,448.257
2019-01-07 05:00,2019-01-07 14:00,314.447
2019-01-07 06:00,2019-01-07 15:00,147.975
2019-01-07 07:00,2019-01-07 16:00,14.368
2019-01-07 08:00,2019-01-07 17:00,0
2019-01-07 09:00,2019-01-07 18:00,0
2019-01-07 10:00,2019-01-07 19:00,0
2019-01-07 11:00,2019-01-07 20:00,0
2019-01-07 12:00,2019-01-07 21:00,0
2019-01-07 13:00,2019-01-07 22:00,0
2019-01-07 14:00,2019-01-07 23:00,0
2019-01-07 15:00,2019-01-08 00:00,0
2019-01-07 16:00,2019-01-08 01:00,0
2019-01-07 17:00,2019-01-08 02:00,0
2019-01-07 18:00,2019-01-08 03:00,0
2019-01-07 19:00,2019-01-08 04:00,0
2019-01-07 20:00,2019-01-08 05:00,0
2019-01-07 21:00,2019-01-08 06:00,1.001
2019-01-07 22:00,2019-01-08 07:00,82.173
2019-01-07 23:00,2019-01-08 08:00,242.185
2019-01-08 00:00,2019-01-08 09:00,392.074
2019-01-08 01:00,2019-01-08 10:00,487.726
2019-01-08 02:00,2019-01-08 11:00,474.105
2019-01-08 03:00,2019-01-08 12:00,400.603
2019-01-08 04:00,2019-01-08 13:00,406.891
2019-01-08 05:00,2019-01-08 14:00,302.353
2019-01-08 06:00,2019-01-08 15:00,142.570
2019-01-08 07:00,2019-01-08 16:00,13.934
2019-01-08 08:00,2019-01-08 17:00,0
2019-01-08 09:00,2019-01-08 18:00,0
