# Renewables.ninja Weather (Point API) - 47.949, 107.022 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Ulaanbaatar, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Ulaanbaatar", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "47.94909925", "lon": "107.02225913456641", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 08:00,1.831
2019-01-01 01:00,2019-01-01 09:00,63.881
2019-01-01 02:00,2019-01-01 10:00,164.781
2019-01-01 03:00,2019-01-01 11:00,274.582
2019-01-01 04:00,2019-01-01 12:00,330.533
2019-01-01 05:00,2019-01-01 13:00,308.793
2019-01-01 06:00,2019-01-01 14:00,232.946
2019-01-01 07:00,2019-01-01 15:00,132.777
2019-01-01 08:00,2019-01-01 16:00,35.505
2019-01-01 09:00,2019-01-01 17:00,0.003
2019-01-01 10:00,2019-01-01 18:00,0
2019-01-01 11:00,2019-01-01 19:00,0
2019-01-01 12:00,2019-01-01 20:00,0
2019-01-01 13:00,2019-01-01 21:00,0
2019-01-01 14:00,2019-01-01 22:00,0
2019-01-01 15:00,2019-01-01 23:00,0
2019-01-01 16:00,2019-01-02 00:00,0
2019-01-01 17:00,2019-01-02 01:00,0
2019-01-01 18:00,2019-01-02 02:00,0
2019-01-01 19:00,2019-01-02 03:00,0
2019-01-01 20:00,2019-01-02 04:00,0
2019-01-01 21:00,2019-01-02 05:00,0
2019-01-01 22:00,2019-01-02 06:00,0
2019-01-01 23:00,2019-01-02 07:00,0
2019-01-02 00:00,2019-01-02 08:00,1.896
2019-01-02 01:00,2019-01-02 09:00,65.879
2019-01-02 02:00,2019-01-02 10:00,171.400
2019-01-02 03:00,2019-01-02 11:00,267.440
2019-01-02 04:00,2019-01-02 12:00,264.167
2019-01-02 05:00,2019-01-02 13:00,227.515
2019-01-02 06:00,2019-01-02 14:00,180.457
2019-01-02 07:00,2019-01-02 15:00,113.581
2019-01-02 08:00,2019-01-02 16:00,32.338
2019-01-02 09:00,2019-01-02 17:00,0.005
2019-01-02 10:00,2019-01-02 18:00,0
2019-01-02 11:00,2019-01-02 19:00,0
2019-01-02 12:00,2019-01-02 20:00,0
2019-01-02 13:00,2019-01-02 21:00,0
2019-01-02 14:00,2019-01-02 22:00,0
2019-01-02 15:00,2019-01-02 23:00,0
2019-01-02 16:00,2019-01-03 00:00,0
2019-01-02 17:00,2019-01-03 01:00,0
2019-01-02 18:00,2019-01-03 02:00,0
2019-01-02 19:00,2019-01-03 03:00,0
2019-01-02 20:00,2019-01-03 04:00,0
2019-01-02 21:00,2019-01-03 05:00,0
2019-01-02 22:00,2019-01-03 06:00,0
2019-01-02 23:00,2019-01-03 07:00,0
2019-01-03 00:00,2019-01-03 08:00,1.960
2019-01-03 01:00,2019-01-03 09:00,61.999
2019-01-03 02:00,2019-01-03 10:00,171.829
2019-01-03 03:00,2019-01-03 11:00,282.383
2019-01-03 04:00,2019-01-03 12:00,352.159
2019-01-03 05:00,2019-01-03 13:00,344.747
2019-01-03 06:00,2019-01-03 14:00,285.577
2019-01-03 07:00,2019-01-03 15:00,181.757
2019-01-03 08:00,2019-01-03 16:00,55.114
2019-01-03 09:00,2019-01-03 17:00,0.011
2019-01-03 10:00,2019-01-03 18:00,0
2019-01-03 11:00,2019-01-03 19:00,0
2019-01-03 12:00,2019-01-03 20:00,0
2019-01-03 13:00,2019-01-03 21:00,0
2019-01-03 14:00,2019-01-03 22:00,0
2019-01-03 15:00,2019-01-03 23:00,0
2019-01-03 16:00,2019-01-04 00:00,0
2019-01-03 17:00,2019-01-04 01:00,0
2019-01-03 18:00,2019-01-04 02:00,0
2019-01-03 19:00,2019-01-04 03:00,0
2019-01-03 20:00,2019-01-04 04:00,0
2019-01-03 21:00,2019-01-04 05:00,0
2019-01-03 22:00,2019-01-04 06:00,0
2019-01-03 23:00,2019-01-04 07:00,0
2019-01-04 00:00,2019-01-04 08:00,2.988
2019-01-04 01:00,2019-01-04 09:00,89.641
