# Renewables.ninja Weather (Point API) - 47.949, 107.022 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Ulaanbaatar, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Ulaanbaatar", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "47.94909925", "lon": "107.02225913456641", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 08:00,-24.608
2019-01-01 01:00,2019-01-01 09:00,-23.431
2019-01-01 02:00,2019-01-01 10:00,-21.585
2019-01-01 03:00,2019-01-01 11:00,-19.699
2019-01-01 04:00,2019-01-01 12:00,-17.696
2019-01-01 05:00,2019-01-01 13:00,-16.710
2019-01-01 06:00,2019-01-01 14:00,-16.528
2019-01-01 07:00,2019-01-01 15:00,-16.914
2019-01-01 08:00,2019-01-01 16:00,-18.278
2019-01-01 09:00,2019-01-01 17:00,-19.960
2019-01-01 10:00,2019-01-01 18:00,-20.403
2019-01-01 11:00,2019-01-01 19:00,-20.668
2019-01-01 12:00,2019-01-01 20:00,-20.905
2019-01-01 13:00,2019-01-01 21:00,-21.151
2019-01-01 14:00,2019-01-01 22:00,-21.267
2019-01-01 15:00,2019-01-01 23:00,-21.420
2019-01-01 16:00,2019-01-02 00:00,-21.636
2019-01-01 17:00,2019-01-02 01:00,-21.883
2019-01-01 18:00,2019-01-02 02:00,-22.147
2019-01-01 19:00,2019-01-02 03:00,-22.362
2019-01-01 20:00,2019-01-02 04:00,-22.513
2019-01-01 21:00,2019-01-02 05:00,-22.656
2019-01-01 22:00,2019-01-02 06:00,-22.881
2019-01-01 23:00,2019-01-02 07:00,-23.092
2019-01-02 00:00,2019-01-02 08:00,-23.387
2019-01-02 01:00,2019-01-02 09:00,-22.477
2019-01-02 02:00,2019-01-02 10:00,-20.710
2019-01-02 03:00,2019-01-02 11:00,-18.498
2019-01-02 04:00,2019-01-02 12:00,-17.108
2019-01-02 05:00,2019-01-02 13:00,-16.758
2019-01-02 06:00,2019-01-02 14:00,-16.788
2019-01-02 07:00,2019-01-02 15:00,-17.027
2019-01-02 08:00,2019-01-02 16:00,-17.836
2019-01-02 09:00,2019-01-02 17:00,-19.349
2019-01-02 10:00,2019-01-02 18:00,-20.243
2019-01-02 11:00,2019-01-02 19:00,-20.959
2019-01-02 12:00,2019-01-02 20:00,-21.542
2019-01-02 13:00,2019-01-02 21:00,-22.040
2019-01-02 14:00,2019-01-02 22:00,-22.391
2019-01-02 15:00,2019-01-02 23:00,-22.572
2019-01-02 16:00,2019-01-03 00:00,-22.822
2019-01-02 17:00,2019-01-03 01:00,-23.116
2019-01-02 18:00,2019-01-03 02:00,-23.351
2019-01-02 19:00,2019-01-03 03:00,-23.625
2019-01-02 20:00,2019-01-03 04:00,-23.999
2019-01-02 21:00,2019-01-03 05:00,-24.371
2019-01-02 22:00,2019-01-03 06:00,-24.941
2019-01-02 23:00,2019-01-03 07:00,-25.539
2019-01-03 00:00,2019-01-03 08:00,-26.054
2019-01-03 01:00,2019-01-03 09:00,-26.042
2019-01-03 02:00,2019-01-03 10:00,-25.140
2019-01-03 03:00,2019-01-03 11:00,-23.710
2019-01-03 04:00,2019-01-03 12:00,-22.339
2019-01-03 05:00,2019-01-03 13:00,-21.350
2019-01-03 06:00,2019-01-03 14:00,-21.151
2019-01-03 07:00,2019-01-03 15:00,-21.615
2019-01-03 08:00,2019-01-03 16:00,-23.203
2019-01-03 09:00,2019-01-03 17:00,-25.424
2019-01-03 10:00,2019-01-03 18:00,-26.369
2019-01-03 11:00,2019-01-03 19:00,-27.020
2019-01-03 12:00,2019-01-03 20:00,-27.468
2019-01-03 13:00,2019-01-03 21:00,-27.705
2019-01-03 14:00,2019-01-03 22:00,-27.761
2019-01-03 15:00,2019-01-03 23:00,-27.665
2019-01-03 16:00,2019-01-04 00:00,-27.711
2019-01-03 17:00,2019-01-04 01:00,-27.819
2019-01-03 18:00,2019-01-04 02:00,-27.890
2019-01-03 19:00,2019-01-04 03:00,-28.007
2019-01-03 20:00,2019-01-04 04:00,-28.089
2019-01-03 21:00,2019-01-04 05:00,-27.975
2019-01-03 22:00,2019-01-04 06:00,-27.918
2019-01-03 23:00,2019-01-04 07:00,-27.903
2019-01-04 00:00,2019-01-04 08:00,-27.825
2019-01-04 01:00,2019-01-04 09:00,-26.317
2019-01-04 02:00,2019-01-04 10:00,-23.564
2019-01-04 03:00,2019-01-04 11:00,-21.435
2019-01-04 04:00,2019-01-04 12:00,-19.391
2019-01-04 05:00,2019-01-04 13:00,-18.519
2019-01-04 06:00,2019-01-04 14:00,-18.356
2019-01-04 07:00,2019-01-04 15:00,-18.976
2019-01-04 08:00,2019-01-04 16:00,-21.347
2019-01-04 09:00,2019-01-04 17:00,-23.583
2019-01-04 10:00,2019-01-04 18:00,-24.086
2019-01-04 11:00,2019-01-04 19:00,-24.289
2019-01-04 12:00,2019-01-04 20:00,-24.421
2019-01-04 13:00,2019-01-04 21:00,-24.424
2019-01-04 14:00,2019-01-04 22:00,-24.373
2019-01-04 15:00,2019-01-04 23:00,-24.190
2019-01-04 16:00,2019-01-05 00:00,-24.076
2019-01-04 17:00,2019-01-05 01:00,-23.975
2019-01-04 18:00,2019-01-05 02:00,-24.046
2019-01-04 19:00,2019-01-05 03:00,-24.234
2019-01-04 20:00,2019-01-05 04:00,-24.547
2019-01-04 21:00,2019-01-05 05:00,-24.966
2019-01-04 22:00,2019-01-05 06:00,-25.337
2019-01-04 23:00,2019-01-05 07:00,-25.796
2019-01-05 00:00,2019-01-05 08:00,-26.201
2019-01-05 01:00,2019-01-05 09:00,-25.292
2019-01-05 02:00,2019-01-05 10:00,-22.042
2019-01-05 03:00,2019-01-05 11:00,-20.004
2019-01-05 04:00,2019-01-05 12:00,-18.053
2019-01-05 05:00,2019-01-05 13:00,-16.596
2019-01-05 06:00,2019-01-05 14:00,-16.387
2019-01-05 07:00,2019-01-05 15:00,-16.999
2019-01-05 08:00,2019-01-05 16:00,-19.703
2019-01-05 09:00,2019-01-05 17:00,-21.449
2019-01-05 10:00,2019-01-05 18:00,-22.212
2019-01-05 11:00,2019-01-05 19:00,-22.903
2019-01-05 12:00,2019-01-05 20:00,-23.336
2019-01-05 13:00,2019-01-05 21:00,-23.601
2019-01-05 14:00,2019-01-05 22:00,-23.842
2019-01-05 15:00,2019-01-05 23:00,-24.252
2019-01-05 16:00,2019-01-06 00:00,-24.545
2019-01-05 17:00,2019-01-06 01:00,-24.664
2019-01-05 18:00,2019-01-06 02:00,-24.706
2019-01-05 19:00,2019-01-06 03:00,-24.810
2019-01-05 20:00,2019-01-06 04:00,-25.411
2019-01-05 21:00,2019-01-06 05:00,-25.977
2019-01-05 22:00,2019-01-06 06:00,-26.420
2019-01-05 23:00,2019-01-06 07:00,-26.777
2019-01-06 00:00,2019-01-06 08:00,-27.123
2019-01-06 01:00,2019-01-06 09:00,-26.417
2019-01-06 02:00,2019-01-06 10:00,-24.617
2019-01-06 03:00,2019-01-06 11:00,-23.422
2019-01-06 04:00,2019-01-06 12:00,-22.588
2019-01-06 05:00,2019-01-06 13:00,-22.005
2019-01-06 06:00,2019-01-06 14:00,-22.069
2019-01-06 07:00,2019-01-06 15:00,-22.484
2019-01-06 08:00,2019-01-06 16:00,-23.448
2019-01-06 09:00,2019-01-06 17:00,-24.523
2019-01-06 10:00,2019-01-06 18:00,-25.425
2019-01-06 11:00,2019-01-06 19:00,-26.224
2019-01-06 12:00,2019-01-06 20:00,-26.470
2019-01-06 13:00,2019-01-06 21:00,-26.440
2019-01-06 14:00,2019-01-06 22:00,-26.340
2019-01-06 15:00,2019-01-06 23:00,-26.360
2019-01-06 16:00,2019-01-07 00:00,-26.447
2019-01-06 17:00,2019-01-07 01:00,-26.585
2019-01-06 18:00,2019-01-07 02:00,-26.713
2019-01-06 19:00,2019-01-07 03:00,-26.822
2019-01-06 20:00,2019-01-07 04:00,-26.846
2019-01-06 21:00,2019-01-07 05:00,-26.622
2019-01-06 22:00,2019-01-07 06:00,-26.521
