"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,1.00,1.16,7.90,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.41,4.90,0.00,-24.61,19.50,17.27,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.00,1.16,7.89,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.41,4.89,0.00,-23.43,19.50,17.20,0.06,0.98,0.00,0.00,0.00,0.00
3.00,1.00,1.14,7.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.39,4.66,0.00,-21.59,19.50,17.16,0.16,1.11,0.00,0.00,0.00,0.00
4.00,1.00,1.11,7.30,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.36,4.30,0.00,-19.70,19.50,17.15,0.27,1.13,0.00,0.00,0.00,0.00
5.00,1.00,1.08,7.01,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.33,4.01,0.00,-17.70,19.50,17.17,0.33,1.12,0.00,0.00,0.00,0.00
6.00,1.00,1.08,6.91,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.33,3.91,0.00,-16.71,19.50,17.21,0.31,1.12,0.00,0.00,0.00,0.00
7.00,1.00,1.08,6.99,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.33,3.99,0.00,-16.53,19.50,17.26,0.23,1.11,0.00,0.00,0.00,0.00
8.00,1.00,1.10,7.18,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.35,4.18,0.00,-16.91,19.50,17.30,0.13,1.06,0.00,0.00,0.00,0.00
9.00,1.00,1.12,7.43,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.37,4.43,0.00,-18.28,19.50,17.32,0.04,0.00,0.00,0.00,0.00,0.00
10.00,1.00,1.13,7.59,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.38,4.59,0.00,-19.96,19.50,17.32,0.00,0.00,0.00,0.00,0.00,0.00
11.00,1.00,1.14,7.67,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.39,4.67,0.00,-20.40,19.50,17.30,0.00,0.00,0.00,0.00,0.00,0.00
12.00,1.00,1.15,7.75,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.40,4.75,0.00,-20.67,19.50,17.27,0.00,0.00,0.00,0.00,0.00,0.00
13.00,1.00,1.15,7.82,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.40,4.82,0.00,-20.91,19.50,17.25,0.00,0.00,0.00,0.00,0.00,0.00
14.00,1.00,1.16,7.89,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.41,4.89,0.00,-21.15,19.50,17.23,0.00,0.00,0.00,0.00,0.00,0.00
15.00,1.00,1.16,7.95,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.41,4.95,0.00,-21.27,19.50,17.22,0.00,0.00,0.00,0.00,0.00,0.00
16.00,1.00,1.17,8.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.42,5.00,0.00,-21.42,19.50,17.20,0.00,0.00,0.00,0.00,0.00,0.00
17.00,1.00,1.17,8.05,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.42,5.05,0.00,-21.64,19.50,17.19,0.00,0.00,0.00,0.00,0.00,0.00
18.00,1.00,1.18,8.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.43,5.10,0.00,-21.88,19.50,17.17,0.00,0.00,0.00,0.00,0.00,0.00
19.00,1.00,1.18,8.15,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.43,5.15,0.00,-22.15,19.50,17.16,0.00,0.00,0.00,0.00,0.00,0.00
20.00,1.00,1.18,8.20,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.43,5.20,0.00,-22.36,19.50,17.15,0.00,0.00,0.00,0.00,0.00,0.00
21.00,1.00,1.19,8.25,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.44,5.25,0.00,-22.51,19.50,17.13,0.00,0.00,0.00,0.00,0.00,0.00
22.00,1.00,1.19,8.29,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.44,5.29,0.00,-22.66,19.50,17.12,0.00,0.00,0.00,0.00,0.00,0.00
23.00,1.00,1.19,8.34,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.44,5.34,0.00,-22.88,19.50,17.11,0.00,0.00,0.00,0.00,0.00,0.00
24.00,1.00,1.20,8.38,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.45,5.38,0.00,-23.09,19.50,17.10,0.00,0.00,0.00,0.00,0.00,0.00
25.00,1.00,1.20,8.42,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.45,5.42,0.00,-23.39,19.50,17.08,0.00,0.00,0.00,0.00,0.00,0.00
26.00,1.00,1.19,8.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.44,5.24,0.00,-22.48,19.50,17.07,0.07,0.98,0.00,0.00,0.00,0.00
27.00,1.00,1.16,7.87,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.41,4.87,0.00,-20.71,19.50,17.07,0.17,1.11,0.00,0.00,0.00,0.00
28.00,1.00,1.12,7.44,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.37,4.44,0.00,-18.50,19.50,17.10,0.27,1.12,0.00,0.00,0.00,0.00
29.00,1.00,1.11,7.26,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.36,4.26,0.00,-17.11,19.50,17.14,0.26,1.12,0.00,0.00,0.00,0.00
30.00,1.00,1.10,7.19,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.35,4.19,0.00,-16.76,19.50,17.20,0.23,1.11,0.00,0.00,0.00,0.00
