# Renewables.ninja Weather (Point API) - 59.913, 10.739 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Oslo, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Oslo", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "59.9133301", "lon": "10.7389701", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,0.379
2019-01-01 01:00,2019-01-01 02:00,0.295
2019-01-01 02:00,2019-01-01 03:00,0.296
2019-01-01 03:00,2019-01-01 04:00,0.333
2019-01-01 04:00,2019-01-01 05:00,0.291
2019-01-01 05:00,2019-01-01 06:00,0.222
2019-01-01 06:00,2019-01-01 07:00,0.196
2019-01-01 07:00,2019-01-01 08:00,0.181
2019-01-01 08:00,2019-01-01 09:00,0.167
2019-01-01 09:00,2019-01-01 10:00,0.213
2019-01-01 10:00,2019-01-01 11:00,0.283
2019-01-01 11:00,2019-01-01 12:00,0.345
2019-01-01 12:00,2019-01-01 13:00,0.437
2019-01-01 13:00,2019-01-01 14:00,0.527
2019-01-01 14:00,2019-01-01 15:00,0.644
2019-01-01 15:00,2019-01-01 16:00,0.842
2019-01-01 16:00,2019-01-01 17:00,0.903
2019-01-01 17:00,2019-01-01 18:00,0.812
2019-01-01 18:00,2019-01-01 19:00,0.728
2019-01-01 19:00,2019-01-01 20:00,0.430
2019-01-01 20:00,2019-01-01 21:00,-0.147
2019-01-01 21:00,2019-01-01 22:00,-0.572
2019-01-01 22:00,2019-01-01 23:00,-0.967
2019-01-01 23:00,2019-01-02 00:00,-1.292
2019-01-02 00:00,2019-01-02 01:00,-1.550
2019-01-02 01:00,2019-01-02 02:00,-1.728
2019-01-02 02:00,2019-01-02 03:00,-1.920
2019-01-02 03:00,2019-01-02 04:00,-2.133
2019-01-02 04:00,2019-01-02 05:00,-2.344
2019-01-02 05:00,2019-01-02 06:00,-2.616
2019-01-02 06:00,2019-01-02 07:00,-2.931
2019-01-02 07:00,2019-01-02 08:00,-3.287
2019-01-02 08:00,2019-01-02 09:00,-3.669
2019-01-02 09:00,2019-01-02 10:00,-3.690
2019-01-02 10:00,2019-01-02 11:00,-3.352
2019-01-02 11:00,2019-01-02 12:00,-3.085
2019-01-02 12:00,2019-01-02 13:00,-3.112
2019-01-02 13:00,2019-01-02 14:00,-3.796
2019-01-02 14:00,2019-01-02 15:00,-4.588
2019-01-02 15:00,2019-01-02 16:00,-4.551
2019-01-02 16:00,2019-01-02 17:00,-4.248
2019-01-02 17:00,2019-01-02 18:00,-4.080
