"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,1.40,1.05,4.19,0.00,0.00,0.00,0.00,0.00,1.05,4.19,0.00,0.00,0.00,0.38,20.50,19.22,0.00,0.00,0.00,0.00,0.00,0.00
2.00,1.37,1.03,4.11,0.00,0.00,0.00,0.00,0.00,1.03,4.11,0.00,0.00,0.00,0.30,20.50,19.24,0.00,0.00,0.00,0.00,0.00,0.00
3.00,1.35,1.01,4.05,0.00,0.00,0.00,0.00,0.00,1.01,4.05,0.00,0.00,0.00,0.30,20.50,19.26,0.00,0.00,0.00,0.00,0.00,0.00
4.00,1.33,1.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.33,20.50,19.28,0.00,0.00,0.00,0.00,0.00,0.00
5.00,1.32,0.99,3.96,0.00,0.00,0.00,0.00,0.00,0.99,3.96,0.00,0.00,0.00,0.29,20.50,19.29,0.00,0.00,0.00,0.00,0.00,0.00
6.00,1.31,0.98,3.94,0.00,0.00,0.00,0.00,0.00,0.98,3.94,0.00,0.00,0.00,0.22,20.50,19.30,0.00,0.00,0.00,0.00,0.00,0.00
7.00,1.30,0.98,3.92,0.00,0.00,0.00,0.00,0.00,0.98,3.92,0.00,0.00,0.00,0.20,20.50,19.31,0.00,0.00,0.00,0.00,0.00,0.00
8.00,1.30,0.98,3.90,0.00,0.00,0.00,0.00,0.00,0.98,3.90,0.00,0.00,0.00,0.18,20.50,19.31,0.00,0.00,0.00,0.00,0.00,0.00
9.00,1.29,0.97,3.88,0.00,0.00,0.00,0.00,0.00,0.97,3.88,0.00,0.00,0.00,0.17,20.50,19.32,0.01,0.00,0.00,0.00,0.00,0.00
10.00,1.25,0.94,3.77,0.00,0.00,0.00,0.00,0.00,0.94,3.77,0.00,0.00,0.00,0.21,20.50,19.32,0.04,0.00,0.00,0.00,0.00,0.00
11.00,1.22,0.92,3.67,0.00,0.00,0.00,0.00,0.00,0.92,3.67,0.00,0.00,0.00,0.28,20.50,19.32,0.07,0.88,1.22,1.22,0.74,0.74
