# Renewables.ninja Weather (Point API) - 33.694, 73.065 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Karachi, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Karachi", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "33.6938118", "lon": "73.0651511", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 05:00,8.820
2019-01-01 01:00,2019-01-01 06:00,8.880
2019-01-01 02:00,2019-01-01 07:00,9.144
2019-01-01 03:00,2019-01-01 08:00,9.996
2019-01-01 04:00,2019-01-01 09:00,11.168
2019-01-01 05:00,2019-01-01 10:00,12.586
2019-01-01 06:00,2019-01-01 11:00,13.542
2019-01-01 07:00,2019-01-01 12:00,13.546
2019-01-01 08:00,2019-01-01 13:00,12.799
2019-01-01 09:00,2019-01-01 14:00,11.668
2019-01-01 10:00,2019-01-01 15:00,10.705
2019-01-01 11:00,2019-01-01 16:00,10.070
2019-01-01 12:00,2019-01-01 17:00,9.207
2019-01-01 13:00,2019-01-01 18:00,8.504
2019-01-01 14:00,2019-01-01 19:00,7.345
2019-01-01 15:00,2019-01-01 20:00,6.690
2019-01-01 16:00,2019-01-01 21:00,6.542
2019-01-01 17:00,2019-01-01 22:00,6.451
2019-01-01 18:00,2019-01-01 23:00,6.455
2019-01-01 19:00,2019-01-02 00:00,6.261
2019-01-01 20:00,2019-01-02 01:00,5.627
2019-01-01 21:00,2019-01-02 02:00,5.263
2019-01-01 22:00,2019-01-02 03:00,5.351
2019-01-01 23:00,2019-01-02 04:00,5.495
2019-01-02 00:00,2019-01-02 05:00,5.614
2019-01-02 01:00,2019-01-02 06:00,5.550
2019-01-02 02:00,2019-01-02 07:00,5.813
2019-01-02 03:00,2019-01-02 08:00,7.969
2019-01-02 04:00,2019-01-02 09:00,9.713
2019-01-02 05:00,2019-01-02 10:00,11.345
2019-01-02 06:00,2019-01-02 11:00,12.589
2019-01-02 07:00,2019-01-02 12:00,13.335
2019-01-02 08:00,2019-01-02 13:00,13.625
2019-01-02 09:00,2019-01-02 14:00,13.603
2019-01-02 10:00,2019-01-02 15:00,13.165
2019-01-02 11:00,2019-01-02 16:00,11.557
2019-01-02 12:00,2019-01-02 17:00,9.857
2019-01-02 13:00,2019-01-02 18:00,8.878
2019-01-02 14:00,2019-01-02 19:00,8.074
2019-01-02 15:00,2019-01-02 20:00,7.392
2019-01-02 16:00,2019-01-02 21:00,6.809
2019-01-02 17:00,2019-01-02 22:00,6.153
2019-01-02 18:00,2019-01-02 23:00,5.375
2019-01-02 19:00,2019-01-03 00:00,4.733
2019-01-02 20:00,2019-01-03 01:00,4.277
2019-01-02 21:00,2019-01-03 02:00,3.855
2019-01-02 22:00,2019-01-03 03:00,3.612
2019-01-02 23:00,2019-01-03 04:00,3.458
2019-01-03 00:00,2019-01-03 05:00,3.334
2019-01-03 01:00,2019-01-03 06:00,3.158
2019-01-03 02:00,2019-01-03 07:00,3.548
2019-01-03 03:00,2019-01-03 08:00,7.422
2019-01-03 04:00,2019-01-03 09:00,10.920
2019-01-03 05:00,2019-01-03 10:00,13.999
2019-01-03 06:00,2019-01-03 11:00,15.814
2019-01-03 07:00,2019-01-03 12:00,16.770
2019-01-03 08:00,2019-01-03 13:00,17.070
2019-01-03 09:00,2019-01-03 14:00,16.689
2019-01-03 10:00,2019-01-03 15:00,15.433
2019-01-03 11:00,2019-01-03 16:00,11.337
2019-01-03 12:00,2019-01-03 17:00,8.779
2019-01-03 13:00,2019-01-03 18:00,8.379
2019-01-03 14:00,2019-01-03 19:00,8.110
2019-01-03 15:00,2019-01-03 20:00,7.390
2019-01-03 16:00,2019-01-03 21:00,6.383
2019-01-03 17:00,2019-01-03 22:00,5.679
2019-01-03 18:00,2019-01-03 23:00,4.931
2019-01-03 19:00,2019-01-04 00:00,4.800
2019-01-03 20:00,2019-01-04 01:00,4.825
2019-01-03 21:00,2019-01-04 02:00,4.910
2019-01-03 22:00,2019-01-04 03:00,4.851
2019-01-03 23:00,2019-01-04 04:00,5.272
2019-01-04 00:00,2019-01-04 05:00,5.728
2019-01-04 01:00,2019-01-04 06:00,5.963
2019-01-04 02:00,2019-01-04 07:00,6.230
2019-01-04 03:00,2019-01-04 08:00,7.818
2019-01-04 04:00,2019-01-04 09:00,8.891
2019-01-04 05:00,2019-01-04 10:00,10.209
2019-01-04 06:00,2019-01-04 11:00,10.088
2019-01-04 07:00,2019-01-04 12:00,9.013
2019-01-04 08:00,2019-01-04 13:00,8.503
2019-01-04 09:00,2019-01-04 14:00,8.022
2019-01-04 10:00,2019-01-04 15:00,7.424
2019-01-04 11:00,2019-01-04 16:00,6.771
2019-01-04 12:00,2019-01-04 17:00,6.168
2019-01-04 13:00,2019-01-04 18:00,5.946
2019-01-04 14:00,2019-01-04 19:00,5.671
2019-01-04 15:00,2019-01-04 20:00,5.411
2019-01-04 16:00,2019-01-04 21:00,5.430
2019-01-04 17:00,2019-01-04 22:00,5.557
2019-01-04 18:00,2019-01-04 23:00,5.502
2019-01-04 19:00,2019-01-05 00:00,5.222
2019-01-04 20:00,2019-01-05 01:00,5.443
2019-01-04 21:00,2019-01-05 02:00,5.799
2019-01-04 22:00,2019-01-05 03:00,5.614
2019-01-04 23:00,2019-01-05 04:00,5.356
2019-01-05 00:00,2019-01-05 05:00,5.201
2019-01-05 01:00,2019-01-05 06:00,5.166
2019-01-05 02:00,2019-01-05 07:00,5.342
2019-01-05 03:00,2019-01-05 08:00,6.961
2019-01-05 04:00,2019-01-05 09:00,8.670
2019-01-05 05:00,2019-01-05 10:00,10.256
2019-01-05 06:00,2019-01-05 11:00,11.390
2019-01-05 07:00,2019-01-05 12:00,12.061
2019-01-05 08:00,2019-01-05 13:00,12.168
2019-01-05 09:00,2019-01-05 14:00,11.735
2019-01-05 10:00,2019-01-05 15:00,11.132
2019-01-05 11:00,2019-01-05 16:00,9.305
2019-01-05 12:00,2019-01-05 17:00,7.033
2019-01-05 13:00,2019-01-05 18:00,6.055
2019-01-05 14:00,2019-01-05 19:00,5.514
2019-01-05 15:00,2019-01-05 20:00,5.206
2019-01-05 16:00,2019-01-05 21:00,4.932
2019-01-05 17:00,2019-01-05 22:00,4.769
2019-01-05 18:00,2019-01-05 23:00,4.632
2019-01-05 19:00,2019-01-06 00:00,4.555
2019-01-05 20:00,2019-01-06 01:00,4.519
2019-01-05 21:00,2019-01-06 02:00,4.520
2019-01-05 22:00,2019-01-06 03:00,4.442
2019-01-05 23:00,2019-01-06 04:00,4.134
2019-01-06 00:00,2019-01-06 05:00,3.895
2019-01-06 01:00,2019-01-06 06:00,3.855
2019-01-06 02:00,2019-01-06 07:00,4.313
2019-01-06 03:00,2019-01-06 08:00,7.135
2019-01-06 04:00,2019-01-06 09:00,10.317
2019-01-06 05:00,2019-01-06 10:00,12.631
2019-01-06 06:00,2019-01-06 11:00,14.157
2019-01-06 07:00,2019-01-06 12:00,14.873
2019-01-06 08:00,2019-01-06 13:00,15.077
2019-01-06 09:00,2019-01-06 14:00,14.820
2019-01-06 10:00,2019-01-06 15:00,13.976
2019-01-06 11:00,2019-01-06 16:00,10.419
2019-01-06 12:00,2019-01-06 17:00,7.723
2019-01-06 13:00,2019-01-06 18:00,7.156
2019-01-06 14:00,2019-01-06 19:00,6.514
2019-01-06 15:00,2019-01-06 20:00,5.847
2019-01-06 16:00,2019-01-06 21:00,5.341
2019-01-06 17:00,2019-01-06 22:00,4.969
