"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,0.00,0.19,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.43,0.00,8.82,19.50,18.69
2.00,0.00,0.18,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.29,0.00,8.88,19.50,18.73
3.00,0.00,0.17,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.14,0.00,9.14,19.50,18.77
4.00,0.00,0.15,1.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.85,0.00,10.00,19.50,18.80
5.00,0.00,0.12,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.53,0.00,11.17,19.50,18.83
6.00,0.00,0.10,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.26,0.00,12.59,19.50,18.87
7.00,0.00,0.08,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.02,0.00,13.54,19.50,18.93
8.00,0.00,0.07,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.90,0.00,13.55,19.50,18.98
9.00,0.00,0.07,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.91,0.00,12.80,19.50,19.02
10.00,0.00,0.08,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.00,0.00,11.67,19.50,19.04
11.00,0.00,0.09,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.15,0.00,10.71,19.50,19.04
12.00,0.00,0.10,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.30,0.00,10.07,19.50,19.03
13.00,0.00,0.11,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.43,0.00,9.21,19.50,19.01
14.00,0.00,0.12,1.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.52,0.00,8.50,19.50,18.99
15.00,0.00,0.13,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.65,0.00,7.35,19.50,18.96
16.00,0.00,0.14,1.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.79,0.00,6.69,19.50,18.92
17.00,0.00,0.15,1.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.90,0.00,6.54,19.50,18.89
18.00,0.00,0.16,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,2.00,0.00,6.45,19.50,18.86
19.00,0.00,0.17,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.07,0.00,6.46,19.50,18.83
20.00,0.00,0.17,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.14,0.00,6.26,19.50,18.81
21.00,0.00,0.18,2.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.21,0.00,5.63,19.50,18.80
22.00,0.00,0.18,2.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,2.29,0.00,5.26,19.50,18.77
23.00,0.00,0.19,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.35,0.00,5.35,19.50,18.75
24.00,0.00,0.19,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.40,0.00,5.50,19.50,18.74
25.00,0.00,0.19,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.42,0.00,5.61,19.50,18.73
26.00,0.00,0.20,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.44,0.00,5.55,19.50,18.72
27.00,0.00,0.19,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.41,0.00,5.81,19.50,18.71
28.00,0.00,0.17,2.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.07,0.00,7.97,19.50,18.71
29.00,0.00,0.12,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.56,0.00,9.71,19.50,18.74
30.00,0.00,0.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.06,0.00,11.35,19.50,18.79
31.00,0.00,0.05,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.63,0.00,12.59,19.50,18.84
32.00,0.00,0.04,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,0.00,13.34,19.50,18.90
33.00,0.00,0.03,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.40,0.00,13.63,19.50,18.95
34.00,0.00,0.04,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.47,0.00,13.60,19.50,19.00
35.00,0.00,0.06,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.71,0.00,13.17,19.50,19.04
36.00,0.00,0.08,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,1.06,0.00,11.56,19.50,19.06
37.00,0.00,0.10,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,1.28,0.00,9.86,19.50,19.06
38.00,0.00,0.11,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.39,0.00,8.88,19.50,19.03
39.00,0.00,0.12,1.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,1.51,0.00,8.07,19.50,19.00
40.00,0.00,0.13,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,1.65,0.00,7.39,19.50,18.96
41.00,0.00,0.14,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,1.78,0.00,6.81,19.50,18.93
42.00,0.00,0.15,1.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,1.91,0.00,6.15,19.50,18.89
43.00,0.00,0.16,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,2.05,0.00,5.38,19.50,18.85
44.00,0.00,0.17,2.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.18,0.00,4.73,19.50,18.82
45.00,0.00,0.19,2.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,2.32,0.00,4.28,19.50,18.78
46.00,0.00,0.20,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.44,0.00,3.86,19.50,18.74
47.00,0.00,0.20,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,2.55,0.00,3.61,19.50,18.71
48.00,0.00,0.21,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,2.64,0.00,3.46,19.50,18.68
49.00,0.00,0.22,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,2.72,0.00,3.33,19.50,18.66
50.00,0.00,0.22,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,2.78,0.00,3.16,19.50,18.64
51.00,0.00,0.22,2.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,2.72,0.00,3.55,19.50,18.62
52.00,0.00,0.17,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,2.14,0.00,7.42,19.50,18.61
53.00,0.00,0.11,1.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.40,0.00,10.92,19.50,18.65
54.00,0.00,0.06,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.69,0.00,14.00,19.50,18.73
55.00,0.00,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.00,15.81,19.50,18.83
56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.77,19.50,18.94
57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,19.66,19.03
58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.69,19.61,19.14
59.00,0.00,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.00,15.43,19.61,19.21
60.00,0.00,0.04,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.46,0.00,11.34,19.50,19.24
61.00,0.00,0.07,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.89,0.00,8.78,19.50,19.19
62.00,0.00,0.09,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,1.12,0.00,8.38,19.50,19.12
