# Renewables.ninja Weather (Point API) - 59.560, 150.799 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Magadan, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Magadan", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "59.5604768", "lon": "150.7988617", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 11:00,56.318
2019-01-01 01:00,2019-01-01 12:00,90.460
2019-01-01 02:00,2019-01-01 13:00,89.179
2019-01-01 03:00,2019-01-01 14:00,56.916
2019-01-01 04:00,2019-01-01 15:00,13.558
2019-01-01 05:00,2019-01-01 16:00,0
2019-01-01 06:00,2019-01-01 17:00,0
2019-01-01 07:00,2019-01-01 18:00,0
2019-01-01 08:00,2019-01-01 19:00,0
2019-01-01 09:00,2019-01-01 20:00,0
2019-01-01 10:00,2019-01-01 21:00,0
2019-01-01 11:00,2019-01-01 22:00,0
2019-01-01 12:00,2019-01-01 23:00,0
2019-01-01 13:00,2019-01-02 00:00,0
2019-01-01 14:00,2019-01-02 01:00,0
2019-01-01 15:00,2019-01-02 02:00,0
2019-01-01 16:00,2019-01-02 03:00,0
2019-01-01 17:00,2019-01-02 04:00,0
2019-01-01 18:00,2019-01-02 05:00,0
2019-01-01 19:00,2019-01-02 06:00,0
2019-01-01 20:00,2019-01-02 07:00,0
2019-01-01 21:00,2019-01-02 08:00,0
2019-01-01 22:00,2019-01-02 09:00,0.005
2019-01-01 23:00,2019-01-02 10:00,15.139
2019-01-02 00:00,2019-01-02 11:00,55.279
2019-01-02 01:00,2019-01-02 12:00,82.626
2019-01-02 02:00,2019-01-02 13:00,78.076
2019-01-02 03:00,2019-01-02 14:00,46.339
2019-01-02 04:00,2019-01-02 15:00,10.703
2019-01-02 05:00,2019-01-02 16:00,0
2019-01-02 06:00,2019-01-02 17:00,0
2019-01-02 07:00,2019-01-02 18:00,0
2019-01-02 08:00,2019-01-02 19:00,0
2019-01-02 09:00,2019-01-02 20:00,0
2019-01-02 10:00,2019-01-02 21:00,0
2019-01-02 11:00,2019-01-02 22:00,0
