# Renewables.ninja Weather (Point API) - 59.560, 150.799 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Magadan, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Magadan", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "59.5604768", "lon": "150.7988617", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 11:00,-24.220
2019-01-01 01:00,2019-01-01 12:00,-23.305
2019-01-01 02:00,2019-01-01 13:00,-22.677
2019-01-01 03:00,2019-01-01 14:00,-22.619
2019-01-01 04:00,2019-01-01 15:00,-23.090
2019-01-01 05:00,2019-01-01 16:00,-23.714
2019-01-01 06:00,2019-01-01 17:00,-23.954
2019-01-01 07:00,2019-01-01 18:00,-23.956
2019-01-01 08:00,2019-01-01 19:00,-23.745
2019-01-01 09:00,2019-01-01 20:00,-23.138
2019-01-01 10:00,2019-01-01 21:00,-22.250
2019-01-01 11:00,2019-01-01 22:00,-21.294
2019-01-01 12:00,2019-01-01 23:00,-20.380
2019-01-01 13:00,2019-01-02 00:00,-19.552
2019-01-01 14:00,2019-01-02 01:00,-18.850
2019-01-01 15:00,2019-01-02 02:00,-18.526
2019-01-01 16:00,2019-01-02 03:00,-18.507
2019-01-01 17:00,2019-01-02 04:00,-18.627
2019-01-01 18:00,2019-01-02 05:00,-18.880
2019-01-01 19:00,2019-01-02 06:00,-19.199
2019-01-01 20:00,2019-01-02 07:00,-19.643
2019-01-01 21:00,2019-01-02 08:00,-20.081
2019-01-01 22:00,2019-01-02 09:00,-20.282
2019-01-01 23:00,2019-01-02 10:00,-20.245
2019-01-02 00:00,2019-01-02 11:00,-19.887
2019-01-02 01:00,2019-01-02 12:00,-19.467
2019-01-02 02:00,2019-01-02 13:00,-19.246
2019-01-02 03:00,2019-01-02 14:00,-19.301
2019-01-02 04:00,2019-01-02 15:00,-19.371
2019-01-02 05:00,2019-01-02 16:00,-19.315
2019-01-02 06:00,2019-01-02 17:00,-19.173
2019-01-02 07:00,2019-01-02 18:00,-19.085
2019-01-02 08:00,2019-01-02 19:00,-19.014
2019-01-02 09:00,2019-01-02 20:00,-18.700
2019-01-02 10:00,2019-01-02 21:00,-18.232
2019-01-02 11:00,2019-01-02 22:00,-17.896
2019-01-02 12:00,2019-01-02 23:00,-17.715
2019-01-02 13:00,2019-01-03 00:00,-17.745
2019-01-02 14:00,2019-01-03 01:00,-18.023
2019-01-02 15:00,2019-01-03 02:00,-18.823
2019-01-02 16:00,2019-01-03 03:00,-20.005
2019-01-02 17:00,2019-01-03 04:00,-21.221
2019-01-02 18:00,2019-01-03 05:00,-22.182
2019-01-02 19:00,2019-01-03 06:00,-22.804
2019-01-02 20:00,2019-01-03 07:00,-23.278
2019-01-02 21:00,2019-01-03 08:00,-23.776
2019-01-02 22:00,2019-01-03 09:00,-24.224
2019-01-02 23:00,2019-01-03 10:00,-24.433
2019-01-03 00:00,2019-01-03 11:00,-24.001
2019-01-03 01:00,2019-01-03 12:00,-23.153
2019-01-03 02:00,2019-01-03 13:00,-22.446
2019-01-03 03:00,2019-01-03 14:00,-22.497
2019-01-03 04:00,2019-01-03 15:00,-23.308
2019-01-03 05:00,2019-01-03 16:00,-24.350
2019-01-03 06:00,2019-01-03 17:00,-25.105
2019-01-03 07:00,2019-01-03 18:00,-25.669
2019-01-03 08:00,2019-01-03 19:00,-26.164
2019-01-03 09:00,2019-01-03 20:00,-26.419
2019-01-03 10:00,2019-01-03 21:00,-26.499
2019-01-03 11:00,2019-01-03 22:00,-26.468
2019-01-03 12:00,2019-01-03 23:00,-26.268
2019-01-03 13:00,2019-01-04 00:00,-25.939
2019-01-03 14:00,2019-01-04 01:00,-25.577
2019-01-03 15:00,2019-01-04 02:00,-25.388
2019-01-03 16:00,2019-01-04 03:00,-25.400
2019-01-03 17:00,2019-01-04 04:00,-25.525
2019-01-03 18:00,2019-01-04 05:00,-25.738
2019-01-03 19:00,2019-01-04 06:00,-25.954
2019-01-03 20:00,2019-01-04 07:00,-26.139
2019-01-03 21:00,2019-01-04 08:00,-26.238
2019-01-03 22:00,2019-01-04 09:00,-26.327
2019-01-03 23:00,2019-01-04 10:00,-26.284
2019-01-04 00:00,2019-01-04 11:00,-25.699
2019-01-04 01:00,2019-01-04 12:00,-24.870
2019-01-04 02:00,2019-01-04 13:00,-24.272
2019-01-04 03:00,2019-01-04 14:00,-24.304
2019-01-04 04:00,2019-01-04 15:00,-24.944
2019-01-04 05:00,2019-01-04 16:00,-25.836
2019-01-04 06:00,2019-01-04 17:00,-26.532
2019-01-04 07:00,2019-01-04 18:00,-27.093
2019-01-04 08:00,2019-01-04 19:00,-27.538
2019-01-04 09:00,2019-01-04 20:00,-27.705
2019-01-04 10:00,2019-01-04 21:00,-27.668
2019-01-04 11:00,2019-01-04 22:00,-27.588
2019-01-04 12:00,2019-01-04 23:00,-27.530
2019-01-04 13:00,2019-01-05 00:00,-27.535
2019-01-04 14:00,2019-01-05 01:00,-27.536
2019-01-04 15:00,2019-01-05 02:00,-27.703
2019-01-04 16:00,2019-01-05 03:00,-28.000
2019-01-04 17:00,2019-01-05 04:00,-28.216
2019-01-04 18:00,2019-01-05 05:00,-28.347
2019-01-04 19:00,2019-01-05 06:00,-28.464
2019-01-04 20:00,2019-01-05 07:00,-28.590
2019-01-04 21:00,2019-01-05 08:00,-28.577
2019-01-04 22:00,2019-01-05 09:00,-28.501
2019-01-04 23:00,2019-01-05 10:00,-28.374
2019-01-05 00:00,2019-01-05 11:00,-27.755
2019-01-05 01:00,2019-01-05 12:00,-26.889
2019-01-05 02:00,2019-01-05 13:00,-26.239
2019-01-05 03:00,2019-01-05 14:00,-26.189
2019-01-05 04:00,2019-01-05 15:00,-26.798
2019-01-05 05:00,2019-01-05 16:00,-27.634
2019-01-05 06:00,2019-01-05 17:00,-28.172
2019-01-05 07:00,2019-01-05 18:00,-28.473
2019-01-05 08:00,2019-01-05 19:00,-28.651
2019-01-05 09:00,2019-01-05 20:00,-28.597
2019-01-05 10:00,2019-01-05 21:00,-28.321
2019-01-05 11:00,2019-01-05 22:00,-27.957
2019-01-05 12:00,2019-01-05 23:00,-27.479
2019-01-05 13:00,2019-01-06 00:00,-26.759
2019-01-05 14:00,2019-01-06 01:00,-25.908
2019-01-05 15:00,2019-01-06 02:00,-25.232
2019-01-05 16:00,2019-01-06 03:00,-24.867
2019-01-05 17:00,2019-01-06 04:00,-24.721
2019-01-05 18:00,2019-01-06 05:00,-24.660
2019-01-05 19:00,2019-01-06 06:00,-24.576
2019-01-05 20:00,2019-01-06 07:00,-24.596
2019-01-05 21:00,2019-01-06 08:00,-24.693
2019-01-05 22:00,2019-01-06 09:00,-25.143
2019-01-05 23:00,2019-01-06 10:00,-25.529
2019-01-06 00:00,2019-01-06 11:00,-25.410
2019-01-06 01:00,2019-01-06 12:00,-24.869
2019-01-06 02:00,2019-01-06 13:00,-24.170
2019-01-06 03:00,2019-01-06 14:00,-23.577
2019-01-06 04:00,2019-01-06 15:00,-23.195
2019-01-06 05:00,2019-01-06 16:00,-22.816
2019-01-06 06:00,2019-01-06 17:00,-22.521
2019-01-06 07:00,2019-01-06 18:00,-22.375
2019-01-06 08:00,2019-01-06 19:00,-22.279
2019-01-06 09:00,2019-01-06 20:00,-22.133
2019-01-06 10:00,2019-01-06 21:00,-21.806
2019-01-06 11:00,2019-01-06 22:00,-21.706
2019-01-06 12:00,2019-01-06 23:00,-21.822
2019-01-06 13:00,2019-01-07 00:00,-22.719
2019-01-06 14:00,2019-01-07 01:00,-23.813
2019-01-06 15:00,2019-01-07 02:00,-24.568
2019-01-06 16:00,2019-01-07 03:00,-24.912
2019-01-06 17:00,2019-01-07 04:00,-25.302
2019-01-06 18:00,2019-01-07 05:00,-25.468
2019-01-06 19:00,2019-01-07 06:00,-25.239
2019-01-06 20:00,2019-01-07 07:00,-24.445
2019-01-06 21:00,2019-01-07 08:00,-23.718
2019-01-06 22:00,2019-01-07 09:00,-23.414
2019-01-06 23:00,2019-01-07 10:00,-23.183
2019-01-07 00:00,2019-01-07 11:00,-22.459
2019-01-07 01:00,2019-01-07 12:00,-21.942
2019-01-07 02:00,2019-01-07 13:00,-21.704
2019-01-07 03:00,2019-01-07 14:00,-21.496
2019-01-07 04:00,2019-01-07 15:00,-21.604
