"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,2.00,1.56,6.71,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.06,0.71,0.00,-24.22,19.50,17.61
2.00,2.00,1.58,7.01,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.08,1.01,0.00,-23.31,19.50,17.46
3.00,2.00,1.60,7.29,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.10,1.29,0.00,-22.68,19.50,17.37
4.00,2.00,1.63,7.59,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.13,1.59,0.00,-22.62,19.50,17.30
5.00,2.00,1.65,7.88,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.15,1.88,0.00,-23.09,19.50,17.25
6.00,2.00,1.67,8.09,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.17,2.09,0.00,-23.71,19.50,17.20
7.00,2.00,1.68,8.23,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.18,2.23,0.00,-23.95,19.50,17.16
8.00,2.00,1.69,8.34,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.19,2.34,0.00,-23.96,19.50,17.12
9.00,2.00,1.69,8.42,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.19,2.42,0.00,-23.75,19.50,17.09
10.00,2.00,1.70,8.46,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.20,2.46,0.00,-23.14,19.50,17.07
11.00,2.00,1.70,8.45,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.20,2.45,0.00,-22.25,19.50,17.06
12.00,2.00,1.69,8.39,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.19,2.39,0.00,-21.29,19.50,17.07
13.00,2.00,1.68,8.31,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.18,2.31,0.00,-20.38,19.50,17.09
14.00,2.00,1.68,8.20,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.18,2.20,0.00,-19.55,19.50,17.11
15.00,2.00,1.67,8.09,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.17,2.09,0.00,-18.85,19.50,17.14
16.00,2.00,1.66,7.98,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.16,1.98,0.00,-18.53,19.50,17.18
17.00,2.00,1.65,7.89,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.15,1.89,0.00,-18.51,19.50,17.21
18.00,2.00,1.65,7.82,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.15,1.82,0.00,-18.63,19.50,17.23
19.00,2.00,1.64,7.78,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.14,1.78,0.00,-18.88,19.50,17.24
20.00,2.00,1.64,7.76,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.14,1.76,0.00,-19.20,19.50,17.25
21.00,2.00,1.64,7.77,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.14,1.77,0.00,-19.64,19.50,17.26
22.00,2.00,1.64,7.80,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.14,1.80,0.00,-20.08,19.50,17.25
23.00,2.00,1.65,7.83,0.00,0.00,0.00,0.00,0.00,1.50,6.00,0.15,1.83,0.00,-20.28,19.50,17.25
