# Renewables.ninja Weather (Point API) - 48.708, 44.515 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Volgograd, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Volgograd", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "48.7081906", "lon": "44.5153353", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 04:00,-12.471
2019-01-01 01:00,2019-01-01 05:00,-12.587
2019-01-01 02:00,2019-01-01 06:00,-12.576
2019-01-01 03:00,2019-01-01 07:00,-12.494
2019-01-01 04:00,2019-01-01 08:00,-12.433
2019-01-01 05:00,2019-01-01 09:00,-12.219
2019-01-01 06:00,2019-01-01 10:00,-11.174
2019-01-01 07:00,2019-01-01 11:00,-10.026
2019-01-01 08:00,2019-01-01 12:00,-9.083
2019-01-01 09:00,2019-01-01 13:00,-8.078
2019-01-01 10:00,2019-01-01 14:00,-7.188
2019-01-01 11:00,2019-01-01 15:00,-6.631
2019-01-01 12:00,2019-01-01 16:00,-6.807
2019-01-01 13:00,2019-01-01 17:00,-7.994
2019-01-01 14:00,2019-01-01 18:00,-8.975
2019-01-01 15:00,2019-01-01 19:00,-9.468
2019-01-01 16:00,2019-01-01 20:00,-9.522
2019-01-01 17:00,2019-01-01 21:00,-9.239
2019-01-01 18:00,2019-01-01 22:00,-8.832
2019-01-01 19:00,2019-01-01 23:00,-8.444
2019-01-01 20:00,2019-01-02 00:00,-8.262
2019-01-01 21:00,2019-01-02 01:00,-8.241
2019-01-01 22:00,2019-01-02 02:00,-8.238
2019-01-01 23:00,2019-01-02 03:00,-8.130
2019-01-02 00:00,2019-01-02 04:00,-7.961
2019-01-02 01:00,2019-01-02 05:00,-7.807
2019-01-02 02:00,2019-01-02 06:00,-7.641
2019-01-02 03:00,2019-01-02 07:00,-7.492
2019-01-02 04:00,2019-01-02 08:00,-7.433
2019-01-02 05:00,2019-01-02 09:00,-7.347
2019-01-02 06:00,2019-01-02 10:00,-6.781
2019-01-02 07:00,2019-01-02 11:00,-6.047
2019-01-02 08:00,2019-01-02 12:00,-5.174
2019-01-02 09:00,2019-01-02 13:00,-4.234
2019-01-02 10:00,2019-01-02 14:00,-3.421
2019-01-02 11:00,2019-01-02 15:00,-2.947
2019-01-02 12:00,2019-01-02 16:00,-3.316
2019-01-02 13:00,2019-01-02 17:00,-4.515
2019-01-02 14:00,2019-01-02 18:00,-5.217
2019-01-02 15:00,2019-01-02 19:00,-5.490
2019-01-02 16:00,2019-01-02 20:00,-5.485
2019-01-02 17:00,2019-01-02 21:00,-5.417
2019-01-02 18:00,2019-01-02 22:00,-5.468
2019-01-02 19:00,2019-01-02 23:00,-5.574
2019-01-02 20:00,2019-01-03 00:00,-5.621
2019-01-02 21:00,2019-01-03 01:00,-5.601
2019-01-02 22:00,2019-01-03 02:00,-5.596
2019-01-02 23:00,2019-01-03 03:00,-5.696
2019-01-03 00:00,2019-01-03 04:00,-5.891
2019-01-03 01:00,2019-01-03 05:00,-6.076
2019-01-03 02:00,2019-01-03 06:00,-6.273
2019-01-03 03:00,2019-01-03 07:00,-6.568
2019-01-03 04:00,2019-01-03 08:00,-6.848
2019-01-03 05:00,2019-01-03 09:00,-6.909
2019-01-03 06:00,2019-01-03 10:00,-6.528
2019-01-03 07:00,2019-01-03 11:00,-6.142
2019-01-03 08:00,2019-01-03 12:00,-5.678
2019-01-03 09:00,2019-01-03 13:00,-5.127
2019-01-03 10:00,2019-01-03 14:00,-4.690
2019-01-03 11:00,2019-01-03 15:00,-4.539
2019-01-03 12:00,2019-01-03 16:00,-4.768
