# Renewables.ninja Weather (Point API) - 48.708, 44.515 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Volgograd, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Volgograd", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "48.7081906", "lon": "44.5153353", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 04:00,0
2019-01-01 01:00,2019-01-01 05:00,0
2019-01-01 02:00,2019-01-01 06:00,0
2019-01-01 03:00,2019-01-01 07:00,0
2019-01-01 04:00,2019-01-01 08:00,0.021
2019-01-01 05:00,2019-01-01 09:00,23.382
2019-01-01 06:00,2019-01-01 10:00,84.090
2019-01-01 07:00,2019-01-01 11:00,148.138
2019-01-01 08:00,2019-01-01 12:00,181.896
2019-01-01 09:00,2019-01-01 13:00,182.393
2019-01-01 10:00,2019-01-01 14:00,163.301
2019-01-01 11:00,2019-01-01 15:00,112.375
2019-01-01 12:00,2019-01-01 16:00,37.853
2019-01-01 13:00,2019-01-01 17:00,0.157
2019-01-01 14:00,2019-01-01 18:00,0
2019-01-01 15:00,2019-01-01 19:00,0
2019-01-01 16:00,2019-01-01 20:00,0
2019-01-01 17:00,2019-01-01 21:00,0
2019-01-01 18:00,2019-01-01 22:00,0
2019-01-01 19:00,2019-01-01 23:00,0
2019-01-01 20:00,2019-01-02 00:00,0
2019-01-01 21:00,2019-01-02 01:00,0
2019-01-01 22:00,2019-01-02 02:00,0
2019-01-01 23:00,2019-01-02 03:00,0
2019-01-02 00:00,2019-01-02 04:00,0
2019-01-02 01:00,2019-01-02 05:00,0
2019-01-02 02:00,2019-01-02 06:00,0
2019-01-02 03:00,2019-01-02 07:00,0
2019-01-02 04:00,2019-01-02 08:00,0.017
2019-01-02 05:00,2019-01-02 09:00,22.527
2019-01-02 06:00,2019-01-02 10:00,82.105
2019-01-02 07:00,2019-01-02 11:00,142.057
2019-01-02 08:00,2019-01-02 12:00,181.362
2019-01-02 09:00,2019-01-02 13:00,189.831
2019-01-02 10:00,2019-01-02 14:00,153.189
2019-01-02 11:00,2019-01-02 15:00,98.403
2019-01-02 12:00,2019-01-02 16:00,32.836
2019-01-02 13:00,2019-01-02 17:00,0.166
2019-01-02 14:00,2019-01-02 18:00,0
2019-01-02 15:00,2019-01-02 19:00,0
2019-01-02 16:00,2019-01-02 20:00,0
2019-01-02 17:00,2019-01-02 21:00,0
2019-01-02 18:00,2019-01-02 22:00,0
2019-01-02 19:00,2019-01-02 23:00,0
2019-01-02 20:00,2019-01-03 00:00,0
2019-01-02 21:00,2019-01-03 01:00,0
2019-01-02 22:00,2019-01-03 02:00,0
2019-01-02 23:00,2019-01-03 03:00,0
2019-01-03 00:00,2019-01-03 04:00,0
2019-01-03 01:00,2019-01-03 05:00,0
2019-01-03 02:00,2019-01-03 06:00,0
2019-01-03 03:00,2019-01-03 07:00,0
2019-01-03 04:00,2019-01-03 08:00,0.051
2019-01-03 05:00,2019-01-03 09:00,25.722
2019-01-03 06:00,2019-01-03 10:00,86.742
2019-01-03 07:00,2019-01-03 11:00,155.080
2019-01-03 08:00,2019-01-03 12:00,192.345
2019-01-03 09:00,2019-01-03 13:00,189.282
2019-01-03 10:00,2019-01-03 14:00,171.200
2019-01-03 11:00,2019-01-03 15:00,110.263
2019-01-03 12:00,2019-01-03 16:00,34.034
2019-01-03 13:00,2019-01-03 17:00,0.181
2019-01-03 14:00,2019-01-03 18:00,0
2019-01-03 15:00,2019-01-03 19:00,0
2019-01-03 16:00,2019-01-03 20:00,0
2019-01-03 17:00,2019-01-03 21:00,0
2019-01-03 18:00,2019-01-03 22:00,0
2019-01-03 19:00,2019-01-03 23:00,0
2019-01-03 20:00,2019-01-04 00:00,0
2019-01-03 21:00,2019-01-04 01:00,0
2019-01-03 22:00,2019-01-04 02:00,0
2019-01-03 23:00,2019-01-04 03:00,0
2019-01-04 00:00,2019-01-04 04:00,0
2019-01-04 01:00,2019-01-04 05:00,0
2019-01-04 02:00,2019-01-04 06:00,0
2019-01-04 03:00,2019-01-04 07:00,0
2019-01-04 04:00,2019-01-04 08:00,0.014
