"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,1.00,0.88,4.58,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.13,1.58,0.00,-12.47,19.50,18.23
2.00,1.00,0.91,4.97,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.16,1.97,0.00,-12.59,19.50,18.10
3.00,1.00,0.93,5.28,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.18,2.28,0.00,-12.58,19.50,18.00
4.00,1.00,0.95,5.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.52,0.00,-12.49,19.50,17.92
5.00,1.00,0.97,5.69,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.22,2.69,0.00,-12.43,19.50,17.86
6.00,1.00,0.97,5.76,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.22,2.76,0.00,-12.22,19.50,17.81
7.00,1.00,0.96,5.64,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.21,2.64,0.00,-11.17,19.50,17.78
8.00,1.00,0.95,5.45,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.45,0.00,-10.03,19.50,17.77
9.00,1.00,0.93,5.30,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.18,2.30,0.00,-9.08,19.50,17.78
10.00,1.00,0.93,5.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.18,2.21,0.00,-8.08,19.50,17.79
11.00,1.00,0.92,5.16,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.17,2.16,0.00,-7.19,19.50,17.82
12.00,1.00,0.92,5.19,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.17,2.19,0.00,-6.63,19.50,17.85
13.00,1.00,0.93,5.31,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.18,2.31,0.00,-6.81,19.50,17.88
14.00,1.00,0.94,5.39,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.19,2.39,0.00,-7.99,19.50,17.91
15.00,1.00,0.94,5.42,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.19,2.42,0.00,-8.98,19.50,17.91
16.00,1.00,0.95,5.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.47,0.00,-9.47,19.50,17.90
17.00,1.00,0.95,5.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.52,0.00,-9.52,19.50,17.88
18.00,1.00,0.95,5.55,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.55,0.00,-9.24,19.50,17.87
19.00,1.00,0.95,5.55,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.55,0.00,-8.83,19.50,17.86
20.00,1.00,0.95,5.54,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.54,0.00,-8.44,19.50,17.86
21.00,1.00,0.95,5.51,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.20,2.51,0.00,-8.26,19.50,17.87
