# Renewables.ninja Weather (Point API) - 24.639, 46.716 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Riyadh, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Asia/Riyadh", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "24.638916", "lon": "46.7160104", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 03:00,0
2019-01-01 01:00,2019-01-01 04:00,0
2019-01-01 02:00,2019-01-01 05:00,0
2019-01-01 03:00,2019-01-01 06:00,4.553
2019-01-01 04:00,2019-01-01 07:00,88.447
2019-01-01 05:00,2019-01-01 08:00,298.283
2019-01-01 06:00,2019-01-01 09:00,509.308
2019-01-01 07:00,2019-01-01 10:00,632.520
2019-01-01 08:00,2019-01-01 11:00,672.025
2019-01-01 09:00,2019-01-01 12:00,646.629
2019-01-01 10:00,2019-01-01 13:00,605.720
2019-01-01 11:00,2019-01-01 14:00,407.069
2019-01-01 12:00,2019-01-01 15:00,153.521
2019-01-01 13:00,2019-01-01 16:00,48.040
2019-01-01 14:00,2019-01-01 17:00,0.401
2019-01-01 15:00,2019-01-01 18:00,0
2019-01-01 16:00,2019-01-01 19:00,0
2019-01-01 17:00,2019-01-01 20:00,0
2019-01-01 18:00,2019-01-01 21:00,0
2019-01-01 19:00,2019-01-01 22:00,0
2019-01-01 20:00,2019-01-01 23:00,0
2019-01-01 21:00,2019-01-02 00:00,0
2019-01-01 22:00,2019-01-02 01:00,0
2019-01-01 23:00,2019-01-02 02:00,0
2019-01-02 00:00,2019-01-02 03:00,0
2019-01-02 01:00,2019-01-02 04:00,0
2019-01-02 02:00,2019-01-02 05:00,0
2019-01-02 03:00,2019-01-02 06:00,5.200
2019-01-02 04:00,2019-01-02 07:00,96.281
2019-01-02 05:00,2019-01-02 08:00,276.237
2019-01-02 06:00,2019-01-02 09:00,493.226
2019-01-02 07:00,2019-01-02 10:00,619.833
2019-01-02 08:00,2019-01-02 11:00,624.541
2019-01-02 09:00,2019-01-02 12:00,607.963
2019-01-02 10:00,2019-01-02 13:00,577.044
2019-01-02 11:00,2019-01-02 14:00,481.309
2019-01-02 12:00,2019-01-02 15:00,278.476
2019-01-02 13:00,2019-01-02 16:00,71.326
2019-01-02 14:00,2019-01-02 17:00,0.592
2019-01-02 15:00,2019-01-02 18:00,0
2019-01-02 16:00,2019-01-02 19:00,0
2019-01-02 17:00,2019-01-02 20:00,0
2019-01-02 18:00,2019-01-02 21:00,0
2019-01-02 19:00,2019-01-02 22:00,0
2019-01-02 20:00,2019-01-02 23:00,0
2019-01-02 21:00,2019-01-03 00:00,0
2019-01-02 22:00,2019-01-03 01:00,0
2019-01-02 23:00,2019-01-03 02:00,0
2019-01-03 00:00,2019-01-03 03:00,0
2019-01-03 01:00,2019-01-03 04:00,0
2019-01-03 02:00,2019-01-03 05:00,0
2019-01-03 03:00,2019-01-03 06:00,6.520
2019-01-03 04:00,2019-01-03 07:00,140.989
2019-01-03 05:00,2019-01-03 08:00,349.280
2019-01-03 06:00,2019-01-03 09:00,529.855
2019-01-03 07:00,2019-01-03 10:00,657.290
2019-01-03 08:00,2019-01-03 11:00,717.858
2019-01-03 09:00,2019-01-03 12:00,706.736
2019-01-03 10:00,2019-01-03 13:00,626.278
2019-01-03 11:00,2019-01-03 14:00,482.652
2019-01-03 12:00,2019-01-03 15:00,288.986
2019-01-03 13:00,2019-01-03 16:00,88.704
2019-01-03 14:00,2019-01-03 17:00,0.649
2019-01-03 15:00,2019-01-03 18:00,0
2019-01-03 16:00,2019-01-03 19:00,0
2019-01-03 17:00,2019-01-03 20:00,0
2019-01-03 18:00,2019-01-03 21:00,0
2019-01-03 19:00,2019-01-03 22:00,0
2019-01-03 20:00,2019-01-03 23:00,0
2019-01-03 21:00,2019-01-04 00:00,0
2019-01-03 22:00,2019-01-04 01:00,0
2019-01-03 23:00,2019-01-04 02:00,0
2019-01-04 00:00,2019-01-04 03:00,0
2019-01-04 01:00,2019-01-04 04:00,0
2019-01-04 02:00,2019-01-04 05:00,0
2019-01-04 03:00,2019-01-04 06:00,6.189
2019-01-04 04:00,2019-01-04 07:00,121.874
2019-01-04 05:00,2019-01-04 08:00,324.760
2019-01-04 06:00,2019-01-04 09:00,506.592
2019-01-04 07:00,2019-01-04 10:00,637.255
2019-01-04 08:00,2019-01-04 11:00,702.027
2019-01-04 09:00,2019-01-04 12:00,695.990
2019-01-04 10:00,2019-01-04 13:00,618.617
2019-01-04 11:00,2019-01-04 14:00,477.766
2019-01-04 12:00,2019-01-04 15:00,290.897
2019-01-04 13:00,2019-01-04 16:00,93.054
2019-01-04 14:00,2019-01-04 17:00,0.765
2019-01-04 15:00,2019-01-04 18:00,0
2019-01-04 16:00,2019-01-04 19:00,0
2019-01-04 17:00,2019-01-04 20:00,0
