# Renewables.ninja Weather (Point API) - 24.689, 46.830 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Asia/Riyadh, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Riyadh", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "24.689135901855675", "lon": "46.83001968470092", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 03:00,9.617
2019-01-01 01:00,2019-01-01 04:00,9.313
2019-01-01 02:00,2019-01-01 05:00,9.048
2019-01-01 03:00,2019-01-01 06:00,8.844
2019-01-01 04:00,2019-01-01 07:00,9.385
2019-01-01 05:00,2019-01-01 08:00,11.307
2019-01-01 06:00,2019-01-01 09:00,13.923
2019-01-01 07:00,2019-01-01 10:00,16.378
2019-01-01 08:00,2019-01-01 11:00,18.274
2019-01-01 09:00,2019-01-01 12:00,19.701
2019-01-01 10:00,2019-01-01 13:00,20.779
2019-01-01 11:00,2019-01-01 14:00,21.068
2019-01-01 12:00,2019-01-01 15:00,20.426
2019-01-01 13:00,2019-01-01 16:00,18.934
2019-01-01 14:00,2019-01-01 17:00,17.241
2019-01-01 15:00,2019-01-01 18:00,16.870
2019-01-01 16:00,2019-01-01 19:00,16.456
2019-01-01 17:00,2019-01-01 20:00,15.589
2019-01-01 18:00,2019-01-01 21:00,14.719
2019-01-01 19:00,2019-01-01 22:00,14.280
2019-01-01 20:00,2019-01-01 23:00,13.882
2019-01-01 21:00,2019-01-02 00:00,13.515
2019-01-01 22:00,2019-01-02 01:00,13.085
2019-01-01 23:00,2019-01-02 02:00,12.530
2019-01-02 00:00,2019-01-02 03:00,12.397
2019-01-02 01:00,2019-01-02 04:00,12.291
2019-01-02 02:00,2019-01-02 05:00,12.273
2019-01-02 03:00,2019-01-02 06:00,12.057
