# Renewables.ninja Weather (Point API) - -33.929, 18.417 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Africa/Johannesburg, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Africa/Johannesburg", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-33.928992", "lon": "18.417396", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 02:00,0
2019-01-01 01:00,2019-01-01 03:00,0
2019-01-01 02:00,2019-01-01 04:00,0
2019-01-01 03:00,2019-01-01 05:00,4.555
2019-01-01 04:00,2019-01-01 06:00,119.144
2019-01-01 05:00,2019-01-01 07:00,342.910
2019-01-01 06:00,2019-01-01 08:00,581.533
2019-01-01 07:00,2019-01-01 09:00,783.304
2019-01-01 08:00,2019-01-01 10:00,893.039
2019-01-01 09:00,2019-01-01 11:00,998.566
2019-01-01 10:00,2019-01-01 12:00,1038.410
2019-01-01 11:00,2019-01-01 13:00,1020.182
2019-01-01 12:00,2019-01-01 14:00,929.911
2019-01-01 13:00,2019-01-01 15:00,760.327
2019-01-01 14:00,2019-01-01 16:00,568.134
2019-01-01 15:00,2019-01-01 17:00,377.746
2019-01-01 16:00,2019-01-01 18:00,189.895
2019-01-01 17:00,2019-01-01 19:00,38.161
2019-01-01 18:00,2019-01-01 20:00,0
2019-01-01 19:00,2019-01-01 21:00,0
2019-01-01 20:00,2019-01-01 22:00,0
2019-01-01 21:00,2019-01-01 23:00,0
2019-01-01 22:00,2019-01-02 00:00,0
2019-01-01 23:00,2019-01-02 01:00,0
2019-01-02 00:00,2019-01-02 02:00,0
2019-01-02 01:00,2019-01-02 03:00,0
2019-01-02 02:00,2019-01-02 04:00,0
2019-01-02 03:00,2019-01-02 05:00,3.845
2019-01-02 04:00,2019-01-02 06:00,102.894
2019-01-02 05:00,2019-01-02 07:00,263.993
2019-01-02 06:00,2019-01-02 08:00,483.051
2019-01-02 07:00,2019-01-02 09:00,759.162
2019-01-02 08:00,2019-01-02 10:00,937.678
2019-01-02 09:00,2019-01-02 11:00,1047.167
2019-01-02 10:00,2019-01-02 12:00,1087.588
2019-01-02 11:00,2019-01-02 13:00,1059.640
2019-01-02 12:00,2019-01-02 14:00,998.580
2019-01-02 13:00,2019-01-02 15:00,849.868
2019-01-02 14:00,2019-01-02 16:00,658.991
2019-01-02 15:00,2019-01-02 17:00,449.342
2019-01-02 16:00,2019-01-02 18:00,235.632
2019-01-02 17:00,2019-01-02 19:00,49.826
2019-01-02 18:00,2019-01-02 20:00,0
2019-01-02 19:00,2019-01-02 21:00,0
2019-01-02 20:00,2019-01-02 22:00,0
2019-01-02 21:00,2019-01-02 23:00,0
2019-01-02 22:00,2019-01-03 00:00,0
2019-01-02 23:00,2019-01-03 01:00,0
2019-01-03 00:00,2019-01-03 02:00,0
2019-01-03 01:00,2019-01-03 03:00,0
2019-01-03 02:00,2019-01-03 04:00,0
2019-01-03 03:00,2019-01-03 05:00,5.312
2019-01-03 04:00,2019-01-03 06:00,135.091
2019-01-03 05:00,2019-01-03 07:00,354.546
2019-01-03 06:00,2019-01-03 08:00,579.133
2019-01-03 07:00,2019-01-03 09:00,782.213
2019-01-03 08:00,2019-01-03 10:00,946.069
2019-01-03 09:00,2019-01-03 11:00,1056.572
2019-01-03 10:00,2019-01-03 12:00,1104.741
2019-01-03 11:00,2019-01-03 13:00,1087.187
2019-01-03 12:00,2019-01-03 14:00,1007.774
2019-01-03 13:00,2019-01-03 15:00,867.503
2019-01-03 14:00,2019-01-03 16:00,681.260
2019-01-03 15:00,2019-01-03 17:00,466.810
2019-01-03 16:00,2019-01-03 18:00,242.958
2019-01-03 17:00,2019-01-03 19:00,50.456
2019-01-03 18:00,2019-01-03 20:00,0
2019-01-03 19:00,2019-01-03 21:00,0
2019-01-03 20:00,2019-01-03 22:00,0
2019-01-03 21:00,2019-01-03 23:00,0
2019-01-03 22:00,2019-01-04 00:00,0
2019-01-03 23:00,2019-01-04 01:00,0
2019-01-04 00:00,2019-01-04 02:00,0
2019-01-04 01:00,2019-01-04 03:00,0
2019-01-04 02:00,2019-01-04 04:00,0
2019-01-04 03:00,2019-01-04 05:00,4.394
2019-01-04 04:00,2019-01-04 06:00,125.948
2019-01-04 05:00,2019-01-04 07:00,346.578
2019-01-04 06:00,2019-01-04 08:00,567.995
2019-01-04 07:00,2019-01-04 09:00,768.075
2019-01-04 08:00,2019-01-04 10:00,928.169
2019-01-04 09:00,2019-01-04 11:00,1035.425
2019-01-04 10:00,2019-01-04 12:00,1081.022
2019-01-04 11:00,2019-01-04 13:00,1062.210
2019-01-04 12:00,2019-01-04 14:00,981.943
2019-01-04 13:00,2019-01-04 15:00,845.838
2019-01-04 14:00,2019-01-04 16:00,664.317
2019-01-04 15:00,2019-01-04 17:00,455.133
2019-01-04 16:00,2019-01-04 18:00,237.329
2019-01-04 17:00,2019-01-04 19:00,47.825
2019-01-04 18:00,2019-01-04 20:00,0
2019-01-04 19:00,2019-01-04 21:00,0
2019-01-04 20:00,2019-01-04 22:00,0
2019-01-04 21:00,2019-01-04 23:00,0
2019-01-04 22:00,2019-01-05 00:00,0
2019-01-04 23:00,2019-01-05 01:00,0
2019-01-05 00:00,2019-01-05 02:00,0
2019-01-05 01:00,2019-01-05 03:00,0
2019-01-05 02:00,2019-01-05 04:00,0
2019-01-05 03:00,2019-01-05 05:00,2.628
2019-01-05 04:00,2019-01-05 06:00,91.988
2019-01-05 05:00,2019-01-05 07:00,252.895
2019-01-05 06:00,2019-01-05 08:00,490.666
2019-01-05 07:00,2019-01-05 09:00,684.375
2019-01-05 08:00,2019-01-05 10:00,851.832
2019-01-05 09:00,2019-01-05 11:00,993.862
2019-01-05 10:00,2019-01-05 12:00,1065.193
2019-01-05 11:00,2019-01-05 13:00,1073.132
2019-01-05 12:00,2019-01-05 14:00,1007.082
2019-01-05 13:00,2019-01-05 15:00,868.571
2019-01-05 14:00,2019-01-05 16:00,676.234
2019-01-05 15:00,2019-01-05 17:00,438.026
2019-01-05 16:00,2019-01-05 18:00,199.556
2019-01-05 17:00,2019-01-05 19:00,35.998
2019-01-05 18:00,2019-01-05 20:00,0
2019-01-05 19:00,2019-01-05 21:00,0
2019-01-05 20:00,2019-01-05 22:00,0
2019-01-05 21:00,2019-01-05 23:00,0
2019-01-05 22:00,2019-01-06 00:00,0
2019-01-05 23:00,2019-01-06 01:00,0
2019-01-06 00:00,2019-01-06 02:00,0
2019-01-06 01:00,2019-01-06 03:00,0
2019-01-06 02:00,2019-01-06 04:00,0
2019-01-06 03:00,2019-01-06 05:00,4.664
2019-01-06 04:00,2019-01-06 06:00,131.605
2019-01-06 05:00,2019-01-06 07:00,352.608
2019-01-06 06:00,2019-01-06 08:00,579.271
2019-01-06 07:00,2019-01-06 09:00,784.422
2019-01-06 08:00,2019-01-06 10:00,949.881
2019-01-06 09:00,2019-01-06 11:00,1060.834
2019-01-06 10:00,2019-01-06 12:00,1107.031
2019-01-06 11:00,2019-01-06 13:00,1085.510
2019-01-06 12:00,2019-01-06 14:00,986.714
2019-01-06 13:00,2019-01-06 15:00,842.434
2019-01-06 14:00,2019-01-06 16:00,660.853
2019-01-06 15:00,2019-01-06 17:00,451.348
2019-01-06 16:00,2019-01-06 18:00,234.270
2019-01-06 17:00,2019-01-06 19:00,47.032
2019-01-06 18:00,2019-01-06 20:00,0
2019-01-06 19:00,2019-01-06 21:00,0
2019-01-06 20:00,2019-01-06 22:00,0
2019-01-06 21:00,2019-01-06 23:00,0
2019-01-06 22:00,2019-01-07 00:00,0
2019-01-06 23:00,2019-01-07 01:00,0
2019-01-07 00:00,2019-01-07 02:00,0
2019-01-07 01:00,2019-01-07 03:00,0
2019-01-07 02:00,2019-01-07 04:00,0
2019-01-07 03:00,2019-01-07 05:00,4.420
2019-01-07 04:00,2019-01-07 06:00,127.889
2019-01-07 05:00,2019-01-07 07:00,343.315
2019-01-07 06:00,2019-01-07 08:00,572.980
2019-01-07 07:00,2019-01-07 09:00,776.780
2019-01-07 08:00,2019-01-07 10:00,941.595
2019-01-07 09:00,2019-01-07 11:00,1052.899
2019-01-07 10:00,2019-01-07 12:00,1102.548
2019-01-07 11:00,2019-01-07 13:00,1084.842
2019-01-07 12:00,2019-01-07 14:00,1000.668
2019-01-07 13:00,2019-01-07 15:00,858.976
