# Renewables.ninja Weather (Point API) - -33.929, 18.417 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Africa/Johannesburg, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Johannesburg", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "-33.928992", "lon": "18.417396", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 02:00,17.780
2019-01-01 01:00,2019-01-01 03:00,17.710
2019-01-01 02:00,2019-01-01 04:00,17.527
2019-01-01 03:00,2019-01-01 05:00,17.300
2019-01-01 04:00,2019-01-01 06:00,17.808
2019-01-01 05:00,2019-01-01 07:00,18.497
2019-01-01 06:00,2019-01-01 08:00,19.500
2019-01-01 07:00,2019-01-01 09:00,20.546
2019-01-01 08:00,2019-01-01 10:00,21.367
2019-01-01 09:00,2019-01-01 11:00,22.025
2019-01-01 10:00,2019-01-01 12:00,22.534
2019-01-01 11:00,2019-01-01 13:00,22.881
2019-01-01 12:00,2019-01-01 14:00,23.022
2019-01-01 13:00,2019-01-01 15:00,22.711
2019-01-01 14:00,2019-01-01 16:00,22.035
2019-01-01 15:00,2019-01-01 17:00,21.209
2019-01-01 16:00,2019-01-01 18:00,20.305
2019-01-01 17:00,2019-01-01 19:00,19.283
2019-01-01 18:00,2019-01-01 20:00,18.501
2019-01-01 19:00,2019-01-01 21:00,18.000
2019-01-01 20:00,2019-01-01 22:00,17.663
2019-01-01 21:00,2019-01-01 23:00,17.399
2019-01-01 22:00,2019-01-02 00:00,17.088
2019-01-01 23:00,2019-01-02 01:00,16.878
2019-01-02 00:00,2019-01-02 02:00,16.774
2019-01-02 01:00,2019-01-02 03:00,16.713
2019-01-02 02:00,2019-01-02 04:00,16.574
2019-01-02 03:00,2019-01-02 05:00,16.476
2019-01-02 04:00,2019-01-02 06:00,16.866
2019-01-02 05:00,2019-01-02 07:00,17.583
2019-01-02 06:00,2019-01-02 08:00,18.417
2019-01-02 07:00,2019-01-02 09:00,19.576
2019-01-02 08:00,2019-01-02 10:00,20.813
2019-01-02 09:00,2019-01-02 11:00,21.925
2019-01-02 10:00,2019-01-02 12:00,22.799
2019-01-02 11:00,2019-01-02 13:00,23.421
2019-01-02 12:00,2019-01-02 14:00,23.806
2019-01-02 13:00,2019-01-02 15:00,23.876
2019-01-02 14:00,2019-01-02 16:00,23.604
2019-01-02 15:00,2019-01-02 17:00,23.031
2019-01-02 16:00,2019-01-02 18:00,22.084
2019-01-02 17:00,2019-01-02 19:00,20.701
2019-01-02 18:00,2019-01-02 20:00,19.509
2019-01-02 19:00,2019-01-02 21:00,18.678
2019-01-02 20:00,2019-01-02 22:00,18.112
2019-01-02 21:00,2019-01-02 23:00,17.754
2019-01-02 22:00,2019-01-03 00:00,17.443
2019-01-02 23:00,2019-01-03 01:00,17.153
2019-01-03 00:00,2019-01-03 02:00,16.893
2019-01-03 01:00,2019-01-03 03:00,16.690
2019-01-03 02:00,2019-01-03 04:00,16.484
2019-01-03 03:00,2019-01-03 05:00,16.236
2019-01-03 04:00,2019-01-03 06:00,17.248
2019-01-03 05:00,2019-01-03 07:00,18.874
2019-01-03 06:00,2019-01-03 08:00,21.043
2019-01-03 07:00,2019-01-03 09:00,23.266
2019-01-03 08:00,2019-01-03 10:00,24.660
2019-01-03 09:00,2019-01-03 11:00,25.497
2019-01-03 10:00,2019-01-03 12:00,25.945
2019-01-03 11:00,2019-01-03 13:00,26.165
2019-01-03 12:00,2019-01-03 14:00,26.114
2019-01-03 13:00,2019-01-03 15:00,25.834
2019-01-03 14:00,2019-01-03 16:00,25.343
2019-01-03 15:00,2019-01-03 17:00,24.676
2019-01-03 16:00,2019-01-03 18:00,23.694
2019-01-03 17:00,2019-01-03 19:00,22.038
2019-01-03 18:00,2019-01-03 20:00,20.693
2019-01-03 19:00,2019-01-03 21:00,19.925
2019-01-03 20:00,2019-01-03 22:00,19.239
2019-01-03 21:00,2019-01-03 23:00,18.889
2019-01-03 22:00,2019-01-04 00:00,18.725
2019-01-03 23:00,2019-01-04 01:00,18.511
2019-01-04 00:00,2019-01-04 02:00,18.276
2019-01-04 01:00,2019-01-04 03:00,18.073
2019-01-04 02:00,2019-01-04 04:00,17.954
2019-01-04 03:00,2019-01-04 05:00,17.735
2019-01-04 04:00,2019-01-04 06:00,18.538
2019-01-04 05:00,2019-01-04 07:00,19.854
2019-01-04 06:00,2019-01-04 08:00,21.369
2019-01-04 07:00,2019-01-04 09:00,22.662
2019-01-04 08:00,2019-01-04 10:00,23.476
2019-01-04 09:00,2019-01-04 11:00,23.892
2019-01-04 10:00,2019-01-04 12:00,23.983
2019-01-04 11:00,2019-01-04 13:00,23.756
2019-01-04 12:00,2019-01-04 14:00,23.345
2019-01-04 13:00,2019-01-04 15:00,22.874
2019-01-04 14:00,2019-01-04 16:00,22.162
2019-01-04 15:00,2019-01-04 17:00,21.379
2019-01-04 16:00,2019-01-04 18:00,20.565
2019-01-04 17:00,2019-01-04 19:00,19.724
2019-01-04 18:00,2019-01-04 20:00,19.164
2019-01-04 19:00,2019-01-04 21:00,18.883
2019-01-04 20:00,2019-01-04 22:00,18.656
2019-01-04 21:00,2019-01-04 23:00,18.367
2019-01-04 22:00,2019-01-05 00:00,18.077
