"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,0.00,0.04,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.52,0.00,13.92,19.50,19.17
2.00,0.00,0.05,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.57,0.00,14.08,19.50,19.17
3.00,0.00,0.05,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.64,0.00,14.13,19.50,19.17
4.00,0.00,0.06,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.74,0.00,14.01,19.50,19.18
5.00,0.00,0.06,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.76,0.00,13.96,19.50,19.18
6.00,0.00,0.06,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.76,0.00,13.92,19.50,19.18
7.00,0.00,0.06,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.76,0.00,13.86,19.50,19.18
8.00,0.00,0.06,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.77,0.00,13.72,19.50,19.18
9.00,0.00,0.06,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.78,0.00,13.55,19.50,19.18
10.00,0.00,0.06,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.80,0.00,13.47,19.50,19.17
11.00,0.00,0.06,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.81,0.00,13.47,19.50,19.17
12.00,0.00,0.07,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.82,0.00,13.41,19.50,19.16
13.00,0.00,0.07,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.84,0.00,13.28,19.50,19.16
14.00,0.00,0.07,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.85,0.00,13.20,19.50,19.16
15.00,0.00,0.07,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.87,0.00,13.19,19.50,19.15
16.00,0.00,0.07,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.88,0.00,13.11,19.50,19.15
17.00,0.00,0.07,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.90,0.00,12.95,19.50,19.14
18.00,0.00,0.07,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.92,0.00,12.79,19.50,19.14
19.00,0.00,0.06,0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.77,0.00,12.95,19.50,19.13
20.00,0.00,0.03,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.40,0.00,13.44,19.50,19.13
21.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,14.06,19.50,19.14
22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.72,19.50,19.15
23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.28,19.62,19.16
24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.79,19.65,19.21
25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.04,19.74,19.26
26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.07,19.61,19.32
27.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,15.72,19.67,19.34
28.00,0.00,0.01,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.12,0.00,14.53,19.50,19.36
29.00,0.00,0.02,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.31,0.00,13.75,19.50,19.33
30.00,0.00,0.03,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.43,0.00,13.55,19.50,19.29
31.00,0.00,0.04,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.53,0.00,13.36,19.50,19.26
32.00,0.00,0.05,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.61,0.00,13.18,19.50,19.24
33.00,0.00,0.05,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.69,0.00,13.05,19.50,19.21
34.00,0.00,0.06,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.75,0.00,12.90,19.50,19.19
35.00,0.00,0.06,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.80,0.00,12.83,19.50,19.18
36.00,0.00,0.07,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.85,0.00,12.77,19.50,19.16
37.00,0.00,0.07,0.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.89,0.00,12.71,19.50,19.15
38.00,0.00,0.07,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.92,0.00,12.68,19.50,19.14
39.00,0.00,0.08,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.94,0.00,12.73,19.50,19.13
40.00,0.00,0.08,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.95,0.00,12.76,19.50,19.13
41.00,0.00,0.08,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.97,0.00,12.76,19.50,19.12
42.00,0.00,0.08,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.97,0.00,12.89,19.50,19.12
43.00,0.00,0.07,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.82,0.00,13.37,19.50,19.12
44.00,0.00,0.05,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.57,0.00,13.87,19.50,19.13
45.00,0.00,0.02,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.25,0.00,14.35,19.50,19.14
46.00,0.00,0.01,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.00,15.01,19.50,19.15
47.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.41,19.50,19.17
