# Renewables.ninja Weather (Point API) - 15.564, 32.535 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Africa/Khartoum, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Africa/Khartoum", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "15.5635972", "lon": "32.5349123", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 02:00,0
2019-01-01 01:00,2019-01-01 03:00,0
2019-01-01 02:00,2019-01-01 04:00,0
2019-01-01 03:00,2019-01-01 05:00,0
2019-01-01 04:00,2019-01-01 06:00,34.464
2019-01-01 05:00,2019-01-01 07:00,217.764
2019-01-01 06:00,2019-01-01 08:00,411.621
2019-01-01 07:00,2019-01-01 09:00,552.475
2019-01-01 08:00,2019-01-01 10:00,653.236
2019-01-01 09:00,2019-01-01 11:00,763.767
2019-01-01 10:00,2019-01-01 12:00,791.545
2019-01-01 11:00,2019-01-01 13:00,727.275
2019-01-01 12:00,2019-01-01 14:00,587.709
2019-01-01 13:00,2019-01-01 15:00,392.973
2019-01-01 14:00,2019-01-01 16:00,162.756
2019-01-01 15:00,2019-01-01 17:00,8.139
2019-01-01 16:00,2019-01-01 18:00,0
2019-01-01 17:00,2019-01-01 19:00,0
2019-01-01 18:00,2019-01-01 20:00,0
2019-01-01 19:00,2019-01-01 21:00,0
2019-01-01 20:00,2019-01-01 22:00,0
2019-01-01 21:00,2019-01-01 23:00,0
2019-01-01 22:00,2019-01-02 00:00,0
2019-01-01 23:00,2019-01-02 01:00,0
2019-01-02 00:00,2019-01-02 02:00,0
2019-01-02 01:00,2019-01-02 03:00,0
2019-01-02 02:00,2019-01-02 04:00,0
2019-01-02 03:00,2019-01-02 05:00,0
2019-01-02 04:00,2019-01-02 06:00,35.120
2019-01-02 05:00,2019-01-02 07:00,230.652
2019-01-02 06:00,2019-01-02 08:00,456.356
2019-01-02 07:00,2019-01-02 09:00,645.296
2019-01-02 08:00,2019-01-02 10:00,777.437
2019-01-02 09:00,2019-01-02 11:00,838.069
2019-01-02 10:00,2019-01-02 12:00,825.276
2019-01-02 11:00,2019-01-02 13:00,738.332
2019-01-02 12:00,2019-01-02 14:00,587.202
2019-01-02 13:00,2019-01-02 15:00,383.399
2019-01-02 14:00,2019-01-02 16:00,157.144
2019-01-02 15:00,2019-01-02 17:00,8.062
2019-01-02 16:00,2019-01-02 18:00,0
2019-01-02 17:00,2019-01-02 19:00,0
2019-01-02 18:00,2019-01-02 20:00,0
2019-01-02 19:00,2019-01-02 21:00,0
2019-01-02 20:00,2019-01-02 22:00,0
2019-01-02 21:00,2019-01-02 23:00,0
2019-01-02 22:00,2019-01-03 00:00,0
2019-01-02 23:00,2019-01-03 01:00,0
2019-01-03 00:00,2019-01-03 02:00,0
2019-01-03 01:00,2019-01-03 03:00,0
2019-01-03 02:00,2019-01-03 04:00,0
2019-01-03 03:00,2019-01-03 05:00,0
2019-01-03 04:00,2019-01-03 06:00,35.113
2019-01-03 05:00,2019-01-03 07:00,230.966
2019-01-03 06:00,2019-01-03 08:00,454.783
2019-01-03 07:00,2019-01-03 09:00,642.661
2019-01-03 08:00,2019-01-03 10:00,773.478
2019-01-03 09:00,2019-01-03 11:00,834.222
2019-01-03 10:00,2019-01-03 12:00,821.250
2019-01-03 11:00,2019-01-03 13:00,734.803
2019-01-03 12:00,2019-01-03 14:00,585.317
2019-01-03 13:00,2019-01-03 15:00,375.464
2019-01-03 14:00,2019-01-03 16:00,150.774
2019-01-03 15:00,2019-01-03 17:00,7.775
2019-01-03 16:00,2019-01-03 18:00,0
2019-01-03 17:00,2019-01-03 19:00,0
2019-01-03 18:00,2019-01-03 20:00,0
2019-01-03 19:00,2019-01-03 21:00,0
2019-01-03 20:00,2019-01-03 22:00,0
2019-01-03 21:00,2019-01-03 23:00,0
2019-01-03 22:00,2019-01-04 00:00,0
2019-01-03 23:00,2019-01-04 01:00,0
2019-01-04 00:00,2019-01-04 02:00,0
2019-01-04 01:00,2019-01-04 03:00,0
2019-01-04 02:00,2019-01-04 04:00,0
2019-01-04 03:00,2019-01-04 05:00,0
2019-01-04 04:00,2019-01-04 06:00,34.965
2019-01-04 05:00,2019-01-04 07:00,229.542
2019-01-04 06:00,2019-01-04 08:00,451.762
2019-01-04 07:00,2019-01-04 09:00,640.016
2019-01-04 08:00,2019-01-04 10:00,770.157
2019-01-04 09:00,2019-01-04 11:00,828.458
2019-01-04 10:00,2019-01-04 12:00,815.209
2019-01-04 11:00,2019-01-04 13:00,722.642
2019-01-04 12:00,2019-01-04 14:00,565.791
2019-01-04 13:00,2019-01-04 15:00,368.663
2019-01-04 14:00,2019-01-04 16:00,154.017
2019-01-04 15:00,2019-01-04 17:00,8.114
2019-01-04 16:00,2019-01-04 18:00,0
2019-01-04 17:00,2019-01-04 19:00,0
2019-01-04 18:00,2019-01-04 20:00,0
2019-01-04 19:00,2019-01-04 21:00,0
2019-01-04 20:00,2019-01-04 22:00,0
2019-01-04 21:00,2019-01-04 23:00,0
2019-01-04 22:00,2019-01-05 00:00,0
2019-01-04 23:00,2019-01-05 01:00,0
2019-01-05 00:00,2019-01-05 02:00,0
2019-01-05 01:00,2019-01-05 03:00,0
2019-01-05 02:00,2019-01-05 04:00,0
2019-01-05 03:00,2019-01-05 05:00,0
2019-01-05 04:00,2019-01-05 06:00,34.900
2019-01-05 05:00,2019-01-05 07:00,226.791
2019-01-05 06:00,2019-01-05 08:00,448.856
2019-01-05 07:00,2019-01-05 09:00,632.311
2019-01-05 08:00,2019-01-05 10:00,762.996
2019-01-05 09:00,2019-01-05 11:00,835.287
2019-01-05 10:00,2019-01-05 12:00,820.190
2019-01-05 11:00,2019-01-05 13:00,732.383
2019-01-05 12:00,2019-01-05 14:00,579.792
2019-01-05 13:00,2019-01-05 15:00,369.732
2019-01-05 14:00,2019-01-05 16:00,143.973
2019-01-05 15:00,2019-01-05 17:00,7.729
2019-01-05 16:00,2019-01-05 18:00,0
2019-01-05 17:00,2019-01-05 19:00,0
2019-01-05 18:00,2019-01-05 20:00,0
2019-01-05 19:00,2019-01-05 21:00,0
2019-01-05 20:00,2019-01-05 22:00,0
2019-01-05 21:00,2019-01-05 23:00,0
2019-01-05 22:00,2019-01-06 00:00,0
2019-01-05 23:00,2019-01-06 01:00,0
2019-01-06 00:00,2019-01-06 02:00,0
2019-01-06 01:00,2019-01-06 03:00,0
2019-01-06 02:00,2019-01-06 04:00,0
2019-01-06 03:00,2019-01-06 05:00,0
2019-01-06 04:00,2019-01-06 06:00,32.971
2019-01-06 05:00,2019-01-06 07:00,218.993
2019-01-06 06:00,2019-01-06 08:00,444.453
2019-01-06 07:00,2019-01-06 09:00,639.771
2019-01-06 08:00,2019-01-06 10:00,780.097
2019-01-06 09:00,2019-01-06 11:00,849.793
2019-01-06 10:00,2019-01-06 12:00,838.052
2019-01-06 11:00,2019-01-06 13:00,749.321
2019-01-06 12:00,2019-01-06 14:00,598.545
2019-01-06 13:00,2019-01-06 15:00,389.603
2019-01-06 14:00,2019-01-06 16:00,159.134
2019-01-06 15:00,2019-01-06 17:00,8.293
2019-01-06 16:00,2019-01-06 18:00,0
2019-01-06 17:00,2019-01-06 19:00,0
2019-01-06 18:00,2019-01-06 20:00,0
2019-01-06 19:00,2019-01-06 21:00,0
2019-01-06 20:00,2019-01-06 22:00,0
2019-01-06 21:00,2019-01-06 23:00,0
2019-01-06 22:00,2019-01-07 00:00,0
2019-01-06 23:00,2019-01-07 01:00,0
2019-01-07 00:00,2019-01-07 02:00,0
2019-01-07 01:00,2019-01-07 03:00,0
2019-01-07 02:00,2019-01-07 04:00,0
2019-01-07 03:00,2019-01-07 05:00,0
2019-01-07 04:00,2019-01-07 06:00,32.164
2019-01-07 05:00,2019-01-07 07:00,215.330
2019-01-07 06:00,2019-01-07 08:00,439.595
2019-01-07 07:00,2019-01-07 09:00,630.263
2019-01-07 08:00,2019-01-07 10:00,760.664
2019-01-07 09:00,2019-01-07 11:00,815.231
2019-01-07 10:00,2019-01-07 12:00,789.240
2019-01-07 11:00,2019-01-07 13:00,685.731
2019-01-07 12:00,2019-01-07 14:00,523.936
2019-01-07 13:00,2019-01-07 15:00,340.204
2019-01-07 14:00,2019-01-07 16:00,137.729
2019-01-07 15:00,2019-01-07 17:00,7.218
2019-01-07 16:00,2019-01-07 18:00,0
