# Renewables.ninja Weather (Point API) - 15.564, 32.535 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Africa/Khartoum, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Khartoum", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "15.5635972", "lon": "32.5349123", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 02:00,17.447
2019-01-01 01:00,2019-01-01 03:00,16.842
2019-01-01 02:00,2019-01-01 04:00,16.228
2019-01-01 03:00,2019-01-01 05:00,15.713
2019-01-01 04:00,2019-01-01 06:00,15.602
2019-01-01 05:00,2019-01-01 07:00,17.271
2019-01-01 06:00,2019-01-01 08:00,20.555
2019-01-01 07:00,2019-01-01 09:00,23.780
2019-01-01 08:00,2019-01-01 10:00,26.376
2019-01-01 09:00,2019-01-01 11:00,28.630
2019-01-01 10:00,2019-01-01 12:00,30.423
2019-01-01 11:00,2019-01-01 13:00,31.643
2019-01-01 12:00,2019-01-01 14:00,32.048
2019-01-01 13:00,2019-01-01 15:00,31.651
2019-01-01 14:00,2019-01-01 16:00,29.912
2019-01-01 15:00,2019-01-01 17:00,25.274
2019-01-01 16:00,2019-01-01 18:00,24.088
2019-01-01 17:00,2019-01-01 19:00,23.372
2019-01-01 18:00,2019-01-01 20:00,22.455
2019-01-01 19:00,2019-01-01 21:00,21.547
2019-01-01 20:00,2019-01-01 22:00,20.692
2019-01-01 21:00,2019-01-01 23:00,19.915
2019-01-01 22:00,2019-01-02 00:00,19.118
2019-01-01 23:00,2019-01-02 01:00,18.146
2019-01-02 00:00,2019-01-02 02:00,17.159
2019-01-02 01:00,2019-01-02 03:00,16.331
2019-01-02 02:00,2019-01-02 04:00,15.638
2019-01-02 03:00,2019-01-02 05:00,15.034
2019-01-02 04:00,2019-01-02 06:00,14.779
2019-01-02 05:00,2019-01-02 07:00,16.594
2019-01-02 06:00,2019-01-02 08:00,19.717
2019-01-02 07:00,2019-01-02 09:00,22.757
2019-01-02 08:00,2019-01-02 10:00,25.412
2019-01-02 09:00,2019-01-02 11:00,27.636
2019-01-02 10:00,2019-01-02 12:00,29.285
2019-01-02 11:00,2019-01-02 13:00,30.334
2019-01-02 12:00,2019-01-02 14:00,30.735
2019-01-02 13:00,2019-01-02 15:00,30.357
2019-01-02 14:00,2019-01-02 16:00,28.923
2019-01-02 15:00,2019-01-02 17:00,24.731
2019-01-02 16:00,2019-01-02 18:00,23.706
2019-01-02 17:00,2019-01-02 19:00,23.078
2019-01-02 18:00,2019-01-02 20:00,21.832
2019-01-02 19:00,2019-01-02 21:00,20.527
2019-01-02 20:00,2019-01-02 22:00,19.464
