"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,17.45,20.50,20.42
2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.84,20.50,20.40
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.23,20.48,20.37
4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.71,20.44,20.34
5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.60,20.41,20.30
6.00,0.00,0.03,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.31,17.27,20.42,20.26
7.00,0.00,0.07,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.86,20.56,20.50,20.26
8.00,0.00,0.12,0.00,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.55,23.78,20.50,20.31
9.00,0.00,0.18,0.00,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,2.19,26.38,20.50,20.40
10.00,0.00,0.23,0.00,2.89,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,2.89,28.63,20.50,20.50
11.00,0.00,0.27,0.00,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,3.36,30.42,20.50,20.60
12.00,0.00,0.28,0.00,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,3.54,31.64,20.50,20.71
13.00,0.00,0.28,0.00,3.45,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,3.45,32.05,20.50,20.81
14.00,0.00,0.25,0.00,3.12,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,3.12,31.65,20.50,20.89
15.00,0.00,0.21,0.00,2.57,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,2.57,29.91,20.50,20.95
16.00,0.00,0.16,0.00,2.02,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,2.02,25.27,20.50,20.97
17.00,0.00,0.15,0.00,1.83,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,1.83,24.09,20.50,20.92
18.00,0.00,0.13,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.65,23.37,20.50,20.88
19.00,0.00,0.12,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,1.47,22.46,20.50,20.83
20.00,0.00,0.10,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,1.29,21.55,20.50,20.78
21.00,0.00,0.09,0.00,1.11,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,1.11,20.69,20.50,20.73
22.00,0.00,0.07,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.94,19.92,20.50,20.68
23.00,0.00,0.06,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.76,19.12,20.50,20.63
24.00,0.00,0.05,0.00,0.58,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.58,18.15,20.50,20.58
25.00,0.00,0.03,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.40,17.16,20.50,20.53
