"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,0.02,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.00,0.00,0.00,17.45,20.50,20.38,0.00,0.00,0.00,0.00,0.00,0.00
2.00,0.04,0.03,0.12,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.00,0.00,0.00,16.84,20.50,20.37,0.00,0.00,0.00,0.00,0.00,0.00
3.00,0.07,0.05,0.20,0.00,0.00,0.00,0.00,0.00,0.05,0.20,0.00,0.00,0.00,16.23,20.50,20.35,0.00,0.00,0.00,0.00,0.00,0.00
4.00,0.09,0.07,0.28,0.00,0.00,0.00,0.00,0.00,0.07,0.28,0.00,0.00,0.00,15.71,20.50,20.33,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.09,0.06,0.26,0.00,0.00,0.00,0.00,0.00,0.06,0.26,0.00,0.00,0.00,15.60,20.50,20.30,0.03,0.00,0.00,0.00,0.00,0.00
6.00,0.94,0.96,2.82,3.09,0.00,0.00,0.00,0.00,0.71,2.82,0.26,0.00,3.09,17.27,20.50,20.28,0.22,0.93,3.84,3.84,2.35,2.35
7.00,1.74,1.83,5.24,6.20,0.00,0.00,0.00,0.00,1.31,5.24,0.52,0.00,6.20,20.56,20.50,20.29,0.41,0.94,7.28,7.28,4.45,4.45
8.00,2.00,2.28,6.00,9.34,0.00,0.00,0.00,0.00,1.50,6.00,0.78,0.00,9.34,23.78,20.50,20.34,0.55,0.91,9.52,9.08,5.81,5.55
9.00,2.00,2.44,6.00,11.32,0.00,0.00,0.00,0.00,1.50,6.00,0.94,0.00,11.32,26.38,19.50,20.42,0.65,0.89,10.96,9.73,6.70,5.95
10.00,2.00,2.45,6.00,11.36,0.00,0.00,0.00,0.00,1.50,6.00,0.95,0.00,11.36,28.63,19.50,20.30,0.76,0.86,12.46,9.75,7.61,5.96
11.00,2.00,2.44,6.00,11.31,0.00,0.00,0.00,0.00,1.50,6.00,0.94,0.00,11.31,30.42,19.50,20.24,0.79,0.85,12.73,9.73,7.78,5.95
12.00,2.00,2.42,6.00,11.10,0.00,0.00,0.00,0.00,1.50,6.00,0.92,0.00,11.10,31.64,19.50,20.21,0.73,0.85,11.75,9.66,7.18,5.90
13.00,2.00,2.39,6.00,10.70,0.00,0.00,0.00,0.00,1.50,6.00,0.89,0.00,10.70,32.05,19.50,20.21,0.59,0.87,9.67,9.53,5.91,5.82
14.00,1.45,1.65,4.34,6.77,0.00,0.00,0.00,0.00,1.08,4.34,0.56,0.00,6.77,31.65,19.50,20.21,0.39,0.88,6.57,6.57,4.02,4.02
15.00,0.62,0.65,1.88,2.21,0.00,0.00,0.00,0.00,0.47,1.88,0.18,0.00,2.21,29.91,20.50,20.21,0.16,0.85,2.61,2.61,1.59,1.59
16.00,0.00,0.02,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.30,25.27,20.50,20.40,0.01,0.00,0.00,0.00,0.00,0.00
17.00,0.00,0.04,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.49,24.09,20.50,20.48,0.00,0.00,0.00,0.00,0.00,0.00
18.00,0.00,0.05,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.62,23.37,20.50,20.53,0.00,0.00,0.00,0.00,0.00,0.00
19.00,0.00,0.06,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.68,22.46,20.50,20.56,0.00,0.00,0.00,0.00,0.00,0.00
20.00,0.00,0.06,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.68,21.55,20.50,20.58,0.00,0.00,0.00,0.00,0.00,0.00
21.00,0.00,0.05,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.64,20.69,20.50,20.57,0.00,0.00,0.00,0.00,0.00,0.00
22.00,0.00,0.05,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.57,19.92,20.50,20.56,0.00,0.00,0.00,0.00,0.00,0.00
