# Renewables.ninja Weather (Point API) - 46.202, 6.147 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "46.2017559", "lon": "6.1466014", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,15.216
2019-01-01 08:00,2019-01-01 09:00,106.118
2019-01-01 09:00,2019-01-01 10:00,213.289
2019-01-01 10:00,2019-01-01 11:00,295.502
2019-01-01 11:00,2019-01-01 12:00,347.218
2019-01-01 12:00,2019-01-01 13:00,332.592
2019-01-01 13:00,2019-01-01 14:00,265.105
2019-01-01 14:00,2019-01-01 15:00,150.228
2019-01-01 15:00,2019-01-01 16:00,28.831
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,16.383
2019-01-02 08:00,2019-01-02 09:00,110.467
2019-01-02 09:00,2019-01-02 10:00,222.635
2019-01-02 10:00,2019-01-02 11:00,322.018
2019-01-02 11:00,2019-01-02 12:00,348.097
2019-01-02 12:00,2019-01-02 13:00,324.256
2019-01-02 13:00,2019-01-02 14:00,243.993
2019-01-02 14:00,2019-01-02 15:00,128.393
2019-01-02 15:00,2019-01-02 16:00,26.121
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,21.456
2019-01-03 08:00,2019-01-03 09:00,139.717
2019-01-03 09:00,2019-01-03 10:00,259.560
2019-01-03 10:00,2019-01-03 11:00,340.643
2019-01-03 11:00,2019-01-03 12:00,372.047
2019-01-03 12:00,2019-01-03 13:00,350.325
2019-01-03 13:00,2019-01-03 14:00,278.029
2019-01-03 14:00,2019-01-03 15:00,163.836
2019-01-03 15:00,2019-01-03 16:00,37.446
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,15.911
2019-01-04 08:00,2019-01-04 09:00,107.119
2019-01-04 09:00,2019-01-04 10:00,243.410
2019-01-04 10:00,2019-01-04 11:00,306.069
2019-01-04 11:00,2019-01-04 12:00,300.706
2019-01-04 12:00,2019-01-04 13:00,217.143
2019-01-04 13:00,2019-01-04 14:00,202.983
2019-01-04 14:00,2019-01-04 15:00,146.705
2019-01-04 15:00,2019-01-04 16:00,25.740
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,19.459
2019-01-05 08:00,2019-01-05 09:00,120.808
2019-01-05 09:00,2019-01-05 10:00,221.630
2019-01-05 10:00,2019-01-05 11:00,278.734
2019-01-05 11:00,2019-01-05 12:00,277.013
2019-01-05 12:00,2019-01-05 13:00,255.240
2019-01-05 13:00,2019-01-05 14:00,193.451
