# Renewables.ninja Weather (Point API) - 46.202, 6.147 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Zurich, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Zurich", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "46.2017559", "lon": "6.1466014", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2019-01-01 01:00,-0.369
2019-01-01 01:00,2019-01-01 02:00,-0.401
2019-01-01 02:00,2019-01-01 03:00,-0.425
2019-01-01 03:00,2019-01-01 04:00,-0.303
2019-01-01 04:00,2019-01-01 05:00,-0.060
2019-01-01 05:00,2019-01-01 06:00,0.178
2019-01-01 06:00,2019-01-01 07:00,0.280
2019-01-01 07:00,2019-01-01 08:00,0.465
2019-01-01 08:00,2019-01-01 09:00,1.409
2019-01-01 09:00,2019-01-01 10:00,2.502
2019-01-01 10:00,2019-01-01 11:00,3.448
2019-01-01 11:00,2019-01-01 12:00,4.085
2019-01-01 12:00,2019-01-01 13:00,4.269
2019-01-01 13:00,2019-01-01 14:00,3.988
2019-01-01 14:00,2019-01-01 15:00,2.795
2019-01-01 15:00,2019-01-01 16:00,0.803
2019-01-01 16:00,2019-01-01 17:00,0.141
2019-01-01 17:00,2019-01-01 18:00,0.080
2019-01-01 18:00,2019-01-01 19:00,-0.040
2019-01-01 19:00,2019-01-01 20:00,-0.178
2019-01-01 20:00,2019-01-01 21:00,-0.295
2019-01-01 21:00,2019-01-01 22:00,-0.391
2019-01-01 22:00,2019-01-01 23:00,-0.521
2019-01-01 23:00,2019-01-02 00:00,-0.575
2019-01-02 00:00,2019-01-02 01:00,-0.617
2019-01-02 01:00,2019-01-02 02:00,-0.644
2019-01-02 02:00,2019-01-02 03:00,-0.632
2019-01-02 03:00,2019-01-02 04:00,-0.483
2019-01-02 04:00,2019-01-02 05:00,-0.655
2019-01-02 05:00,2019-01-02 06:00,-0.860
2019-01-02 06:00,2019-01-02 07:00,-1.460
2019-01-02 07:00,2019-01-02 08:00,-1.594
2019-01-02 08:00,2019-01-02 09:00,-0.342
2019-01-02 09:00,2019-01-02 10:00,0.397
2019-01-02 10:00,2019-01-02 11:00,0.944
2019-01-02 11:00,2019-01-02 12:00,1.246
2019-01-02 12:00,2019-01-02 13:00,1.256
2019-01-02 13:00,2019-01-02 14:00,0.935
2019-01-02 14:00,2019-01-02 15:00,0.213
2019-01-02 15:00,2019-01-02 16:00,-1.077
2019-01-02 16:00,2019-01-02 17:00,-1.976
2019-01-02 17:00,2019-01-02 18:00,-2.276
2019-01-02 18:00,2019-01-02 19:00,-2.532
2019-01-02 19:00,2019-01-02 20:00,-2.536
2019-01-02 20:00,2019-01-02 21:00,-2.583
2019-01-02 21:00,2019-01-02 22:00,-2.701
2019-01-02 22:00,2019-01-02 23:00,-2.767
2019-01-02 23:00,2019-01-03 00:00,-2.850
2019-01-03 00:00,2019-01-03 01:00,-2.972
2019-01-03 01:00,2019-01-03 02:00,-3.109
2019-01-03 02:00,2019-01-03 03:00,-3.264
2019-01-03 03:00,2019-01-03 04:00,-3.450
2019-01-03 04:00,2019-01-03 05:00,-3.660
2019-01-03 05:00,2019-01-03 06:00,-3.950
2019-01-03 06:00,2019-01-03 07:00,-4.311
2019-01-03 07:00,2019-01-03 08:00,-4.531
2019-01-03 08:00,2019-01-03 09:00,-3.430
2019-01-03 09:00,2019-01-03 10:00,-2.151
2019-01-03 10:00,2019-01-03 11:00,-0.878
2019-01-03 11:00,2019-01-03 12:00,-0.014
2019-01-03 12:00,2019-01-03 13:00,0.339
2019-01-03 13:00,2019-01-03 14:00,0.267
2019-01-03 14:00,2019-01-03 15:00,-0.401
2019-01-03 15:00,2019-01-03 16:00,-2.143
2019-01-03 16:00,2019-01-03 17:00,-3.475
2019-01-03 17:00,2019-01-03 18:00,-4.147
2019-01-03 18:00,2019-01-03 19:00,-4.836
2019-01-03 19:00,2019-01-03 20:00,-5.418
2019-01-03 20:00,2019-01-03 21:00,-5.930
2019-01-03 21:00,2019-01-03 22:00,-6.331
2019-01-03 22:00,2019-01-03 23:00,-6.667
2019-01-03 23:00,2019-01-04 00:00,-6.869
2019-01-04 00:00,2019-01-04 01:00,-6.991
2019-01-04 01:00,2019-01-04 02:00,-6.863
2019-01-04 02:00,2019-01-04 03:00,-6.696
2019-01-04 03:00,2019-01-04 04:00,-6.600
2019-01-04 04:00,2019-01-04 05:00,-6.475
2019-01-04 05:00,2019-01-04 06:00,-6.392
2019-01-04 06:00,2019-01-04 07:00,-6.294
2019-01-04 07:00,2019-01-04 08:00,-6.059
2019-01-04 08:00,2019-01-04 09:00,-4.474
2019-01-04 09:00,2019-01-04 10:00,-2.779
2019-01-04 10:00,2019-01-04 11:00,-1.014
2019-01-04 11:00,2019-01-04 12:00,0.172
2019-01-04 12:00,2019-01-04 13:00,0.643
2019-01-04 13:00,2019-01-04 14:00,0.826
2019-01-04 14:00,2019-01-04 15:00,0.463
2019-01-04 15:00,2019-01-04 16:00,-1.114
2019-01-04 16:00,2019-01-04 17:00,-1.719
2019-01-04 17:00,2019-01-04 18:00,-1.896
2019-01-04 18:00,2019-01-04 19:00,-2.747
2019-01-04 19:00,2019-01-04 20:00,-3.257
2019-01-04 20:00,2019-01-04 21:00,-3.585
2019-01-04 21:00,2019-01-04 22:00,-3.846
2019-01-04 22:00,2019-01-04 23:00,-4.151
2019-01-04 23:00,2019-01-05 00:00,-4.416
2019-01-05 00:00,2019-01-05 01:00,-4.559
2019-01-05 01:00,2019-01-05 02:00,-4.643
2019-01-05 02:00,2019-01-05 03:00,-4.791
2019-01-05 03:00,2019-01-05 04:00,-5.017
2019-01-05 04:00,2019-01-05 05:00,-5.143
2019-01-05 05:00,2019-01-05 06:00,-5.057
2019-01-05 06:00,2019-01-05 07:00,-5.094
2019-01-05 07:00,2019-01-05 08:00,-5.057
2019-01-05 08:00,2019-01-05 09:00,-3.785
2019-01-05 09:00,2019-01-05 10:00,-1.974
2019-01-05 10:00,2019-01-05 11:00,-0.585
2019-01-05 11:00,2019-01-05 12:00,0.305
2019-01-05 12:00,2019-01-05 13:00,0.823
2019-01-05 13:00,2019-01-05 14:00,0.970
2019-01-05 14:00,2019-01-05 15:00,0.639
2019-01-05 15:00,2019-01-05 16:00,-0.640
2019-01-05 16:00,2019-01-05 17:00,-1.507
2019-01-05 17:00,2019-01-05 18:00,-1.583
2019-01-05 18:00,2019-01-05 19:00,-1.549
2019-01-05 19:00,2019-01-05 20:00,-1.622
2019-01-05 20:00,2019-01-05 21:00,-1.755
2019-01-05 21:00,2019-01-05 22:00,-1.855
2019-01-05 22:00,2019-01-05 23:00,-1.918
2019-01-05 23:00,2019-01-06 00:00,-2.092
2019-01-06 00:00,2019-01-06 01:00,-2.293
2019-01-06 01:00,2019-01-06 02:00,-2.337
2019-01-06 02:00,2019-01-06 03:00,-2.352
2019-01-06 03:00,2019-01-06 04:00,-2.364
2019-01-06 04:00,2019-01-06 05:00,-2.430
2019-01-06 05:00,2019-01-06 06:00,-2.578
2019-01-06 06:00,2019-01-06 07:00,-2.752
2019-01-06 07:00,2019-01-06 08:00,-2.814
2019-01-06 08:00,2019-01-06 09:00,-1.760
2019-01-06 09:00,2019-01-06 10:00,-0.257
2019-01-06 10:00,2019-01-06 11:00,0.970
2019-01-06 11:00,2019-01-06 12:00,1.936
2019-01-06 12:00,2019-01-06 13:00,2.337
2019-01-06 13:00,2019-01-06 14:00,2.197
2019-01-06 14:00,2019-01-06 15:00,1.564
2019-01-06 15:00,2019-01-06 16:00,-0.207
2019-01-06 16:00,2019-01-06 17:00,-1.426
2019-01-06 17:00,2019-01-06 18:00,-1.749
2019-01-06 18:00,2019-01-06 19:00,-1.936
2019-01-06 19:00,2019-01-06 20:00,-2.102
2019-01-06 20:00,2019-01-06 21:00,-2.284
2019-01-06 21:00,2019-01-06 22:00,-2.648
2019-01-06 22:00,2019-01-06 23:00,-3.134
2019-01-06 23:00,2019-01-07 00:00,-3.538
2019-01-07 00:00,2019-01-07 01:00,-3.858
2019-01-07 01:00,2019-01-07 02:00,-4.128
2019-01-07 02:00,2019-01-07 03:00,-4.396
2019-01-07 03:00,2019-01-07 04:00,-4.650
2019-01-07 04:00,2019-01-07 05:00,-4.842
2019-01-07 05:00,2019-01-07 06:00,-4.939
2019-01-07 06:00,2019-01-07 07:00,-5.058
2019-01-07 07:00,2019-01-07 08:00,-4.945
2019-01-07 08:00,2019-01-07 09:00,-2.982
2019-01-07 09:00,2019-01-07 10:00,-0.996
2019-01-07 10:00,2019-01-07 11:00,0.724
2019-01-07 11:00,2019-01-07 12:00,1.877
2019-01-07 12:00,2019-01-07 13:00,2.356
2019-01-07 13:00,2019-01-07 14:00,2.224
2019-01-07 14:00,2019-01-07 15:00,1.442
2019-01-07 15:00,2019-01-07 16:00,-0.495
2019-01-07 16:00,2019-01-07 17:00,-1.414
2019-01-07 17:00,2019-01-07 18:00,-1.542
2019-01-07 18:00,2019-01-07 19:00,-1.840
2019-01-07 19:00,2019-01-07 20:00,-2.109
2019-01-07 20:00,2019-01-07 21:00,-2.268
2019-01-07 21:00,2019-01-07 22:00,-2.441
2019-01-07 22:00,2019-01-07 23:00,-2.562
2019-01-07 23:00,2019-01-08 00:00,-3.022
2019-01-08 00:00,2019-01-08 01:00,-3.364
2019-01-08 01:00,2019-01-08 02:00,-3.739
2019-01-08 02:00,2019-01-08 03:00,-3.972
2019-01-08 03:00,2019-01-08 04:00,-3.496
2019-01-08 04:00,2019-01-08 05:00,-3.232
2019-01-08 05:00,2019-01-08 06:00,-3.130
2019-01-08 06:00,2019-01-08 07:00,-2.757
2019-01-08 07:00,2019-01-08 08:00,-2.475
2019-01-08 08:00,2019-01-08 09:00,-1.716
2019-01-08 09:00,2019-01-08 10:00,-0.760
2019-01-08 10:00,2019-01-08 11:00,-0.147
2019-01-08 11:00,2019-01-08 12:00,0.205
2019-01-08 12:00,2019-01-08 13:00,0.347
2019-01-08 13:00,2019-01-08 14:00,0.402
2019-01-08 14:00,2019-01-08 15:00,0.370
2019-01-08 15:00,2019-01-08 16:00,0.179
2019-01-08 16:00,2019-01-08 17:00,0.119
2019-01-08 17:00,2019-01-08 18:00,0.070
2019-01-08 18:00,2019-01-08 19:00,-0.272
2019-01-08 19:00,2019-01-08 20:00,-0.589
2019-01-08 20:00,2019-01-08 21:00,-0.933
2019-01-08 21:00,2019-01-08 22:00,-1.211
2019-01-08 22:00,2019-01-08 23:00,-1.486
2019-01-08 23:00,2019-01-09 00:00,-1.747
2019-01-09 00:00,2019-01-09 01:00,-2.000
2019-01-09 01:00,2019-01-09 02:00,-2.304
2019-01-09 02:00,2019-01-09 03:00,-2.632
2019-01-09 03:00,2019-01-09 04:00,-2.876
2019-01-09 04:00,2019-01-09 05:00,-3.029
2019-01-09 05:00,2019-01-09 06:00,-3.108
2019-01-09 06:00,2019-01-09 07:00,-3.046
2019-01-09 07:00,2019-01-09 08:00,-2.883
2019-01-09 08:00,2019-01-09 09:00,-1.994
2019-01-09 09:00,2019-01-09 10:00,-1.373
2019-01-09 10:00,2019-01-09 11:00,-1.054
2019-01-09 11:00,2019-01-09 12:00,-0.846
2019-01-09 12:00,2019-01-09 13:00,-0.599
2019-01-09 13:00,2019-01-09 14:00,-0.336
2019-01-09 14:00,2019-01-09 15:00,-0.366
2019-01-09 15:00,2019-01-09 16:00,-0.970
2019-01-09 16:00,2019-01-09 17:00,-2.092
2019-01-09 17:00,2019-01-09 18:00,-2.961
2019-01-09 18:00,2019-01-09 19:00,-3.718
2019-01-09 19:00,2019-01-09 20:00,-4.146
2019-01-09 20:00,2019-01-09 21:00,-4.234
2019-01-09 21:00,2019-01-09 22:00,-4.255
2019-01-09 22:00,2019-01-09 23:00,-4.234
2019-01-09 23:00,2019-01-10 00:00,-4.263
2019-01-10 00:00,2019-01-10 01:00,-4.455
2019-01-10 01:00,2019-01-10 02:00,-4.817
2019-01-10 02:00,2019-01-10 03:00,-5.249
2019-01-10 03:00,2019-01-10 04:00,-5.449
2019-01-10 04:00,2019-01-10 05:00,-5.733
2019-01-10 05:00,2019-01-10 06:00,-6.229
2019-01-10 06:00,2019-01-10 07:00,-6.626
2019-01-10 07:00,2019-01-10 08:00,-6.535
2019-01-10 08:00,2019-01-10 09:00,-4.745
2019-01-10 09:00,2019-01-10 10:00,-2.942
2019-01-10 10:00,2019-01-10 11:00,-1.558
2019-01-10 11:00,2019-01-10 12:00,-0.711
2019-01-10 12:00,2019-01-10 13:00,-0.340
2019-01-10 13:00,2019-01-10 14:00,-0.404
2019-01-10 14:00,2019-01-10 15:00,-0.889
2019-01-10 15:00,2019-01-10 16:00,-2.356
