"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope"
1.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,-0.37,19.61,18.68
2.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,-0.40,19.54,18.63
3.00,1.00,0.76,3.11,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.11,0.00,-0.43,19.51,18.58
4.00,1.00,0.77,3.24,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.24,0.00,-0.30,19.50,18.53
5.00,1.00,0.78,3.35,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.35,0.00,-0.06,19.50,18.49
6.00,1.00,0.78,3.42,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.42,0.00,0.18,19.50,18.46
7.00,1.00,0.79,3.47,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.47,0.00,0.28,19.50,18.44
8.00,1.00,0.79,3.45,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.45,0.00,0.47,19.50,18.43
9.00,1.00,0.76,3.18,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.18,0.00,1.41,19.50,18.43
10.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.50,19.50,18.43
11.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.45,19.61,18.45
12.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.09,19.72,18.50
13.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,4.27,19.82,18.57
14.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,3.99,19.84,18.65
15.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,2.80,19.85,18.72
16.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,0.80,19.74,18.75
17.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,0.14,19.64,18.73
18.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,0.08,19.61,18.68
19.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,-0.04,19.55,18.63
20.00,1.00,0.76,3.08,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.08,0.00,-0.18,19.52,18.59
21.00,1.00,0.77,3.20,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.02,0.20,0.00,-0.30,19.50,18.54
22.00,1.00,0.78,3.33,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.33,0.00,-0.39,19.50,18.50
23.00,1.00,0.78,3.43,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.43,0.00,-0.52,19.50,18.47
24.00,1.00,0.79,3.52,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.52,0.00,-0.57,19.50,18.44
25.00,1.00,0.80,3.58,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.58,0.00,-0.62,19.50,18.42
26.00,1.00,0.80,3.64,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.64,0.00,-0.64,19.50,18.40
27.00,1.00,0.80,3.68,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.68,0.00,-0.63,19.50,18.38
28.00,1.00,0.81,3.71,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.71,0.00,-0.48,19.50,18.37
29.00,1.00,0.81,3.73,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.73,0.00,-0.66,19.50,18.37
30.00,1.00,0.81,3.76,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.76,0.00,-0.86,19.50,18.36
31.00,1.00,0.81,3.81,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.81,0.00,-1.46,19.50,18.35
32.00,1.00,0.81,3.81,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.81,0.00,-1.59,19.50,18.34
33.00,1.00,0.79,3.53,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.04,0.53,0.00,-0.34,19.50,18.33
34.00,1.00,0.76,3.16,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.16,0.00,0.40,19.50,18.33
35.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,0.94,19.50,18.35
36.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,1.25,19.61,18.37
37.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,1.26,19.61,18.41
38.00,1.00,0.75,3.00,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.00,0.00,0.94,19.64,18.44
39.00,1.00,0.76,3.07,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.07,0.00,0.21,19.53,18.47
40.00,1.00,0.78,3.41,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.41,0.00,-1.08,19.50,18.46
41.00,1.00,0.80,3.61,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.61,0.00,-1.98,19.50,18.42
42.00,1.00,0.81,3.73,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.06,0.73,0.00,-2.28,19.50,18.39
43.00,1.00,0.82,3.84,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.84,0.00,-2.53,19.50,18.35
44.00,1.00,0.82,3.93,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.93,0.00,-2.54,19.50,18.33
45.00,1.00,0.83,3.99,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,0.99,0.00,-2.58,19.50,18.30
46.00,1.00,0.83,4.05,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.05,0.00,-2.70,19.50,18.29
47.00,1.00,0.84,4.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.10,0.00,-2.77,19.50,18.27
48.00,1.00,0.84,4.14,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.14,0.00,-2.85,19.50,18.26
49.00,1.00,0.84,4.18,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.18,0.00,-2.97,19.50,18.25
50.00,1.00,0.85,4.21,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.21,0.00,-3.11,19.50,18.24
51.00,1.00,0.85,4.25,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.25,0.00,-3.26,19.50,18.23
52.00,1.00,0.85,4.28,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.28,0.00,-3.45,19.50,18.22
53.00,1.00,0.86,4.32,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.32,0.00,-3.66,19.50,18.21
54.00,1.00,0.86,4.36,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.36,0.00,-3.95,19.50,18.20
55.00,1.00,0.86,4.41,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.41,0.00,-4.31,19.50,18.19
56.00,1.00,0.86,4.40,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.40,0.00,-4.53,19.50,18.17
57.00,1.00,0.83,4.06,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.06,0.00,-3.43,19.50,18.16
58.00,1.00,0.80,3.66,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.05,0.66,0.00,-2.15,19.50,18.16
59.00,1.00,0.78,3.32,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.32,0.00,-0.88,19.50,18.18
60.00,1.00,0.76,3.10,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.10,0.00,-0.01,19.50,18.22
61.00,1.00,0.75,3.04,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.00,0.04,0.00,0.34,19.50,18.25
62.00,1.00,0.76,3.15,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.01,0.15,0.00,0.27,19.50,18.28
63.00,1.00,0.78,3.43,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.03,0.43,0.00,-0.40,19.50,18.31
64.00,1.00,0.82,3.83,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.07,0.83,0.00,-2.14,19.50,18.32
65.00,1.00,0.83,4.03,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.08,1.03,0.00,-3.48,19.50,18.30
66.00,1.00,0.84,4.14,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.09,1.14,0.00,-4.15,19.50,18.27
67.00,1.00,0.85,4.26,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.10,1.26,0.00,-4.84,19.50,18.24
68.00,1.00,0.86,4.38,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.11,1.38,0.00,-5.42,19.50,18.21
69.00,1.00,0.87,4.50,0.00,0.00,0.00,0.00,0.00,0.75,3.00,0.12,1.50,0.00,-5.93,19.50,18.18
