# Renewables.ninja Weather (Point API) - 46.877, -96.790 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Chicago, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Chicago", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "46.877229", "lon": "-96.789821", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 18:00,0
2019-01-01 01:00,2018-12-31 19:00,0
2019-01-01 02:00,2018-12-31 20:00,0
2019-01-01 03:00,2018-12-31 21:00,0
2019-01-01 04:00,2018-12-31 22:00,0
2019-01-01 05:00,2018-12-31 23:00,0
2019-01-01 06:00,2019-01-01 00:00,0
2019-01-01 07:00,2019-01-01 01:00,0
2019-01-01 08:00,2019-01-01 02:00,0
2019-01-01 09:00,2019-01-01 03:00,0
2019-01-01 10:00,2019-01-01 04:00,0
2019-01-01 11:00,2019-01-01 05:00,0
2019-01-01 12:00,2019-01-01 06:00,0
2019-01-01 13:00,2019-01-01 07:00,0
2019-01-01 14:00,2019-01-01 08:00,24.959
2019-01-01 15:00,2019-01-01 09:00,138.630
2019-01-01 16:00,2019-01-01 10:00,254.915
2019-01-01 17:00,2019-01-01 11:00,313.531
2019-01-01 18:00,2019-01-01 12:00,311.520
2019-01-01 19:00,2019-01-01 13:00,264.583
2019-01-01 20:00,2019-01-01 14:00,203.867
2019-01-01 21:00,2019-01-01 15:00,117.884
2019-01-01 22:00,2019-01-01 16:00,20.125
2019-01-01 23:00,2019-01-01 17:00,0
2019-01-02 00:00,2019-01-01 18:00,0
2019-01-02 01:00,2019-01-01 19:00,0
2019-01-02 02:00,2019-01-01 20:00,0
2019-01-02 03:00,2019-01-01 21:00,0
2019-01-02 04:00,2019-01-01 22:00,0
2019-01-02 05:00,2019-01-01 23:00,0
2019-01-02 06:00,2019-01-02 00:00,0
