# Renewables.ninja Weather (Point API) - 46.877, -96.790 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Chicago, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Chicago", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "46.877229", "lon": "-96.789821", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 18:00,-24.995
2019-01-01 01:00,2018-12-31 19:00,-25.887
2019-01-01 02:00,2018-12-31 20:00,-26.962
2019-01-01 03:00,2018-12-31 21:00,-27.675
2019-01-01 04:00,2018-12-31 22:00,-27.998
2019-01-01 05:00,2018-12-31 23:00,-28.662
2019-01-01 06:00,2019-01-01 00:00,-29.677
2019-01-01 07:00,2019-01-01 01:00,-30.568
2019-01-01 08:00,2019-01-01 02:00,-30.565
2019-01-01 09:00,2019-01-01 03:00,-30.125
2019-01-01 10:00,2019-01-01 04:00,-30.231
2019-01-01 11:00,2019-01-01 05:00,-30.501
2019-01-01 12:00,2019-01-01 06:00,-30.335
2019-01-01 13:00,2019-01-01 07:00,-29.558
2019-01-01 14:00,2019-01-01 08:00,-28.574
2019-01-01 15:00,2019-01-01 09:00,-27.276
2019-01-01 16:00,2019-01-01 10:00,-25.659
2019-01-01 17:00,2019-01-01 11:00,-22.938
2019-01-01 18:00,2019-01-01 12:00,-21.052
2019-01-01 19:00,2019-01-01 13:00,-18.927
2019-01-01 20:00,2019-01-01 14:00,-17.720
2019-01-01 21:00,2019-01-01 15:00,-17.645
2019-01-01 22:00,2019-01-01 16:00,-19.870
2019-01-01 23:00,2019-01-01 17:00,-22.451
2019-01-02 00:00,2019-01-01 18:00,-22.692
2019-01-02 01:00,2019-01-01 19:00,-22.332
2019-01-02 02:00,2019-01-01 20:00,-21.960
2019-01-02 03:00,2019-01-01 21:00,-21.944
2019-01-02 04:00,2019-01-01 22:00,-22.311
2019-01-02 05:00,2019-01-01 23:00,-22.771
2019-01-02 06:00,2019-01-02 00:00,-23.092
2019-01-02 07:00,2019-01-02 01:00,-22.852
2019-01-02 08:00,2019-01-02 02:00,-21.931
2019-01-02 09:00,2019-01-02 03:00,-20.532
2019-01-02 10:00,2019-01-02 04:00,-18.836
2019-01-02 11:00,2019-01-02 05:00,-16.989
2019-01-02 12:00,2019-01-02 06:00,-15.687
2019-01-02 13:00,2019-01-02 07:00,-14.653
2019-01-02 14:00,2019-01-02 08:00,-13.922
2019-01-02 15:00,2019-01-02 09:00,-12.619
2019-01-02 16:00,2019-01-02 10:00,-9.984
2019-01-02 17:00,2019-01-02 11:00,-7.409
2019-01-02 18:00,2019-01-02 12:00,-5.144
2019-01-02 19:00,2019-01-02 13:00,-3.427
2019-01-02 20:00,2019-01-02 14:00,-2.569
2019-01-02 21:00,2019-01-02 15:00,-3.359
2019-01-02 22:00,2019-01-02 16:00,-6.139
2019-01-02 23:00,2019-01-02 17:00,-8.646
2019-01-03 00:00,2019-01-02 18:00,-9.232
2019-01-03 01:00,2019-01-02 19:00,-8.979
2019-01-03 02:00,2019-01-02 20:00,-8.725
2019-01-03 03:00,2019-01-02 21:00,-8.191
2019-01-03 04:00,2019-01-02 22:00,-7.512
2019-01-03 05:00,2019-01-02 23:00,-7.199
2019-01-03 06:00,2019-01-03 00:00,-7.034
2019-01-03 07:00,2019-01-03 01:00,-6.742
2019-01-03 08:00,2019-01-03 02:00,-6.255
2019-01-03 09:00,2019-01-03 03:00,-5.627
2019-01-03 10:00,2019-01-03 04:00,-5.094
2019-01-03 11:00,2019-01-03 05:00,-4.652
2019-01-03 12:00,2019-01-03 06:00,-4.090
2019-01-03 13:00,2019-01-03 07:00,-3.741
2019-01-03 14:00,2019-01-03 08:00,-3.601
2019-01-03 15:00,2019-01-03 09:00,-2.981
2019-01-03 16:00,2019-01-03 10:00,-1.816
2019-01-03 17:00,2019-01-03 11:00,-0.330
2019-01-03 18:00,2019-01-03 12:00,0.494
2019-01-03 19:00,2019-01-03 13:00,0.574
2019-01-03 20:00,2019-01-03 14:00,0.612
2019-01-03 21:00,2019-01-03 15:00,0.627
2019-01-03 22:00,2019-01-03 16:00,0.312
2019-01-03 23:00,2019-01-03 17:00,-0.319
2019-01-04 00:00,2019-01-03 18:00,-1.521
2019-01-04 01:00,2019-01-03 19:00,-1.735
2019-01-04 02:00,2019-01-03 20:00,-1.482
2019-01-04 03:00,2019-01-03 21:00,-1.744
2019-01-04 04:00,2019-01-03 22:00,-2.507
2019-01-04 05:00,2019-01-03 23:00,-3.267
2019-01-04 06:00,2019-01-04 00:00,-3.716
2019-01-04 07:00,2019-01-04 01:00,-3.943
2019-01-04 08:00,2019-01-04 02:00,-4.280
2019-01-04 09:00,2019-01-04 03:00,-4.496
2019-01-04 10:00,2019-01-04 04:00,-4.389
2019-01-04 11:00,2019-01-04 05:00,-4.384
2019-01-04 12:00,2019-01-04 06:00,-5.041
2019-01-04 13:00,2019-01-04 07:00,-5.778
2019-01-04 14:00,2019-01-04 08:00,-5.895
2019-01-04 15:00,2019-01-04 09:00,-4.340
2019-01-04 16:00,2019-01-04 10:00,-2.082
2019-01-04 17:00,2019-01-04 11:00,-0.684
2019-01-04 18:00,2019-01-04 12:00,0.208
2019-01-04 19:00,2019-01-04 13:00,0.704
2019-01-04 20:00,2019-01-04 14:00,1.089
2019-01-04 21:00,2019-01-04 15:00,1.117
2019-01-04 22:00,2019-01-04 16:00,0.071
2019-01-04 23:00,2019-01-04 17:00,-1.421
2019-01-05 00:00,2019-01-04 18:00,-2.204
2019-01-05 01:00,2019-01-04 19:00,-2.512
2019-01-05 02:00,2019-01-04 20:00,-2.968
2019-01-05 03:00,2019-01-04 21:00,-3.156
2019-01-05 04:00,2019-01-04 22:00,-2.788
2019-01-05 05:00,2019-01-04 23:00,-1.819
2019-01-05 06:00,2019-01-05 00:00,-1.178
2019-01-05 07:00,2019-01-05 01:00,-1.178
2019-01-05 08:00,2019-01-05 02:00,-1.187
2019-01-05 09:00,2019-01-05 03:00,-1.433
2019-01-05 10:00,2019-01-05 04:00,-2.100
2019-01-05 11:00,2019-01-05 05:00,-3.030
2019-01-05 12:00,2019-01-05 06:00,-4.080
2019-01-05 13:00,2019-01-05 07:00,-4.647
2019-01-05 14:00,2019-01-05 08:00,-4.905
2019-01-05 15:00,2019-01-05 09:00,-4.103
2019-01-05 16:00,2019-01-05 10:00,-2.868
2019-01-05 17:00,2019-01-05 11:00,-2.721
2019-01-05 18:00,2019-01-05 12:00,-2.746
2019-01-05 19:00,2019-01-05 13:00,-2.695
2019-01-05 20:00,2019-01-05 14:00,-2.628
2019-01-05 21:00,2019-01-05 15:00,-3.188
2019-01-05 22:00,2019-01-05 16:00,-5.558
2019-01-05 23:00,2019-01-05 17:00,-8.194
2019-01-06 00:00,2019-01-05 18:00,-9.646
2019-01-06 01:00,2019-01-05 19:00,-10.798
