"hour","mining_revenue","total_heating_cost_per_hour","total_heat_supply_per_hour","total_heat_drain_per_hour","electric_heating_cost_per_hour","electric_heat_supply_per_hour","gas_heating_cost_per_hour","gas_heat_supply_per_hour","mining_heating_cost_per_hour","mining_heat_supply_per_hour","ac_heating_cost_per_hour","ac_heat_supply_per_hour","ac_heat_drain_per_hour","temperature_ambient","temperature_interior","temperature_envelope","solar_radiation","pv_relative_efficiency","pv_power_produced","pv_power_used","scaled_pv_power_produced","scaled_pv_power_used"
1.00,19.18,10.66,54.00,46.94,0.00,0.00,0.00,0.00,8.26,54.00,2.39,0.00,46.94,-25.00,20.50,18.56,0.00,0.00,0.00,0.00,0.00,0.00
2.00,19.18,10.63,54.00,46.43,0.00,0.00,0.00,0.00,8.26,54.00,2.37,0.00,46.43,-25.89,20.50,18.41,0.00,0.00,0.00,0.00,0.00,0.00
3.00,19.18,10.61,54.00,45.99,0.00,0.00,0.00,0.00,8.26,54.00,2.35,0.00,45.99,-26.96,20.50,18.28,0.00,0.00,0.00,0.00,0.00,0.00
4.00,19.18,10.59,54.00,45.62,0.00,0.00,0.00,0.00,8.26,54.00,2.33,0.00,45.62,-27.68,20.50,18.16,0.00,0.00,0.00,0.00,0.00,0.00
5.00,19.18,10.57,54.00,45.30,0.00,0.00,0.00,0.00,8.26,54.00,2.31,0.00,45.30,-28.00,20.50,18.06,0.00,0.00,0.00,0.00,0.00,0.00
6.00,19.18,10.56,54.00,45.03,0.00,0.00,0.00,0.00,8.26,54.00,2.30,0.00,45.03,-28.66,20.50,17.98,0.00,0.00,0.00,0.00,0.00,0.00
7.00,19.18,10.55,54.00,44.78,0.00,0.00,0.00,0.00,8.26,54.00,2.28,0.00,44.78,-29.68,20.50,17.91,0.00,0.00,0.00,0.00,0.00,0.00
8.00,19.18,10.53,54.00,44.54,0.00,0.00,0.00,0.00,8.26,54.00,2.27,0.00,44.54,-30.57,20.50,17.84,0.00,0.00,0.00,0.00,0.00,0.00
9.00,19.18,10.52,54.00,44.35,0.00,0.00,0.00,0.00,8.26,54.00,2.26,0.00,44.35,-30.57,20.50,17.77,0.00,0.00,0.00,0.00,0.00,0.00
10.00,19.18,10.52,54.00,44.21,0.00,0.00,0.00,0.00,8.26,54.00,2.25,0.00,44.21,-30.13,20.50,17.72,0.00,0.00,0.00,0.00,0.00,0.00
11.00,19.18,10.51,54.00,44.11,0.00,0.00,0.00,0.00,8.26,54.00,2.25,0.00,44.11,-30.23,20.50,17.69,0.00,0.00,0.00,0.00,0.00,0.00
12.00,19.18,10.51,54.00,44.02,0.00,0.00,0.00,0.00,8.26,54.00,2.24,0.00,44.02,-30.50,20.50,17.67,0.00,0.00,0.00,0.00,0.00,0.00
13.00,19.18,10.50,54.00,43.95,0.00,0.00,0.00,0.00,8.26,54.00,2.24,0.00,43.95,-30.34,20.50,17.64,0.00,0.00,0.00,0.00,0.00,0.00
14.00,19.18,10.50,54.00,43.93,0.00,0.00,0.00,0.00,8.26,54.00,2.24,0.00,43.93,-29.56,20.50,17.62,0.00,0.00,0.00,0.00,0.00,0.00
15.00,19.18,10.51,54.00,44.03,0.00,0.00,0.00,0.00,8.26,54.00,2.25,0.00,44.03,-28.57,20.50,17.62,0.02,0.00,0.00,0.00,0.00,0.00
16.00,19.18,10.53,54.00,44.43,0.00,0.00,0.00,0.00,8.26,54.00,2.27,0.00,44.43,-27.28,20.50,17.63,0.14,1.12,0.00,0.00,0.00,0.00
17.00,19.18,10.55,54.00,44.90,0.00,0.00,0.00,0.00,8.26,54.00,2.29,0.00,44.90,-25.66,20.50,17.66,0.25,1.16,0.00,0.00,0.00,0.00
18.00,19.18,10.57,54.00,45.29,0.00,0.00,0.00,0.00,8.26,54.00,2.31,0.00,45.29,-22.94,20.50,17.70,0.31,1.15,0.00,0.00,0.00,0.00
19.00,19.18,10.59,54.00,45.55,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.55,-21.05,20.50,17.76,0.31,1.14,0.00,0.00,0.00,0.00
20.00,19.18,10.59,54.00,45.72,0.00,0.00,0.00,0.00,8.26,54.00,2.33,0.00,45.72,-18.93,20.50,17.84,0.26,1.13,0.00,0.00,0.00,0.00
21.00,19.18,10.60,54.00,45.85,0.00,0.00,0.00,0.00,8.26,54.00,2.34,0.00,45.85,-17.72,20.50,17.93,0.20,1.11,0.00,0.00,0.00,0.00
22.00,19.18,10.60,54.00,45.86,0.00,0.00,0.00,0.00,8.26,54.00,2.34,0.00,45.86,-17.65,20.50,18.01,0.12,1.05,0.00,0.00,0.00,0.00
23.00,19.18,10.59,54.00,45.70,0.00,0.00,0.00,0.00,8.26,54.00,2.33,0.00,45.70,-19.87,20.50,18.08,0.02,0.00,0.00,0.00,0.00,0.00
24.00,19.18,10.59,54.00,45.61,0.00,0.00,0.00,0.00,8.26,54.00,2.33,0.00,45.61,-22.45,20.50,18.10,0.00,0.00,0.00,0.00,0.00,0.00
25.00,19.18,10.59,54.00,45.55,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.55,-22.69,20.50,18.08,0.00,0.00,0.00,0.00,0.00,0.00
26.00,19.18,10.58,54.00,45.52,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.52,-22.33,20.50,18.06,0.00,0.00,0.00,0.00,0.00,0.00
27.00,19.18,10.58,54.00,45.50,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.50,-21.96,20.50,18.06,0.00,0.00,0.00,0.00,0.00,0.00
28.00,19.18,10.58,54.00,45.50,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.50,-21.94,20.50,18.05,0.00,0.00,0.00,0.00,0.00,0.00
29.00,19.18,10.58,54.00,45.49,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.49,-22.31,20.50,18.05,0.00,0.00,0.00,0.00,0.00,0.00
30.00,19.18,10.58,54.00,45.45,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.45,-22.77,20.50,18.05,0.00,0.00,0.00,0.00,0.00,0.00
31.00,19.18,10.58,54.00,45.41,0.00,0.00,0.00,0.00,8.26,54.00,2.32,0.00,45.41,-23.09,20.50,18.04,0.00,0.00,0.00,0.00,0.00,0.00
