# Renewables.ninja Weather (Point API) - 29.759, -95.368 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Chicago, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Chicago", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "29.7589382", "lon": "-95.3676974", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 18:00,0
2019-01-01 01:00,2018-12-31 19:00,0
2019-01-01 02:00,2018-12-31 20:00,0
2019-01-01 03:00,2018-12-31 21:00,0
2019-01-01 04:00,2018-12-31 22:00,0
2019-01-01 05:00,2018-12-31 23:00,0
2019-01-01 06:00,2019-01-01 00:00,0
2019-01-01 07:00,2019-01-01 01:00,0
2019-01-01 08:00,2019-01-01 02:00,0
2019-01-01 09:00,2019-01-01 03:00,0
2019-01-01 10:00,2019-01-01 04:00,0
2019-01-01 11:00,2019-01-01 05:00,0
2019-01-01 12:00,2019-01-01 06:00,0
2019-01-01 13:00,2019-01-01 07:00,18.805
2019-01-01 14:00,2019-01-01 08:00,109.086
2019-01-01 15:00,2019-01-01 09:00,319.181
2019-01-01 16:00,2019-01-01 10:00,492.512
2019-01-01 17:00,2019-01-01 11:00,562.348
2019-01-01 18:00,2019-01-01 12:00,531.224
2019-01-01 19:00,2019-01-01 13:00,416.178
2019-01-01 20:00,2019-01-01 14:00,305.580
2019-01-01 21:00,2019-01-01 15:00,179.586
2019-01-01 22:00,2019-01-01 16:00,63.825
2019-01-01 23:00,2019-01-01 17:00,4.382
2019-01-02 00:00,2019-01-01 18:00,0
2019-01-02 01:00,2019-01-01 19:00,0
2019-01-02 02:00,2019-01-01 20:00,0
2019-01-02 03:00,2019-01-01 21:00,0
2019-01-02 04:00,2019-01-01 22:00,0
2019-01-02 05:00,2019-01-01 23:00,0
