# Renewables.ninja Weather (Point API) - 29.759, -95.368 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Chicago, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Chicago", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "29.7589382", "lon": "-95.3676974", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 18:00,10.936
2019-01-01 01:00,2018-12-31 19:00,10.454
2019-01-01 02:00,2018-12-31 20:00,9.859
2019-01-01 03:00,2018-12-31 21:00,9.189
2019-01-01 04:00,2018-12-31 22:00,8.523
2019-01-01 05:00,2018-12-31 23:00,7.943
2019-01-01 06:00,2019-01-01 00:00,7.242
2019-01-01 07:00,2019-01-01 01:00,6.512
2019-01-01 08:00,2019-01-01 02:00,6.237
2019-01-01 09:00,2019-01-01 03:00,6.322
2019-01-01 10:00,2019-01-01 04:00,6.521
2019-01-01 11:00,2019-01-01 05:00,6.847
2019-01-01 12:00,2019-01-01 06:00,7.099
2019-01-01 13:00,2019-01-01 07:00,7.429
2019-01-01 14:00,2019-01-01 08:00,8.772
2019-01-01 15:00,2019-01-01 09:00,11.046
2019-01-01 16:00,2019-01-01 10:00,13.641
2019-01-01 17:00,2019-01-01 11:00,15.680
2019-01-01 18:00,2019-01-01 12:00,16.589
2019-01-01 19:00,2019-01-01 13:00,16.861
2019-01-01 20:00,2019-01-01 14:00,16.726
2019-01-01 21:00,2019-01-01 15:00,16.198
2019-01-01 22:00,2019-01-01 16:00,15.011
2019-01-01 23:00,2019-01-01 17:00,13.519
2019-01-02 00:00,2019-01-01 18:00,13.028
2019-01-02 01:00,2019-01-01 19:00,12.693
2019-01-02 02:00,2019-01-01 20:00,12.325
2019-01-02 03:00,2019-01-01 21:00,11.947
2019-01-02 04:00,2019-01-01 22:00,11.705
2019-01-02 05:00,2019-01-01 23:00,11.452
2019-01-02 06:00,2019-01-02 00:00,11.254
2019-01-02 07:00,2019-01-02 01:00,11.183
2019-01-02 08:00,2019-01-02 02:00,11.171
2019-01-02 09:00,2019-01-02 03:00,11.021
2019-01-02 10:00,2019-01-02 04:00,10.842
2019-01-02 11:00,2019-01-02 05:00,10.682
2019-01-02 12:00,2019-01-02 06:00,10.509
2019-01-02 13:00,2019-01-02 07:00,10.388
2019-01-02 14:00,2019-01-02 08:00,10.613
2019-01-02 15:00,2019-01-02 09:00,10.977
2019-01-02 16:00,2019-01-02 10:00,11.235
2019-01-02 17:00,2019-01-02 11:00,11.439
2019-01-02 18:00,2019-01-02 12:00,11.509
2019-01-02 19:00,2019-01-02 13:00,11.455
2019-01-02 20:00,2019-01-02 14:00,11.368
2019-01-02 21:00,2019-01-02 15:00,11.213
2019-01-02 22:00,2019-01-02 16:00,10.861
2019-01-02 23:00,2019-01-02 17:00,10.456
2019-01-03 00:00,2019-01-02 18:00,10.130
2019-01-03 01:00,2019-01-02 19:00,9.814
2019-01-03 02:00,2019-01-02 20:00,9.431
2019-01-03 03:00,2019-01-02 21:00,9.338
2019-01-03 04:00,2019-01-02 22:00,9.452
2019-01-03 05:00,2019-01-02 23:00,9.573
2019-01-03 06:00,2019-01-03 00:00,9.794
2019-01-03 07:00,2019-01-03 01:00,10.017
2019-01-03 08:00,2019-01-03 02:00,10.098
