# Renewables.ninja Weather (Point API) - 34.054, -118.243 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Los_Angeles, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Los_Angeles", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "34.0536909", "lon": "-118.242766", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 16:00,40.666
2019-01-01 01:00,2018-12-31 17:00,0
2019-01-01 02:00,2018-12-31 18:00,0
2019-01-01 03:00,2018-12-31 19:00,0
2019-01-01 04:00,2018-12-31 20:00,0
2019-01-01 05:00,2018-12-31 21:00,0
2019-01-01 06:00,2018-12-31 22:00,0
2019-01-01 07:00,2018-12-31 23:00,0
2019-01-01 08:00,2019-01-01 00:00,0
2019-01-01 09:00,2019-01-01 01:00,0
2019-01-01 10:00,2019-01-01 02:00,0
2019-01-01 11:00,2019-01-01 03:00,0
2019-01-01 12:00,2019-01-01 04:00,0
2019-01-01 13:00,2019-01-01 05:00,0
2019-01-01 14:00,2019-01-01 06:00,0.012
2019-01-01 15:00,2019-01-01 07:00,77.222
2019-01-01 16:00,2019-01-01 08:00,262.906
2019-01-01 17:00,2019-01-01 09:00,429.523
2019-01-01 18:00,2019-01-01 10:00,547.466
2019-01-01 19:00,2019-01-01 11:00,605.234
2019-01-01 20:00,2019-01-01 12:00,596.962
2019-01-01 21:00,2019-01-01 13:00,523.275
2019-01-01 22:00,2019-01-01 14:00,391.921
2019-01-01 23:00,2019-01-01 15:00,217.702
2019-01-02 00:00,2019-01-01 16:00,42.008
2019-01-02 01:00,2019-01-01 17:00,0
2019-01-02 02:00,2019-01-01 18:00,0
2019-01-02 03:00,2019-01-01 19:00,0
2019-01-02 04:00,2019-01-01 20:00,0
2019-01-02 05:00,2019-01-01 21:00,0
2019-01-02 06:00,2019-01-01 22:00,0
2019-01-02 07:00,2019-01-01 23:00,0
2019-01-02 08:00,2019-01-02 00:00,0
2019-01-02 09:00,2019-01-02 01:00,0
2019-01-02 10:00,2019-01-02 02:00,0
2019-01-02 11:00,2019-01-02 03:00,0
2019-01-02 12:00,2019-01-02 04:00,0
2019-01-02 13:00,2019-01-02 05:00,0
2019-01-02 14:00,2019-01-02 06:00,0.015
2019-01-02 15:00,2019-01-02 07:00,75.926
2019-01-02 16:00,2019-01-02 08:00,257.192
2019-01-02 17:00,2019-01-02 09:00,419.915
2019-01-02 18:00,2019-01-02 10:00,534.998
2019-01-02 19:00,2019-01-02 11:00,591.533
2019-01-02 20:00,2019-01-02 12:00,583.825
2019-01-02 21:00,2019-01-02 13:00,511.564
2019-01-02 22:00,2019-01-02 14:00,382.536
2019-01-02 23:00,2019-01-02 15:00,211.284
2019-01-03 00:00,2019-01-02 16:00,40.416
2019-01-03 01:00,2019-01-02 17:00,0
2019-01-03 02:00,2019-01-02 18:00,0
2019-01-03 03:00,2019-01-02 19:00,0
2019-01-03 04:00,2019-01-02 20:00,0
2019-01-03 05:00,2019-01-02 21:00,0
2019-01-03 06:00,2019-01-02 22:00,0
2019-01-03 07:00,2019-01-02 23:00,0
2019-01-03 08:00,2019-01-03 00:00,0
2019-01-03 09:00,2019-01-03 01:00,0
2019-01-03 10:00,2019-01-03 02:00,0
2019-01-03 11:00,2019-01-03 03:00,0
2019-01-03 12:00,2019-01-03 04:00,0
2019-01-03 13:00,2019-01-03 05:00,0
2019-01-03 14:00,2019-01-03 06:00,0.020
2019-01-03 15:00,2019-01-03 07:00,75.723
2019-01-03 16:00,2019-01-03 08:00,259.943
2019-01-03 17:00,2019-01-03 09:00,424.359
2019-01-03 18:00,2019-01-03 10:00,541.771
2019-01-03 19:00,2019-01-03 11:00,598.700
2019-01-03 20:00,2019-01-03 12:00,590.202
2019-01-03 21:00,2019-01-03 13:00,517.903
2019-01-03 22:00,2019-01-03 14:00,388.184
2019-01-03 23:00,2019-01-03 15:00,216.001
2019-01-04 00:00,2019-01-03 16:00,42.376
2019-01-04 01:00,2019-01-03 17:00,0
2019-01-04 02:00,2019-01-03 18:00,0
2019-01-04 03:00,2019-01-03 19:00,0
2019-01-04 04:00,2019-01-03 20:00,0
2019-01-04 05:00,2019-01-03 21:00,0
2019-01-04 06:00,2019-01-03 22:00,0
2019-01-04 07:00,2019-01-03 23:00,0
2019-01-04 08:00,2019-01-04 00:00,0
2019-01-04 09:00,2019-01-04 01:00,0
2019-01-04 10:00,2019-01-04 02:00,0
2019-01-04 11:00,2019-01-04 03:00,0
2019-01-04 12:00,2019-01-04 04:00,0
2019-01-04 13:00,2019-01-04 05:00,0
2019-01-04 14:00,2019-01-04 06:00,0.026
2019-01-04 15:00,2019-01-04 07:00,75.145
2019-01-04 16:00,2019-01-04 08:00,253.357
2019-01-04 17:00,2019-01-04 09:00,413.993
2019-01-04 18:00,2019-01-04 10:00,535.932
2019-01-04 19:00,2019-01-04 11:00,592.493
2019-01-04 20:00,2019-01-04 12:00,584.408
2019-01-04 21:00,2019-01-04 13:00,511.146
2019-01-04 22:00,2019-01-04 14:00,382.441
2019-01-04 23:00,2019-01-04 15:00,212.348
2019-01-05 00:00,2019-01-04 16:00,41.708
2019-01-05 01:00,2019-01-04 17:00,0
2019-01-05 02:00,2019-01-04 18:00,0
2019-01-05 03:00,2019-01-04 19:00,0
2019-01-05 04:00,2019-01-04 20:00,0
2019-01-05 05:00,2019-01-04 21:00,0
2019-01-05 06:00,2019-01-04 22:00,0
2019-01-05 07:00,2019-01-04 23:00,0
2019-01-05 08:00,2019-01-05 00:00,0
2019-01-05 09:00,2019-01-05 01:00,0
2019-01-05 10:00,2019-01-05 02:00,0
2019-01-05 11:00,2019-01-05 03:00,0
2019-01-05 12:00,2019-01-05 04:00,0
2019-01-05 13:00,2019-01-05 05:00,0
2019-01-05 14:00,2019-01-05 06:00,0.006
2019-01-05 15:00,2019-01-05 07:00,12.981
2019-01-05 16:00,2019-01-05 08:00,49.600
2019-01-05 17:00,2019-01-05 09:00,99.951
2019-01-05 18:00,2019-01-05 10:00,137.860
2019-01-05 19:00,2019-01-05 11:00,127.113
2019-01-05 20:00,2019-01-05 12:00,107.415
2019-01-05 21:00,2019-01-05 13:00,86.393
2019-01-05 22:00,2019-01-05 14:00,51.352
2019-01-05 23:00,2019-01-05 15:00,32.618
2019-01-06 00:00,2019-01-05 16:00,8.477
2019-01-06 01:00,2019-01-05 17:00,0
2019-01-06 02:00,2019-01-05 18:00,0
2019-01-06 03:00,2019-01-05 19:00,0
2019-01-06 04:00,2019-01-05 20:00,0
2019-01-06 05:00,2019-01-05 21:00,0
2019-01-06 06:00,2019-01-05 22:00,0
2019-01-06 07:00,2019-01-05 23:00,0
2019-01-06 08:00,2019-01-06 00:00,0
2019-01-06 09:00,2019-01-06 01:00,0
2019-01-06 10:00,2019-01-06 02:00,0
2019-01-06 11:00,2019-01-06 03:00,0
2019-01-06 12:00,2019-01-06 04:00,0
2019-01-06 13:00,2019-01-06 05:00,0
2019-01-06 14:00,2019-01-06 06:00,0.033
2019-01-06 15:00,2019-01-06 07:00,55.272
2019-01-06 16:00,2019-01-06 08:00,191.319
2019-01-06 17:00,2019-01-06 09:00,321.647
2019-01-06 18:00,2019-01-06 10:00,511.826
2019-01-06 19:00,2019-01-06 11:00,580.573
2019-01-06 20:00,2019-01-06 12:00,571.801
2019-01-06 21:00,2019-01-06 13:00,500.232
2019-01-06 22:00,2019-01-06 14:00,374.171
2019-01-06 23:00,2019-01-06 15:00,204.778
2019-01-07 00:00,2019-01-06 16:00,39.277
2019-01-07 01:00,2019-01-06 17:00,0
2019-01-07 02:00,2019-01-06 18:00,0
