# Renewables.ninja Weather (Point API) - 34.054, -118.243 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Los_Angeles, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Los_Angeles", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "34.0536909", "lon": "-118.242766", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 16:00,9.867
2019-01-01 01:00,2018-12-31 17:00,7.323
2019-01-01 02:00,2018-12-31 18:00,6.386
2019-01-01 03:00,2018-12-31 19:00,5.633
2019-01-01 04:00,2018-12-31 20:00,5.122
2019-01-01 05:00,2018-12-31 21:00,4.771
2019-01-01 06:00,2018-12-31 22:00,4.476
2019-01-01 07:00,2018-12-31 23:00,4.200
2019-01-01 08:00,2019-01-01 00:00,3.853
2019-01-01 09:00,2019-01-01 01:00,3.434
2019-01-01 10:00,2019-01-01 02:00,3.128
2019-01-01 11:00,2019-01-01 03:00,3.151
2019-01-01 12:00,2019-01-01 04:00,2.952
2019-01-01 13:00,2019-01-01 05:00,2.755
2019-01-01 14:00,2019-01-01 06:00,2.527
2019-01-01 15:00,2019-01-01 07:00,3.467
2019-01-01 16:00,2019-01-01 08:00,6.098
2019-01-01 17:00,2019-01-01 09:00,8.556
2019-01-01 18:00,2019-01-01 10:00,10.212
2019-01-01 19:00,2019-01-01 11:00,11.162
2019-01-01 20:00,2019-01-01 12:00,11.618
2019-01-01 21:00,2019-01-01 13:00,11.732
2019-01-01 22:00,2019-01-01 14:00,11.606
2019-01-01 23:00,2019-01-01 15:00,10.956
2019-01-02 00:00,2019-01-01 16:00,8.119
2019-01-02 01:00,2019-01-01 17:00,5.805
2019-01-02 02:00,2019-01-01 18:00,4.952
2019-01-02 03:00,2019-01-01 19:00,4.330
2019-01-02 04:00,2019-01-01 20:00,4.429
2019-01-02 05:00,2019-01-01 21:00,4.442
2019-01-02 06:00,2019-01-01 22:00,4.516
2019-01-02 07:00,2019-01-01 23:00,4.658
2019-01-02 08:00,2019-01-02 00:00,4.694
2019-01-02 09:00,2019-01-02 01:00,4.702
2019-01-02 10:00,2019-01-02 02:00,4.548
2019-01-02 11:00,2019-01-02 03:00,4.278
2019-01-02 12:00,2019-01-02 04:00,4.135
2019-01-02 13:00,2019-01-02 05:00,4.110
2019-01-02 14:00,2019-01-02 06:00,4.183
2019-01-02 15:00,2019-01-02 07:00,5.208
2019-01-02 16:00,2019-01-02 08:00,8.489
2019-01-02 17:00,2019-01-02 09:00,10.871
2019-01-02 18:00,2019-01-02 10:00,12.613
2019-01-02 19:00,2019-01-02 11:00,13.957
2019-01-02 20:00,2019-01-02 12:00,14.896
2019-01-02 21:00,2019-01-02 13:00,15.276
2019-01-02 22:00,2019-01-02 14:00,14.994
2019-01-02 23:00,2019-01-02 15:00,13.887
2019-01-03 00:00,2019-01-02 16:00,11.029
2019-01-03 01:00,2019-01-02 17:00,9.249
2019-01-03 02:00,2019-01-02 18:00,8.333
2019-01-03 03:00,2019-01-02 19:00,7.829
2019-01-03 04:00,2019-01-02 20:00,7.399
2019-01-03 05:00,2019-01-02 21:00,6.782
2019-01-03 06:00,2019-01-02 22:00,6.069
2019-01-03 07:00,2019-01-02 23:00,5.454
2019-01-03 08:00,2019-01-03 00:00,4.992
2019-01-03 09:00,2019-01-03 01:00,4.711
2019-01-03 10:00,2019-01-03 02:00,4.495
2019-01-03 11:00,2019-01-03 03:00,4.310
2019-01-03 12:00,2019-01-03 04:00,4.220
2019-01-03 13:00,2019-01-03 05:00,4.169
2019-01-03 14:00,2019-01-03 06:00,4.124
2019-01-03 15:00,2019-01-03 07:00,5.453
2019-01-03 16:00,2019-01-03 08:00,8.906
2019-01-03 17:00,2019-01-03 09:00,11.773
2019-01-03 18:00,2019-01-03 10:00,14.363
2019-01-03 19:00,2019-01-03 11:00,15.771
2019-01-03 20:00,2019-01-03 12:00,16.550
2019-01-03 21:00,2019-01-03 13:00,16.924
2019-01-03 22:00,2019-01-03 14:00,16.868
2019-01-03 23:00,2019-01-03 15:00,15.824
2019-01-04 00:00,2019-01-03 16:00,12.999
2019-01-04 01:00,2019-01-03 17:00,11.210
2019-01-04 02:00,2019-01-03 18:00,9.847
2019-01-04 03:00,2019-01-03 19:00,8.900
2019-01-04 04:00,2019-01-03 20:00,8.225
2019-01-04 05:00,2019-01-03 21:00,7.672
2019-01-04 06:00,2019-01-03 22:00,7.235
2019-01-04 07:00,2019-01-03 23:00,6.882
2019-01-04 08:00,2019-01-04 00:00,6.513
2019-01-04 09:00,2019-01-04 01:00,6.186
2019-01-04 10:00,2019-01-04 02:00,6.101
2019-01-04 11:00,2019-01-04 03:00,6.090
