# Renewables.ninja Weather (Point API) - 47.604, -122.330 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Los_Angeles, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "America/Los_Angeles", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "47.6038321", "lon": "-122.3300624", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2019-01-01 00:00,2018-12-31 16:00,3.041
2019-01-01 01:00,2018-12-31 17:00,0
2019-01-01 02:00,2018-12-31 18:00,0
2019-01-01 03:00,2018-12-31 19:00,0
2019-01-01 04:00,2018-12-31 20:00,0
2019-01-01 05:00,2018-12-31 21:00,0
2019-01-01 06:00,2018-12-31 22:00,0
2019-01-01 07:00,2018-12-31 23:00,0
2019-01-01 08:00,2019-01-01 00:00,0
2019-01-01 09:00,2019-01-01 01:00,0
2019-01-01 10:00,2019-01-01 02:00,0
2019-01-01 11:00,2019-01-01 03:00,0
2019-01-01 12:00,2019-01-01 04:00,0
2019-01-01 13:00,2019-01-01 05:00,0
2019-01-01 14:00,2019-01-01 06:00,0
2019-01-01 15:00,2019-01-01 07:00,0.009
2019-01-01 16:00,2019-01-01 08:00,27.078
2019-01-01 17:00,2019-01-01 09:00,114.489
2019-01-01 18:00,2019-01-01 10:00,220.985
2019-01-01 19:00,2019-01-01 11:00,296.324
2019-01-01 20:00,2019-01-01 12:00,305.720
2019-01-01 21:00,2019-01-01 13:00,268.512
2019-01-01 22:00,2019-01-01 14:00,177.890
2019-01-01 23:00,2019-01-01 15:00,66.898
2019-01-02 00:00,2019-01-01 16:00,2.608
2019-01-02 01:00,2019-01-01 17:00,0
2019-01-02 02:00,2019-01-01 18:00,0
2019-01-02 03:00,2019-01-01 19:00,0
2019-01-02 04:00,2019-01-01 20:00,0
2019-01-02 05:00,2019-01-01 21:00,0
2019-01-02 06:00,2019-01-01 22:00,0
2019-01-02 07:00,2019-01-01 23:00,0
2019-01-02 08:00,2019-01-02 00:00,0
2019-01-02 09:00,2019-01-02 01:00,0
2019-01-02 10:00,2019-01-02 02:00,0
2019-01-02 11:00,2019-01-02 03:00,0
2019-01-02 12:00,2019-01-02 04:00,0
2019-01-02 13:00,2019-01-02 05:00,0
2019-01-02 14:00,2019-01-02 06:00,0
2019-01-02 15:00,2019-01-02 07:00,0.006
2019-01-02 16:00,2019-01-02 08:00,34.208
2019-01-02 17:00,2019-01-02 09:00,147.963
2019-01-02 18:00,2019-01-02 10:00,248.916
2019-01-02 19:00,2019-01-02 11:00,286.877
2019-01-02 20:00,2019-01-02 12:00,241.247
2019-01-02 21:00,2019-01-02 13:00,153.968
2019-01-02 22:00,2019-01-02 14:00,55.970
2019-01-02 23:00,2019-01-02 15:00,23.698
2019-01-03 00:00,2019-01-02 16:00,0.927
2019-01-03 01:00,2019-01-02 17:00,0
2019-01-03 02:00,2019-01-02 18:00,0
2019-01-03 03:00,2019-01-02 19:00,0
2019-01-03 04:00,2019-01-02 20:00,0
2019-01-03 05:00,2019-01-02 21:00,0
2019-01-03 06:00,2019-01-02 22:00,0
2019-01-03 07:00,2019-01-02 23:00,0
2019-01-03 08:00,2019-01-03 00:00,0
2019-01-03 09:00,2019-01-03 01:00,0
2019-01-03 10:00,2019-01-03 02:00,0
2019-01-03 11:00,2019-01-03 03:00,0
2019-01-03 12:00,2019-01-03 04:00,0
2019-01-03 13:00,2019-01-03 05:00,0
2019-01-03 14:00,2019-01-03 06:00,0
2019-01-03 15:00,2019-01-03 07:00,0.002
2019-01-03 16:00,2019-01-03 08:00,10.465
2019-01-03 17:00,2019-01-03 09:00,28.675
2019-01-03 18:00,2019-01-03 10:00,69.224
2019-01-03 19:00,2019-01-03 11:00,43.255
2019-01-03 20:00,2019-01-03 12:00,50.466
2019-01-03 21:00,2019-01-03 13:00,61.385
2019-01-03 22:00,2019-01-03 14:00,51.546
2019-01-03 23:00,2019-01-03 15:00,19.940
2019-01-04 00:00,2019-01-03 16:00,1.193
2019-01-04 01:00,2019-01-03 17:00,0
2019-01-04 02:00,2019-01-03 18:00,0
2019-01-04 03:00,2019-01-03 19:00,0
2019-01-04 04:00,2019-01-03 20:00,0
2019-01-04 05:00,2019-01-03 21:00,0
2019-01-04 06:00,2019-01-03 22:00,0
2019-01-04 07:00,2019-01-03 23:00,0
2019-01-04 08:00,2019-01-04 00:00,0
2019-01-04 09:00,2019-01-04 01:00,0
2019-01-04 10:00,2019-01-04 02:00,0
2019-01-04 11:00,2019-01-04 03:00,0
2019-01-04 12:00,2019-01-04 04:00,0
2019-01-04 13:00,2019-01-04 05:00,0
2019-01-04 14:00,2019-01-04 06:00,0
2019-01-04 15:00,2019-01-04 07:00,0.025
2019-01-04 16:00,2019-01-04 08:00,36.564
2019-01-04 17:00,2019-01-04 09:00,128.153
2019-01-04 18:00,2019-01-04 10:00,196.891
2019-01-04 19:00,2019-01-04 11:00,261.214
2019-01-04 20:00,2019-01-04 12:00,249.262
2019-01-04 21:00,2019-01-04 13:00,179.903
2019-01-04 22:00,2019-01-04 14:00,118.534
2019-01-04 23:00,2019-01-04 15:00,41.555
2019-01-05 00:00,2019-01-04 16:00,1.878
2019-01-05 01:00,2019-01-04 17:00,0
2019-01-05 02:00,2019-01-04 18:00,0
2019-01-05 03:00,2019-01-04 19:00,0
2019-01-05 04:00,2019-01-04 20:00,0
2019-01-05 05:00,2019-01-04 21:00,0
2019-01-05 06:00,2019-01-04 22:00,0
2019-01-05 07:00,2019-01-04 23:00,0
2019-01-05 08:00,2019-01-05 00:00,0
2019-01-05 09:00,2019-01-05 01:00,0
2019-01-05 10:00,2019-01-05 02:00,0
2019-01-05 11:00,2019-01-05 03:00,0
2019-01-05 12:00,2019-01-05 04:00,0
2019-01-05 13:00,2019-01-05 05:00,0
2019-01-05 14:00,2019-01-05 06:00,0
2019-01-05 15:00,2019-01-05 07:00,0.020
2019-01-05 16:00,2019-01-05 08:00,13.456
2019-01-05 17:00,2019-01-05 09:00,48.009
2019-01-05 18:00,2019-01-05 10:00,196.250
2019-01-05 19:00,2019-01-05 11:00,240.883
2019-01-05 20:00,2019-01-05 12:00,178.066
2019-01-05 21:00,2019-01-05 13:00,207.870
2019-01-05 22:00,2019-01-05 14:00,108.134
2019-01-05 23:00,2019-01-05 15:00,21.125
2019-01-06 00:00,2019-01-05 16:00,1.181
2019-01-06 01:00,2019-01-05 17:00,0
2019-01-06 02:00,2019-01-05 18:00,0
2019-01-06 03:00,2019-01-05 19:00,0
2019-01-06 04:00,2019-01-05 20:00,0
2019-01-06 05:00,2019-01-05 21:00,0
2019-01-06 06:00,2019-01-05 22:00,0
2019-01-06 07:00,2019-01-05 23:00,0
2019-01-06 08:00,2019-01-06 00:00,0
2019-01-06 09:00,2019-01-06 01:00,0
2019-01-06 10:00,2019-01-06 02:00,0
2019-01-06 11:00,2019-01-06 03:00,0
2019-01-06 12:00,2019-01-06 04:00,0
2019-01-06 13:00,2019-01-06 05:00,0
2019-01-06 14:00,2019-01-06 06:00,0
2019-01-06 15:00,2019-01-06 07:00,0.027
2019-01-06 16:00,2019-01-06 08:00,31.287
2019-01-06 17:00,2019-01-06 09:00,108.683
2019-01-06 18:00,2019-01-06 10:00,178.844
2019-01-06 19:00,2019-01-06 11:00,191.473
2019-01-06 20:00,2019-01-06 12:00,171.762
2019-01-06 21:00,2019-01-06 13:00,128.024
2019-01-06 22:00,2019-01-06 14:00,88.064
2019-01-06 23:00,2019-01-06 15:00,37.045
2019-01-07 00:00,2019-01-06 16:00,1.724
2019-01-07 01:00,2019-01-06 17:00,0
2019-01-07 02:00,2019-01-06 18:00,0
2019-01-07 03:00,2019-01-06 19:00,0
2019-01-07 04:00,2019-01-06 20:00,0
2019-01-07 05:00,2019-01-06 21:00,0
2019-01-07 06:00,2019-01-06 22:00,0
2019-01-07 07:00,2019-01-06 23:00,0
2019-01-07 08:00,2019-01-07 00:00,0
2019-01-07 09:00,2019-01-07 01:00,0
2019-01-07 10:00,2019-01-07 02:00,0
2019-01-07 11:00,2019-01-07 03:00,0
2019-01-07 12:00,2019-01-07 04:00,0
2019-01-07 13:00,2019-01-07 05:00,0
2019-01-07 14:00,2019-01-07 06:00,0
2019-01-07 15:00,2019-01-07 07:00,0.020
2019-01-07 16:00,2019-01-07 08:00,20.870
2019-01-07 17:00,2019-01-07 09:00,81.851
2019-01-07 18:00,2019-01-07 10:00,151.308
2019-01-07 19:00,2019-01-07 11:00,217.848
2019-01-07 20:00,2019-01-07 12:00,231.714
2019-01-07 21:00,2019-01-07 13:00,204.447
2019-01-07 22:00,2019-01-07 14:00,134.948
2019-01-07 23:00,2019-01-07 15:00,54.500
2019-01-08 00:00,2019-01-07 16:00,3.231
2019-01-08 01:00,2019-01-07 17:00,0
2019-01-08 02:00,2019-01-07 18:00,0
2019-01-08 03:00,2019-01-07 19:00,0
2019-01-08 04:00,2019-01-07 20:00,0
2019-01-08 05:00,2019-01-07 21:00,0
2019-01-08 06:00,2019-01-07 22:00,0
2019-01-08 07:00,2019-01-07 23:00,0
2019-01-08 08:00,2019-01-08 00:00,0
2019-01-08 09:00,2019-01-08 01:00,0
2019-01-08 10:00,2019-01-08 02:00,0
2019-01-08 11:00,2019-01-08 03:00,0
2019-01-08 12:00,2019-01-08 04:00,0
2019-01-08 13:00,2019-01-08 05:00,0
2019-01-08 14:00,2019-01-08 06:00,0
2019-01-08 15:00,2019-01-08 07:00,0.011
2019-01-08 16:00,2019-01-08 08:00,7.312
2019-01-08 17:00,2019-01-08 09:00,24.810
2019-01-08 18:00,2019-01-08 10:00,41.968
2019-01-08 19:00,2019-01-08 11:00,55.498
2019-01-08 20:00,2019-01-08 12:00,60.753
2019-01-08 21:00,2019-01-08 13:00,56.433
2019-01-08 22:00,2019-01-08 14:00,40.774
2019-01-08 23:00,2019-01-08 15:00,19.276
2019-01-09 00:00,2019-01-08 16:00,1.061
2019-01-09 01:00,2019-01-08 17:00,0
2019-01-09 02:00,2019-01-08 18:00,0
2019-01-09 03:00,2019-01-08 19:00,0
2019-01-09 04:00,2019-01-08 20:00,0
2019-01-09 05:00,2019-01-08 21:00,0
2019-01-09 06:00,2019-01-08 22:00,0
2019-01-09 07:00,2019-01-08 23:00,0
2019-01-09 08:00,2019-01-09 00:00,0
2019-01-09 09:00,2019-01-09 01:00,0
2019-01-09 10:00,2019-01-09 02:00,0
2019-01-09 11:00,2019-01-09 03:00,0
2019-01-09 12:00,2019-01-09 04:00,0
2019-01-09 13:00,2019-01-09 05:00,0
2019-01-09 14:00,2019-01-09 06:00,0
2019-01-09 15:00,2019-01-09 07:00,0.084
