# Renewables.ninja Weather (Point API) - 47.604, -122.330 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in America/Los_Angeles, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Los_Angeles", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "47.6038321", "lon": "-122.3300624", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature
2019-01-01 00:00,2018-12-31 16:00,1.939
2019-01-01 01:00,2018-12-31 17:00,1.200
2019-01-01 02:00,2018-12-31 18:00,0.638
2019-01-01 03:00,2018-12-31 19:00,0.290
2019-01-01 04:00,2018-12-31 20:00,-0.126
2019-01-01 05:00,2018-12-31 21:00,-0.405
2019-01-01 06:00,2018-12-31 22:00,-0.320
2019-01-01 07:00,2018-12-31 23:00,-0.502
2019-01-01 08:00,2019-01-01 00:00,-0.484
2019-01-01 09:00,2019-01-01 01:00,-0.236
2019-01-01 10:00,2019-01-01 02:00,-0.455
2019-01-01 11:00,2019-01-01 03:00,-0.722
2019-01-01 12:00,2019-01-01 04:00,-0.691
2019-01-01 13:00,2019-01-01 05:00,-1.012
2019-01-01 14:00,2019-01-01 06:00,-1.221
2019-01-01 15:00,2019-01-01 07:00,-1.175
2019-01-01 16:00,2019-01-01 08:00,-0.352
2019-01-01 17:00,2019-01-01 09:00,1.607
2019-01-01 18:00,2019-01-01 10:00,3.188
2019-01-01 19:00,2019-01-01 11:00,4.991
2019-01-01 20:00,2019-01-01 12:00,6.080
2019-01-01 21:00,2019-01-01 13:00,6.058
2019-01-01 22:00,2019-01-01 14:00,5.543
2019-01-01 23:00,2019-01-01 15:00,4.295
2019-01-02 00:00,2019-01-01 16:00,3.470
2019-01-02 01:00,2019-01-01 17:00,2.797
2019-01-02 02:00,2019-01-01 18:00,1.973
2019-01-02 03:00,2019-01-01 19:00,1.221
2019-01-02 04:00,2019-01-01 20:00,0.601
2019-01-02 05:00,2019-01-01 21:00,0.111
2019-01-02 06:00,2019-01-01 22:00,-0.314
2019-01-02 07:00,2019-01-01 23:00,-0.558
2019-01-02 08:00,2019-01-02 00:00,-0.653
2019-01-02 09:00,2019-01-02 01:00,-0.547
2019-01-02 10:00,2019-01-02 02:00,-0.334
2019-01-02 11:00,2019-01-02 03:00,-0.104
2019-01-02 12:00,2019-01-02 04:00,0.252
2019-01-02 13:00,2019-01-02 05:00,0.553
2019-01-02 14:00,2019-01-02 06:00,0.810
2019-01-02 15:00,2019-01-02 07:00,0.857
2019-01-02 16:00,2019-01-02 08:00,1.026
2019-01-02 17:00,2019-01-02 09:00,2.733
2019-01-02 18:00,2019-01-02 10:00,4.158
2019-01-02 19:00,2019-01-02 11:00,5.117
2019-01-02 20:00,2019-01-02 12:00,5.484
2019-01-02 21:00,2019-01-02 13:00,5.443
2019-01-02 22:00,2019-01-02 14:00,4.844
2019-01-02 23:00,2019-01-02 15:00,4.282
2019-01-03 00:00,2019-01-02 16:00,3.991
2019-01-03 01:00,2019-01-02 17:00,3.957
2019-01-03 02:00,2019-01-02 18:00,4.096
2019-01-03 03:00,2019-01-02 19:00,4.232
2019-01-03 04:00,2019-01-02 20:00,4.349
2019-01-03 05:00,2019-01-02 21:00,4.591
2019-01-03 06:00,2019-01-02 22:00,4.907
2019-01-03 07:00,2019-01-02 23:00,5.224
2019-01-03 08:00,2019-01-03 00:00,5.496
2019-01-03 09:00,2019-01-03 01:00,5.704
2019-01-03 10:00,2019-01-03 02:00,5.851
2019-01-03 11:00,2019-01-03 03:00,5.925
2019-01-03 12:00,2019-01-03 04:00,6.019
2019-01-03 13:00,2019-01-03 05:00,6.125
2019-01-03 14:00,2019-01-03 06:00,6.242
2019-01-03 15:00,2019-01-03 07:00,6.298
2019-01-03 16:00,2019-01-03 08:00,6.414
2019-01-03 17:00,2019-01-03 09:00,6.748
2019-01-03 18:00,2019-01-03 10:00,7.390
2019-01-03 19:00,2019-01-03 11:00,7.951
2019-01-03 20:00,2019-01-03 12:00,8.403
2019-01-03 21:00,2019-01-03 13:00,8.734
2019-01-03 22:00,2019-01-03 14:00,8.796
2019-01-03 23:00,2019-01-03 15:00,8.511
2019-01-04 00:00,2019-01-03 16:00,8.077
2019-01-04 01:00,2019-01-03 17:00,7.749
2019-01-04 02:00,2019-01-03 18:00,7.590
2019-01-04 03:00,2019-01-03 19:00,7.586
2019-01-04 04:00,2019-01-03 20:00,7.650
2019-01-04 05:00,2019-01-03 21:00,7.637
2019-01-04 06:00,2019-01-03 22:00,7.515
2019-01-04 07:00,2019-01-03 23:00,7.401
2019-01-04 08:00,2019-01-04 00:00,7.412
2019-01-04 09:00,2019-01-04 01:00,7.373
2019-01-04 10:00,2019-01-04 02:00,7.128
2019-01-04 11:00,2019-01-04 03:00,6.857
2019-01-04 12:00,2019-01-04 04:00,6.633
2019-01-04 13:00,2019-01-04 05:00,6.518
2019-01-04 14:00,2019-01-04 06:00,6.484
2019-01-04 15:00,2019-01-04 07:00,6.436
2019-01-04 16:00,2019-01-04 08:00,6.584
2019-01-04 17:00,2019-01-04 09:00,7.228
2019-01-04 18:00,2019-01-04 10:00,7.882
2019-01-04 19:00,2019-01-04 11:00,8.481
2019-01-04 20:00,2019-01-04 12:00,8.765
2019-01-04 21:00,2019-01-04 13:00,8.695
2019-01-04 22:00,2019-01-04 14:00,8.411
2019-01-04 23:00,2019-01-04 15:00,7.687
2019-01-05 00:00,2019-01-04 16:00,6.559
2019-01-05 01:00,2019-01-04 17:00,6.247
2019-01-05 02:00,2019-01-04 18:00,5.922
2019-01-05 03:00,2019-01-04 19:00,5.776
2019-01-05 04:00,2019-01-04 20:00,6.091
2019-01-05 05:00,2019-01-04 21:00,6.174
2019-01-05 06:00,2019-01-04 22:00,5.829
2019-01-05 07:00,2019-01-04 23:00,5.487
2019-01-05 08:00,2019-01-05 00:00,5.525
2019-01-05 09:00,2019-01-05 01:00,5.723
2019-01-05 10:00,2019-01-05 02:00,5.837
2019-01-05 11:00,2019-01-05 03:00,5.923
2019-01-05 12:00,2019-01-05 04:00,5.968
2019-01-05 13:00,2019-01-05 05:00,5.942
2019-01-05 14:00,2019-01-05 06:00,5.877
2019-01-05 15:00,2019-01-05 07:00,5.647
2019-01-05 16:00,2019-01-05 08:00,5.461
2019-01-05 17:00,2019-01-05 09:00,5.764
2019-01-05 18:00,2019-01-05 10:00,7.644
2019-01-05 19:00,2019-01-05 11:00,8.944
2019-01-05 20:00,2019-01-05 12:00,9.147
2019-01-05 21:00,2019-01-05 13:00,9.606
2019-01-05 22:00,2019-01-05 14:00,8.871
2019-01-05 23:00,2019-01-05 15:00,7.496
2019-01-06 00:00,2019-01-05 16:00,6.431
2019-01-06 01:00,2019-01-05 17:00,5.895
2019-01-06 02:00,2019-01-05 18:00,5.235
2019-01-06 03:00,2019-01-05 19:00,4.910
2019-01-06 04:00,2019-01-05 20:00,5.299
2019-01-06 05:00,2019-01-05 21:00,5.434
2019-01-06 06:00,2019-01-05 22:00,5.139
2019-01-06 07:00,2019-01-05 23:00,4.928
2019-01-06 08:00,2019-01-06 00:00,5.553
2019-01-06 09:00,2019-01-06 01:00,5.830
2019-01-06 10:00,2019-01-06 02:00,5.398
2019-01-06 11:00,2019-01-06 03:00,4.507
2019-01-06 12:00,2019-01-06 04:00,4.043
2019-01-06 13:00,2019-01-06 05:00,3.776
2019-01-06 14:00,2019-01-06 06:00,3.491
2019-01-06 15:00,2019-01-06 07:00,3.202
2019-01-06 16:00,2019-01-06 08:00,3.177
2019-01-06 17:00,2019-01-06 09:00,3.885
2019-01-06 18:00,2019-01-06 10:00,4.569
2019-01-06 19:00,2019-01-06 11:00,4.995
2019-01-06 20:00,2019-01-06 12:00,5.144
2019-01-06 21:00,2019-01-06 13:00,5.053
2019-01-06 22:00,2019-01-06 14:00,4.861
2019-01-06 23:00,2019-01-06 15:00,4.147
2019-01-07 00:00,2019-01-06 16:00,2.995
2019-01-07 01:00,2019-01-06 17:00,2.603
2019-01-07 02:00,2019-01-06 18:00,2.567
2019-01-07 03:00,2019-01-06 19:00,2.319
2019-01-07 04:00,2019-01-06 20:00,1.920
2019-01-07 05:00,2019-01-06 21:00,1.583
2019-01-07 06:00,2019-01-06 22:00,1.317
2019-01-07 07:00,2019-01-06 23:00,1.251
2019-01-07 08:00,2019-01-07 00:00,1.264
2019-01-07 09:00,2019-01-07 01:00,1.328
2019-01-07 10:00,2019-01-07 02:00,1.462
2019-01-07 11:00,2019-01-07 03:00,1.613
2019-01-07 12:00,2019-01-07 04:00,1.671
2019-01-07 13:00,2019-01-07 05:00,1.608
2019-01-07 14:00,2019-01-07 06:00,1.370
2019-01-07 15:00,2019-01-07 07:00,1.008
2019-01-07 16:00,2019-01-07 08:00,1.228
2019-01-07 17:00,2019-01-07 09:00,1.868
2019-01-07 18:00,2019-01-07 10:00,2.618
2019-01-07 19:00,2019-01-07 11:00,3.458
2019-01-07 20:00,2019-01-07 12:00,4.111
2019-01-07 21:00,2019-01-07 13:00,4.465
2019-01-07 22:00,2019-01-07 14:00,4.505
2019-01-07 23:00,2019-01-07 15:00,3.921
2019-01-08 00:00,2019-01-07 16:00,3.075
2019-01-08 01:00,2019-01-07 17:00,2.087
2019-01-08 02:00,2019-01-07 18:00,0.976
2019-01-08 03:00,2019-01-07 19:00,0.071
2019-01-08 04:00,2019-01-07 20:00,-0.270
2019-01-08 05:00,2019-01-07 21:00,-0.026
2019-01-08 06:00,2019-01-07 22:00,-0.440
2019-01-08 07:00,2019-01-07 23:00,-0.098
2019-01-08 08:00,2019-01-08 00:00,0.290
2019-01-08 09:00,2019-01-08 01:00,0.577
2019-01-08 10:00,2019-01-08 02:00,1.097
2019-01-08 11:00,2019-01-08 03:00,1.662
2019-01-08 12:00,2019-01-08 04:00,2.253
2019-01-08 13:00,2019-01-08 05:00,2.720
2019-01-08 14:00,2019-01-08 06:00,2.767
2019-01-08 15:00,2019-01-08 07:00,2.270
2019-01-08 16:00,2019-01-08 08:00,2.257
2019-01-08 17:00,2019-01-08 09:00,2.544
2019-01-08 18:00,2019-01-08 10:00,2.880
2019-01-08 19:00,2019-01-08 11:00,3.193
2019-01-08 20:00,2019-01-08 12:00,3.531
2019-01-08 21:00,2019-01-08 13:00,3.876
2019-01-08 22:00,2019-01-08 14:00,4.074
2019-01-08 23:00,2019-01-08 15:00,3.975
2019-01-09 00:00,2019-01-08 16:00,3.510
2019-01-09 01:00,2019-01-08 17:00,3.180
2019-01-09 02:00,2019-01-08 18:00,2.974
2019-01-09 03:00,2019-01-08 19:00,2.910
2019-01-09 04:00,2019-01-08 20:00,3.196
2019-01-09 05:00,2019-01-08 21:00,3.327
2019-01-09 06:00,2019-01-08 22:00,3.470
2019-01-09 07:00,2019-01-08 23:00,3.859
2019-01-09 08:00,2019-01-09 00:00,4.190
2019-01-09 09:00,2019-01-09 01:00,4.273
2019-01-09 10:00,2019-01-09 02:00,4.152
2019-01-09 11:00,2019-01-09 03:00,3.890
2019-01-09 12:00,2019-01-09 04:00,3.808
2019-01-09 13:00,2019-01-09 05:00,3.969
2019-01-09 14:00,2019-01-09 06:00,3.959
2019-01-09 15:00,2019-01-09 07:00,3.728
2019-01-09 16:00,2019-01-09 08:00,3.705
2019-01-09 17:00,2019-01-09 09:00,4.711
2019-01-09 18:00,2019-01-09 10:00,5.704
2019-01-09 19:00,2019-01-09 11:00,6.609
2019-01-09 20:00,2019-01-09 12:00,7.098
2019-01-09 21:00,2019-01-09 13:00,7.093
2019-01-09 22:00,2019-01-09 14:00,7.036
2019-01-09 23:00,2019-01-09 15:00,6.836
2019-01-10 00:00,2019-01-09 16:00,6.473
2019-01-10 01:00,2019-01-09 17:00,6.447
2019-01-10 02:00,2019-01-09 18:00,6.717
2019-01-10 03:00,2019-01-09 19:00,6.874
2019-01-10 04:00,2019-01-09 20:00,6.866
2019-01-10 05:00,2019-01-09 21:00,6.815
2019-01-10 06:00,2019-01-09 22:00,6.845
2019-01-10 07:00,2019-01-09 23:00,6.967
2019-01-10 08:00,2019-01-10 00:00,7.034
2019-01-10 09:00,2019-01-10 01:00,7.061
2019-01-10 10:00,2019-01-10 02:00,6.984
2019-01-10 11:00,2019-01-10 03:00,6.811
2019-01-10 12:00,2019-01-10 04:00,6.673
2019-01-10 13:00,2019-01-10 05:00,6.533
2019-01-10 14:00,2019-01-10 06:00,6.379
2019-01-10 15:00,2019-01-10 07:00,6.166
2019-01-10 16:00,2019-01-10 08:00,6.280
2019-01-10 17:00,2019-01-10 09:00,7.315
2019-01-10 18:00,2019-01-10 10:00,8.310
2019-01-10 19:00,2019-01-10 11:00,9.121
2019-01-10 20:00,2019-01-10 12:00,9.320
2019-01-10 21:00,2019-01-10 13:00,9.323
2019-01-10 22:00,2019-01-10 14:00,9.271
2019-01-10 23:00,2019-01-10 15:00,8.350
2019-01-11 00:00,2019-01-10 16:00,6.999
2019-01-11 01:00,2019-01-10 17:00,6.767
2019-01-11 02:00,2019-01-10 18:00,6.488
2019-01-11 03:00,2019-01-10 19:00,6.149
2019-01-11 04:00,2019-01-10 20:00,5.980
2019-01-11 05:00,2019-01-10 21:00,5.735
2019-01-11 06:00,2019-01-10 22:00,5.488
2019-01-11 07:00,2019-01-10 23:00,5.474
2019-01-11 08:00,2019-01-11 00:00,5.253
2019-01-11 09:00,2019-01-11 01:00,5.350
2019-01-11 10:00,2019-01-11 02:00,5.446
2019-01-11 11:00,2019-01-11 03:00,5.566
2019-01-11 12:00,2019-01-11 04:00,5.529
2019-01-11 13:00,2019-01-11 05:00,5.541
2019-01-11 14:00,2019-01-11 06:00,5.352
2019-01-11 15:00,2019-01-11 07:00,5.257
2019-01-11 16:00,2019-01-11 08:00,5.703
2019-01-11 17:00,2019-01-11 09:00,6.831
2019-01-11 18:00,2019-01-11 10:00,8.105
2019-01-11 19:00,2019-01-11 11:00,9.482
2019-01-11 20:00,2019-01-11 12:00,10.551
2019-01-11 21:00,2019-01-11 13:00,10.805
2019-01-11 22:00,2019-01-11 14:00,10.167
2019-01-11 23:00,2019-01-11 15:00,8.763
2019-01-12 00:00,2019-01-11 16:00,7.239
2019-01-12 01:00,2019-01-11 17:00,6.544
2019-01-12 02:00,2019-01-11 18:00,6.300
2019-01-12 03:00,2019-01-11 19:00,5.954
2019-01-12 04:00,2019-01-11 20:00,5.739
2019-01-12 05:00,2019-01-11 21:00,5.749
2019-01-12 06:00,2019-01-11 22:00,5.904
2019-01-12 07:00,2019-01-11 23:00,6.111
2019-01-12 08:00,2019-01-12 00:00,6.467
2019-01-12 09:00,2019-01-12 01:00,6.568
2019-01-12 10:00,2019-01-12 02:00,6.290
2019-01-12 11:00,2019-01-12 03:00,5.769
2019-01-12 12:00,2019-01-12 04:00,5.281
2019-01-12 13:00,2019-01-12 05:00,4.847
2019-01-12 14:00,2019-01-12 06:00,4.483
2019-01-12 15:00,2019-01-12 07:00,4.109
2019-01-12 16:00,2019-01-12 08:00,4.550
2019-01-12 17:00,2019-01-12 09:00,6.823
2019-01-12 18:00,2019-01-12 10:00,8.620
2019-01-12 19:00,2019-01-12 11:00,9.880
2019-01-12 20:00,2019-01-12 12:00,10.882
2019-01-12 21:00,2019-01-12 13:00,11.413
2019-01-12 22:00,2019-01-12 14:00,11.078
2019-01-12 23:00,2019-01-12 15:00,8.874
2019-01-13 00:00,2019-01-12 16:00,6.741
2019-01-13 01:00,2019-01-12 17:00,6.050
2019-01-13 02:00,2019-01-12 18:00,5.778
2019-01-13 03:00,2019-01-12 19:00,5.658
2019-01-13 04:00,2019-01-12 20:00,5.495
2019-01-13 05:00,2019-01-12 21:00,4.808
2019-01-13 06:00,2019-01-12 22:00,4.064
2019-01-13 07:00,2019-01-12 23:00,3.542
2019-01-13 08:00,2019-01-13 00:00,3.185
2019-01-13 09:00,2019-01-13 01:00,2.931
2019-01-13 10:00,2019-01-13 02:00,2.584
2019-01-13 11:00,2019-01-13 03:00,2.251
2019-01-13 12:00,2019-01-13 04:00,1.864
2019-01-13 13:00,2019-01-13 05:00,1.461
2019-01-13 14:00,2019-01-13 06:00,1.091
2019-01-13 15:00,2019-01-13 07:00,0.793
2019-01-13 16:00,2019-01-13 08:00,1.552
2019-01-13 17:00,2019-01-13 09:00,4.260
2019-01-13 18:00,2019-01-13 10:00,6.486
2019-01-13 19:00,2019-01-13 11:00,8.615
2019-01-13 20:00,2019-01-13 12:00,9.965
2019-01-13 21:00,2019-01-13 13:00,10.501
2019-01-13 22:00,2019-01-13 14:00,10.093
2019-01-13 23:00,2019-01-13 15:00,8.040
2019-01-14 00:00,2019-01-13 16:00,5.327
2019-01-14 01:00,2019-01-13 17:00,3.976
2019-01-14 02:00,2019-01-13 18:00,3.176
2019-01-14 03:00,2019-01-13 19:00,2.374
2019-01-14 04:00,2019-01-13 20:00,1.769
2019-01-14 05:00,2019-01-13 21:00,1.294
2019-01-14 06:00,2019-01-13 22:00,0.963
2019-01-14 07:00,2019-01-13 23:00,0.580
2019-01-14 08:00,2019-01-14 00:00,0.197
2019-01-14 09:00,2019-01-14 01:00,-0.064
2019-01-14 10:00,2019-01-14 02:00,-0.244
2019-01-14 11:00,2019-01-14 03:00,-0.246
2019-01-14 12:00,2019-01-14 04:00,-0.486
2019-01-14 13:00,2019-01-14 05:00,-0.393
2019-01-14 14:00,2019-01-14 06:00,0.057
2019-01-14 15:00,2019-01-14 07:00,0.186
2019-01-14 16:00,2019-01-14 08:00,0.330
2019-01-14 17:00,2019-01-14 09:00,2.378
2019-01-14 18:00,2019-01-14 10:00,4.635
2019-01-14 19:00,2019-01-14 11:00,6.909
2019-01-14 20:00,2019-01-14 12:00,8.486
2019-01-14 21:00,2019-01-14 13:00,9.067
2019-01-14 22:00,2019-01-14 14:00,8.669
2019-01-14 23:00,2019-01-14 15:00,6.786
2019-01-15 00:00,2019-01-14 16:00,4.272
2019-01-15 01:00,2019-01-14 17:00,2.859
2019-01-15 02:00,2019-01-14 18:00,2.221
2019-01-15 03:00,2019-01-14 19:00,1.882
2019-01-15 04:00,2019-01-14 20:00,1.486
2019-01-15 05:00,2019-01-14 21:00,1.720
2019-01-15 06:00,2019-01-14 22:00,1.570
2019-01-15 07:00,2019-01-14 23:00,1.372
2019-01-15 08:00,2019-01-15 00:00,1.001
2019-01-15 09:00,2019-01-15 01:00,0.751
2019-01-15 10:00,2019-01-15 02:00,0.684
2019-01-15 11:00,2019-01-15 03:00,0.726
2019-01-15 12:00,2019-01-15 04:00,0.791
2019-01-15 13:00,2019-01-15 05:00,1.003
2019-01-15 14:00,2019-01-15 06:00,1.118
2019-01-15 15:00,2019-01-15 07:00,0.908
2019-01-15 16:00,2019-01-15 08:00,1.841
2019-01-15 17:00,2019-01-15 09:00,3.632
2019-01-15 18:00,2019-01-15 10:00,6.007
2019-01-15 19:00,2019-01-15 11:00,7.655
2019-01-15 20:00,2019-01-15 12:00,8.255
2019-01-15 21:00,2019-01-15 13:00,7.443
2019-01-15 22:00,2019-01-15 14:00,6.119
2019-01-15 23:00,2019-01-15 15:00,5.011
2019-01-16 00:00,2019-01-15 16:00,3.858
2019-01-16 01:00,2019-01-15 17:00,3.107
2019-01-16 02:00,2019-01-15 18:00,2.562
2019-01-16 03:00,2019-01-15 19:00,2.356
2019-01-16 04:00,2019-01-15 20:00,2.343
2019-01-16 05:00,2019-01-15 21:00,2.176
2019-01-16 06:00,2019-01-15 22:00,1.997
2019-01-16 07:00,2019-01-15 23:00,1.989
2019-01-16 08:00,2019-01-16 00:00,1.904
2019-01-16 09:00,2019-01-16 01:00,1.753
2019-01-16 10:00,2019-01-16 02:00,1.422
2019-01-16 11:00,2019-01-16 03:00,1.628
2019-01-16 12:00,2019-01-16 04:00,2.020
2019-01-16 13:00,2019-01-16 05:00,2.352
2019-01-16 14:00,2019-01-16 06:00,2.515
2019-01-16 15:00,2019-01-16 07:00,2.477
2019-01-16 16:00,2019-01-16 08:00,3.018
2019-01-16 17:00,2019-01-16 09:00,4.491
2019-01-16 18:00,2019-01-16 10:00,6.344
2019-01-16 19:00,2019-01-16 11:00,7.926
2019-01-16 20:00,2019-01-16 12:00,9.049
2019-01-16 21:00,2019-01-16 13:00,9.534
2019-01-16 22:00,2019-01-16 14:00,9.099
2019-01-16 23:00,2019-01-16 15:00,7.439
2019-01-17 00:00,2019-01-16 16:00,5.107
2019-01-17 01:00,2019-01-16 17:00,4.193
2019-01-17 02:00,2019-01-16 18:00,3.848
2019-01-17 03:00,2019-01-16 19:00,3.554
2019-01-17 04:00,2019-01-16 20:00,3.894
2019-01-17 05:00,2019-01-16 21:00,4.260
2019-01-17 06:00,2019-01-16 22:00,4.423
2019-01-17 07:00,2019-01-16 23:00,4.663
2019-01-17 08:00,2019-01-17 00:00,4.833
2019-01-17 09:00,2019-01-17 01:00,4.800
2019-01-17 10:00,2019-01-17 02:00,4.683
2019-01-17 11:00,2019-01-17 03:00,4.466
2019-01-17 12:00,2019-01-17 04:00,4.282
2019-01-17 13:00,2019-01-17 05:00,3.930
2019-01-17 14:00,2019-01-17 06:00,4.024
2019-01-17 15:00,2019-01-17 07:00,4.079
2019-01-17 16:00,2019-01-17 08:00,4.798
2019-01-17 17:00,2019-01-17 09:00,5.878
2019-01-17 18:00,2019-01-17 10:00,6.621
2019-01-17 19:00,2019-01-17 11:00,7.306
